date,year,month,contract,side,gap_pct,inside_prior_range,roll_boundary,seen_by_gapv
2021-01-06,2021,1,MNQH21,long,1.53,False,False,False
2021-01-07,2021,1,MNQH21,short,0.862,True,False,False
2021-01-11,2021,1,MNQH21,long,1.006,True,False,False
2021-01-20,2021,1,MNQH21,short,1.159,False,False,False
2021-01-25,2021,1,MNQH21,short,0.927,False,False,False
2021-01-27,2021,1,MNQH21,long,0.634,False,False,False
2021-02-01,2021,2,MNQH21,short,0.955,True,False,False
2021-02-02,2021,2,MNQH21,short,0.745,False,False,False
2021-02-03,2021,2,MNQH21,short,0.664,False,False,False
2021-02-08,2021,2,MNQH21,short,0.504,False,False,False
2021-02-11,2021,2,MNQH21,short,0.581,True,False,False
2021-02-17,2021,2,MNQH21,long,0.971,False,False,False
2021-02-18,2021,2,MNQH21,long,1.092,True,False,False
2021-02-22,2021,2,MNQH21,long,1.35,False,False,False
2021-02-23,2021,2,MNQH21,long,1.749,False,False,False
2021-02-24,2021,2,MNQH21,long,1.049,True,False,False
2021-02-25,2021,2,MNQH21,long,0.903,True,False,False
2021-03-01,2021,3,MNQH21,short,1.133,False,False,False
2021-03-09,2021,3,MNQH21,short,2.385,True,False,False
2021-03-10,2021,3,MNQH21,short,1.462,False,False,False
2021-03-11,2021,3,MNQH21,short,1.515,True,False,False
2021-03-16,2021,3,MNQH21,short,0.744,False,False,False
2021-03-17,2021,3,MNQH21,long,1.043,False,False,False
2021-03-18,2021,3,MNQH21,long,1.614,True,False,False
2021-03-22,2021,3,MNQM21,short,0.669,False,False,False
2021-03-24,2021,3,MNQM21,short,0.55,True,False,False
2021-03-25,2021,3,MNQM21,long,0.623,False,False,False
2021-03-30,2021,3,MNQM21,long,0.537,True,False,False
2021-03-31,2021,3,MNQM21,short,0.889,False,False,False
2021-04-01,2021,4,MNQM21,short,1.204,False,False,False
2021-04-05,2021,4,MNQM21,short,0.79,False,False,False
2021-04-08,2021,4,MNQM21,short,0.93,False,False,False
2021-04-15,2021,4,MNQM21,short,1.021,True,False,False
2021-04-29,2021,4,MNQM21,short,1.109,False,False,False
2021-05-04,2021,5,MNQM21,long,0.76,False,False,False
2021-05-05,2021,5,MNQM21,short,0.758,True,False,False
2021-05-11,2021,5,MNQM21,long,1.864,False,False,False
2021-05-12,2021,5,MNQM21,long,1.655,True,False,False
2021-05-13,2021,5,MNQM21,short,0.851,True,False,False
2021-05-17,2021,5,MNQM21,long,0.577,True,False,False
2021-05-19,2021,5,MNQM21,long,1.802,False,False,False
2021-05-24,2021,5,MNQM21,short,0.8,True,False,False
2021-06-03,2021,6,MNQM21,long,0.814,False,False,False
2021-06-08,2021,6,MNQM21,short,0.574,False,False,False
2021-06-24,2021,6,MNQU21,short,0.603,False,False,False
2021-07-07,2021,7,MNQU21,short,0.636,False,False,False
2021-07-08,2021,7,MNQU21,long,1.369,False,False,False
2021-07-14,2021,7,MNQU21,short,0.781,True,False,False
2021-07-19,2021,7,MNQU21,long,0.976,False,False,False
2021-08-02,2021,8,MNQU21,short,0.517,False,False,False
2021-08-17,2021,8,MNQU21,long,0.676,True,False,False
2021-08-19,2021,8,MNQU21,long,0.589,False,False,False
2021-09-13,2021,9,MNQU21,short,0.659,True,False,False
2021-09-20,2021,9,MNQZ21,long,1.624,False,False,False
2021-09-21,2021,9,MNQZ21,short,0.522,True,False,False
2021-09-27,2021,9,MNQZ21,long,0.883,False,False,False
2021-09-28,2021,9,MNQZ21,long,1.308,False,False,False
2021-09-30,2021,9,MNQZ21,short,0.538,True,False,False
2021-10-06,2021,10,MNQZ21,long,0.968,True,False,False
2021-10-07,2021,10,MNQZ21,short,0.808,False,False,False
2021-10-13,2021,10,MNQZ21,short,0.532,True,False,False
2021-10-14,2021,10,MNQZ21,short,1.098,False,False,False
2021-10-26,2021,10,MNQZ21,short,0.704,False,False,False
2021-10-28,2021,10,MNQZ21,short,0.513,True,False,False
2021-11-10,2021,11,MNQZ21,long,0.726,False,False,False
2021-11-11,2021,11,MNQZ21,short,0.633,True,False,False
2021-11-18,2021,11,MNQZ21,short,0.538,True,False,False
2021-11-24,2021,11,MNQZ21,long,0.619,True,False,False
2021-12-01,2021,12,MNQZ21,short,1.072,True,False,False
2021-12-07,2021,12,MNQZ21,short,1.746,False,False,False
2021-12-14,2021,12,MNQZ21,long,1.298,False,False,False
2021-12-20,2021,12,MNQH22,long,1.5,False,False,False
2021-12-21,2021,12,MNQH22,short,0.825,False,False,False
2022-01-05,2022,1,MNQH22,long,0.542,True,False,False
2022-01-06,2022,1,MNQH22,long,0.618,False,False,False
2022-01-10,2022,1,MNQH22,long,1.414,False,False,False
2022-01-12,2022,1,MNQH22,short,0.763,False,False,False
2022-01-20,2022,1,MNQH22,short,0.868,True,False,False
2022-01-24,2022,1,MNQH22,long,2.078,False,False,False
2022-01-25,2022,1,MNQH22,long,1.934,True,False,False
2022-01-26,2022,1,MNQH22,short,2.274,False,False,False
2022-01-27,2022,1,MNQH22,short,1.26,True,False,False
2022-02-02,2022,2,MNQH22,short,1.091,False,False,False
2022-02-03,2022,2,MNQH22,long,2.739,False,False,False
2022-02-09,2022,2,MNQH22,short,1.235,False,False,False
2022-02-10,2022,2,MNQH22,long,1.94,False,False,False
2022-02-15,2022,2,MNQH22,short,1.47,False,False,False
2022-02-16,2022,2,MNQH22,long,0.541,True,False,False
2022-02-17,2022,2,MNQH22,long,0.969,True,False,False
2022-02-21,2022,2,MNQH22,long,0.884,False,False,False
2022-02-23,2022,2,MNQH22,short,0.952,True,False,False
2022-02-24,2022,2,MNQH22,long,3.224,False,False,False
2022-02-28,2022,2,MNQH22,long,0.942,True,False,False
2022-03-02,2022,3,MNQH22,short,0.511,True,False,False
2022-03-03,2022,3,MNQH22,short,0.757,False,False,False
2022-03-09,2022,3,MNQH22,short,2.612,True,False,False
2022-03-10,2022,3,MNQH22,long,1.192,True,False,False
2022-03-15,2022,3,MNQH22,short,0.793,True,False,False
2022-03-16,2022,3,MNQH22,short,1.265,False,False,False
2022-03-23,2022,3,MNQM22,long,0.807,True,False,False
2022-03-24,2022,3,MNQM22,short,0.528,True,False,False
2022-03-29,2022,3,MNQM22,short,1.105,False,False,False
2022-04-06,2022,4,MNQM22,long,1.467,False,False,False
2022-04-11,2022,4,MNQM22,long,1.066,False,False,False
2022-04-12,2022,4,MNQM22,short,1.47,False,False,False
2022-04-21,2022,4,MNQM22,short,1.184,True,False,False
2022-04-25,2022,4,MNQM22,long,0.518,False,False,False
2022-04-26,2022,4,MNQM22,long,0.691,True,False,False
2022-04-28,2022,4,MNQM22,short,1.596,True,False,False
2022-05-05,2022,5,MNQM22,long,1.408,True,False,False
2022-05-09,2022,5,MNQM22,long,1.923,False,False,False
2022-05-10,2022,5,MNQM22,short,2.431,True,False,False
2022-05-11,2022,5,MNQM22,long,1.008,True,False,False
2022-05-12,2022,5,MNQM22,long,1.349,False,False,False
2022-05-17,2022,5,MNQM22,short,2.111,False,False,False
2022-05-18,2022,5,MNQM22,long,1.434,True,False,False
2022-05-19,2022,5,MNQM22,long,0.634,False,False,False
2022-05-24,2022,5,MNQM22,long,1.772,True,False,False
2022-05-30,2022,5,MNQM22,short,0.73,False,False,False
2022-06-01,2022,6,MNQM22,short,0.63,True,False,False
2022-06-02,2022,6,MNQM22,long,0.507,True,False,False
2022-06-06,2022,6,MNQM22,short,1.474,False,False,False
2022-06-07,2022,6,MNQM22,long,1.05,False,False,False
2022-06-09,2022,6,MNQM22,long,0.508,False,False,False
2022-06-13,2022,6,MNQM22,long,3.277,False,False,False
2022-06-14,2022,6,MNQM22,short,0.826,True,False,False
