date,dir,gap_pct,outcome,pnl_usd
2025-01-06,short,1.001,time,-137.5
2025-01-13,long,1.241,time,226.5
2025-01-14,short,0.578,fill,242.5
2025-01-15,short,1.716,time,-165.0
2025-01-20,short,0.655,time,73.0
2025-01-22,short,0.92,time,-294.0
2025-01-23,long,0.567,time,112.0
2025-01-27,long,3.621,time,72.5
2025-01-30,short,0.575,fill,247.5
2025-02-03,long,1.801,time,390.0
2025-02-05,long,0.557,fill,241.5
2025-02-10,short,0.81,time,-206.5
2025-02-11,long,0.657,fill,287.0
2025-02-12,long,1.059,fill,461.5
2025-02-27,short,0.786,fill,333.0
2025-03-18,long,0.757,time,-336.0
2025-03-20,long,0.74,fill,295.0
2025-03-24,short,1.544,time,-151.5
2025-03-27,long,0.513,fill,206.5
2025-03-31,long,1.56,time,96.5
2025-04-01,long,0.525,fill,204.5
2025-04-02,long,1.411,fill,553.5
2025-04-03,long,4.369,time,-90.5
2025-04-07,long,3.601,fill,1264.0
2025-04-08,short,3.399,time,934.0
2025-04-10,long,2.57,time,-919.5
2025-04-14,short,2.243,fill,844.0
2025-04-16,long,2.061,time,-36.5
2025-04-17,short,0.535,fill,197.0
2025-04-21,long,1.36,time,-654.0
2025-04-22,short,1.145,time,-602.5
2025-04-23,short,2.984,time,63.0
2025-04-29,long,0.633,fill,247.5
2025-04-30,long,1.771,time,251.5
2025-05-01,short,1.468,time,56.5
2025-05-05,long,0.825,time,231.0
2025-05-06,long,1.308,time,149.0
2025-05-08,short,1.016,time,-348.0
2025-05-12,short,3.912,time,95.5
2025-05-19,long,1.417,fill,609.5
2025-05-21,long,0.735,fill,315.0
2025-05-26,short,1.242,time,-33.5
2025-05-29,short,1.427,fill,610.0
2025-06-16,short,0.784,time,-292.0
2025-06-19,long,0.75,time,-150.5
2025-06-24,short,0.913,time,-211.0
2025-06-30,short,0.517,time,60.5
2025-07-15,short,0.709,time,214.0
2025-07-31,short,1.136,fill,533.5
2025-08-04,short,0.847,time,-361.5
2025-08-07,short,0.733,fill,343.5
2025-09-01,long,1.269,eod,45.5
2025-09-18,short,0.877,time,-226.5
2025-09-25,long,0.676,time,96.5
2025-09-29,short,0.516,time,53.5
2025-10-01,long,0.543,fill,270.5
2025-10-02,short,0.555,fill,278.0
2025-10-06,short,0.897,time,21.5
2025-10-13,short,1.732,time,-248.5
2025-10-14,long,1.191,fill,594.0
2025-10-15,short,0.954,time,185.5
2025-10-16,short,0.539,fill,268.5
2025-10-27,short,1.24,time,-171.5
2025-10-30,long,0.586,time,-55.0
2025-11-03,short,0.801,fill,416.5
2025-11-04,long,1.403,time,-118.5
2025-11-10,short,1.484,time,-195.0
2025-11-12,short,0.599,fill,307.0
2025-11-13,long,0.518,stop,-530.0
2025-11-18,long,0.678,time,123.5
2025-11-20,short,2.007,fill,992.0
2025-11-24,short,0.937,time,-791.5
2025-11-26,short,0.511,time,-229.5
2025-12-18,short,1.527,time,-170.0
2025-12-22,short,0.853,time,122.0
2025-12-29,long,0.649,time,10.0
2026-01-05,short,0.94,time,-2.5
2026-01-12,long,0.821,fill,426.0
2026-01-14,long,0.591,stop,-612.0
2026-01-15,short,1.258,time,177.5
2026-01-19,long,1.62,time,227.0
2026-01-22,short,0.984,time,19.0
2026-01-27,short,0.6,time,-116.0
2026-01-28,short,0.689,time,211.0
2026-02-02,long,0.516,fill,265.0
2026-02-05,long,0.941,time,28.0
2026-02-11,short,0.872,fill,440.0
2026-02-19,long,0.54,time,-131.0
2026-03-16,short,1.068,time,-45.0
2026-03-19,long,0.918,time,46.5
2026-03-23,short,1.69,time,280.5
2026-03-24,long,0.703,time,81.5
2026-03-25,short,0.952,time,24.0
2026-03-26,long,0.908,time,-293.0
2026-03-30,short,0.759,fill,354.0
2026-03-31,short,1.056,time,-773.0
2026-04-01,short,0.804,time,-454.0
2026-04-02,long,1.863,fill,902.0
2026-04-08,short,3.57,time,121.0
2026-04-14,short,0.507,stop,-518.0
2026-04-22,short,0.977,time,-156.0
2026-04-28,long,1.11,time,-120.5
2026-04-30,short,0.755,fill,412.0
2026-05-05,short,0.816,time,-259.5
2026-05-06,short,0.88,time,-302.0
2026-05-12,long,0.709,stop,-834.0
2026-05-19,long,0.889,time,368.5
2026-05-20,short,0.573,time,-343.0
2026-05-21,long,0.643,time,125.0
2026-05-25,short,1.239,time,-35.0
2026-06-04,long,1.172,time,407.0
2026-06-08,short,1.649,time,-91.5
2026-06-09,short,0.88,fill,518.5
2026-06-10,long,0.871,fill,507.0
2026-06-11,short,0.534,fill,305.5
