day,engine_n,engine_net,engine_reasons,live_n,live_net,live_reasons,diff_usd
2026-06-25,0,0.0,-,1,-500.0,CAT_STOP_OFFLINE,-500.0
2026-06-29,1,257.76,EOD,1,260.5,EOD,2.74
2026-06-30,1,290.26,EOD,1,295.0,EOD,4.74
2026-07-02,2,293.52,"CAT_STOP,EOD",1,-500.0,CAT_STOP,-793.52
2026-07-06,1,-125.74,EOD,1,-165.0,EXTERNAL_FLATTEN,-39.26
2026-07-07,1,144.76,EOD,1,-500.0,CAT_STOP,-644.76
2026-07-09,2,-555.98,"CAT_STOP,EOD",0,0.0,-,555.98
2026-07-13,1,-95.24,EOD,1,-93.0,EOD,2.24
2026-07-15,1,-140.74,EOD,1,-139.0,EOD,1.74
2026-07-16,1,256.76,EOD,1,-13.5,EOD,-270.26
2026-07-23,1,-34.24,EOD,1,-31.0,EOD,3.24
2026-07-24,2,-395.98,"CAT_STOP,EOD",0,0.0,-,395.98
2026-07-27,1,-217.74,EOD,0,0.0,-,217.74
2026-07-28,1,-502.24,CAT_STOP,0,0.0,-,502.24
2026-07-29,2,246.02,"CAT_STOP,EOD",1,749.0,EOD,502.98
2026-07-30,1,156.26,EOD,1,158.0,EOD,1.74
2026-08-03,1,552.76,EOD,1,554.5,EOD,1.74
2026-08-04,1,819.76,EOD,1,818.0,EOD,-1.76
2026-08-13,1,34.26,EOD,2,8.0,"EXTERNAL_CLOSE,EOD",-26.26
2026-08-24,1,-156.24,EOD,1,-154.0,EOD,2.24
2026-08-27,1,173.76,EOD,1,175.5,EOD,1.74
2026-08-28,2,-518.98,"CAT_STOP,EOD",2,-514.5,"CAT_STOP,EOD",4.48
2026-09-03,1,394.76,EOD,1,397.0,EOD,2.24
2026-09-04,1,-247.24,EOD,1,-245.5,EOD,1.74
2026-09-15,1,-355.74,EOD,1,-355.0,EOD,0.74
2026-09-16,2,-748.98,"CAT_STOP,EOD",2,-745.5,"CAT_STOP,EOD",3.48
