day,dir,reason,pnl_pts,entry_t,exit_t,pnl_net_usd,pnl_gross_usd
2026-06-29,1,EOD,130.0,13:01,16:00,257.76,260.0
2026-06-30,1,EOD,146.25,10:01,16:00,290.26,292.5
2026-07-02,1,CAT_STOP,-250.0,10:01,10:28,-502.24,-500.0
2026-07-02,-1,EOD,399.0,10:31,16:00,795.76,798.0
2026-07-06,1,EOD,-61.75,10:31,16:00,-125.74,-123.5
2026-07-07,-1,EOD,73.5,10:01,16:00,144.76,147.0
2026-07-09,1,CAT_STOP,-250.0,10:01,10:21,-502.24,-500.0
2026-07-09,1,EOD,-25.75,14:01,16:00,-53.74,-51.5
2026-07-13,-1,EOD,-46.5,15:31,16:00,-95.24,-93.0
2026-07-15,-1,EOD,-69.25,11:01,16:00,-140.74,-138.5
2026-07-16,-1,EOD,129.5,10:01,16:00,256.76,259.0
2026-07-23,-1,EOD,-16.0,11:01,16:00,-34.24,-32.0
2026-07-24,-1,CAT_STOP,-250.0,10:01,11:41,-502.24,-500.0
2026-07-24,-1,EOD,54.25,14:31,16:00,106.26,108.5
2026-07-27,-1,EOD,-107.75,10:31,16:00,-217.74,-215.5
2026-07-28,-1,CAT_STOP,-250.0,10:01,11:19,-502.24,-500.0
2026-07-29,-1,CAT_STOP,-250.0,10:01,14:45,-502.24,-500.0
2026-07-29,-1,EOD,375.25,15:31,16:00,748.26,750.5
2026-07-30,1,EOD,79.25,10:01,16:00,156.26,158.5
2026-08-03,1,EOD,277.5,10:01,16:00,552.76,555.0
2026-08-04,1,EOD,411.0,10:01,16:00,819.76,822.0
2026-08-13,1,EOD,18.25,10:01,16:00,34.26,36.5
2026-08-24,-1,EOD,-77.0,10:01,16:00,-156.24,-154.0
2026-08-27,1,EOD,88.0,12:31,16:00,173.76,176.0
2026-08-28,1,CAT_STOP,-250.0,11:01,12:00,-502.24,-500.0
2026-08-28,-1,EOD,-7.25,12:31,16:00,-16.740000000000002,-14.5
2026-09-03,1,EOD,198.5,10:01,16:00,394.76,397.0
2026-09-04,1,EOD,-122.5,10:01,16:00,-247.24,-245.0
2026-09-15,1,EOD,-176.75,10:01,16:00,-355.74,-353.5
2026-09-16,1,CAT_STOP,-250.0,10:01,14:58,-502.24,-500.0
2026-09-16,-1,EOD,-122.25,15:31,16:00,-246.74,-244.5
