id,trader_id,timestamp,symbol,direction,entry_price,exit_price,pnl,exit_reason,ml_proba,metadata,created_at,write_mode,execution_mode,day
2920,trader-mim-nb,2026-06-25 19:34:29.916564+00:00,,S,29318.5,29568.5,-500.0,CAT_STOP_OFFLINE,,"{""pnl_pts"": -250.0}",2026-06-25T19:34:29.916874,realtime,live,2026-06-25
6320,trader-mim-nb,2026-06-29 20:00:04.031207+00:00,,L,29916.0,30046.25,260.5,EOD,,"{""pnl_pts"": 130.25}",2026-06-29T20:00:04.032827,realtime,live,2026-06-29
6326,trader-mim-nb,2026-06-30 20:00:03.077569+00:00,,L,30366.0,30513.5,295.0,EOD,,"{""pnl_pts"": 147.5}",2026-06-30T20:00:03.079468,realtime,live,2026-06-30
6332,trader-mim-nb,2026-07-02 14:30:03.185502+00:00,,L,30258.0,30008.0,-500.0,CAT_STOP,,"{""pnl_pts"": -250.0}",2026-07-02T14:30:03.188643,realtime,live,2026-07-02
6343,trader-mim-nb,2026-07-06 18:00:03.928816+00:00,,L,30023.0,29940.5,-165.0,EXTERNAL_FLATTEN,,"{""pnl_pts"": -82.5, ""correction"": ""20260707 halt-review correction: external flatten order 3229490103 (bot stop 3228110588 canceled unfilled); was misbooked CAT_STOP -500""}",2026-07-06T18:00:03.938308,realtime,live,2026-07-06
6349,trader-mim-nb,2026-07-07 17:00:04.589017+00:00,,S,29303.75,29553.75,-500.0,CAT_STOP,,"{""pnl_pts"": -250.0}",2026-07-07T17:00:04.591389,realtime,live,2026-07-07
6368,trader-mim-nb,2026-07-13 20:00:04.437356+00:00,,S,29420.25,29466.75,-93.0,EOD,,"{""pnl_pts"": -46.5}",2026-07-13T20:00:04.437485,realtime,live,2026-07-13
6374,trader-mim-nb,2026-07-15 20:00:02.910431+00:00,,S,29631.25,29700.75,-139.0,EOD,,"{""pnl_pts"": -69.5}",2026-07-15T20:00:02.924383,realtime,live,2026-07-15
6377,trader-mim-nb,2026-07-16 20:00:03.478683+00:00,,S,29210.5,29217.25,-13.5,EOD,,"{""pnl_pts"": -6.75}",2026-07-16T20:00:03.482207,realtime,live,2026-07-16
6403,trader-mim-nb,2026-07-23 20:00:03.876349+00:00,,S,28598.75,28614.25,-31.0,EOD,,"{""pnl_pts"": -15.5}",2026-07-23T20:00:03.878538,realtime,live,2026-07-23
6432,trader-mim-nb,2026-07-29 20:00:03.123473+00:00,,S,27711.0,27336.5,749.0,EOD,,"{""pnl_pts"": 374.5}",2026-07-29T20:00:03.128611,realtime,live,2026-07-29
6438,trader-mim-nb,2026-07-30 20:00:03.082781+00:00,,L,28150.5,28229.5,158.0,EOD,,"{""pnl_pts"": 79.0}",2026-07-30T20:00:03.092865,realtime,live,2026-07-30
6455,trader-mim-nb,2026-08-03 20:00:05.012642+00:00,,L,28623.5,28900.75,554.5,EOD,,"{""pnl_pts"": 277.25}",2026-08-03T20:00:05.014738,realtime,live,2026-08-03
6457,trader-mim-nb,2026-08-04 20:00:03.790563+00:00,,L,29467.0,29876.0,818.0,EOD,,"{""pnl_pts"": 409.0}",2026-08-04T20:00:03.796647,realtime,live,2026-08-04
6491,trader-mim-nb,2026-08-13 16:29:31.064899+00:00,,L,30176.0,30179.75,7.5,EXTERNAL_CLOSE,,"{""pnl_pts"": 3.75}",2026-08-13T16:29:31.066238,realtime,live,2026-08-13
6492,trader-mim-nb,2026-08-13 20:00:03.930140+00:00,,L,30194.25,30194.5,0.5,EOD,,"{""pnl_pts"": 0.25}",2026-08-13T20:00:03.931900,realtime,live,2026-08-13
6552,trader-mim-nb,2026-08-24 20:00:03.269695+00:00,,S,29022.75,29099.75,-154.0,EOD,,"{""pnl_pts"": -77.0}",2026-08-24T20:00:03.282178,realtime,live,2026-08-24
6563,trader-mim-nb,2026-08-27 20:00:03.574762+00:00,,L,29603.75,29691.5,175.5,EOD,,"{""pnl_pts"": 87.75}",2026-08-27T20:00:03.577297,realtime,live,2026-08-27
6567,trader-mim-nb,2026-08-28 15:57:52.333880+00:00,,L,29797.0,29547.0,-500.0,CAT_STOP,,"{""pnl_pts"": -250.0}",2026-08-28T15:57:52.336740,realtime,live,2026-08-28
6568,trader-mim-nb,2026-08-28 20:00:02.989814+00:00,,S,29488.75,29496.0,-14.5,EOD,,"{""pnl_pts"": -7.25}",2026-08-28T20:00:03.000690,realtime,live,2026-08-28
6580,trader-mim-nb,2026-09-03 20:00:03.975567+00:00,,L,29332.25,29530.75,397.0,EOD,,"{""pnl_pts"": 198.5}",2026-09-03T20:00:03.977009,realtime,live,2026-09-03
6584,trader-mim-nb,2026-09-04 20:00:04.016026+00:00,,L,29691.25,29568.5,-245.5,EOD,,"{""pnl_pts"": -122.75}",2026-09-04T20:00:04.016286,realtime,live,2026-09-04
6668,trader-mim-nb,2026-09-15 20:00:04.126169+00:00,,L,29429.75,29252.25,-355.0,EOD,,"{""pnl_pts"": -177.5}",2026-09-15T20:00:04.127211,realtime,live,2026-09-15
6674,trader-mim-nb,2026-09-16 18:57:43.073176+00:00,,L,29479.0,29229.0,-500.0,CAT_STOP,,"{""pnl_pts"": -250.0}",2026-09-16T18:57:43.075751,realtime,live,2026-09-16
6675,trader-mim-nb,2026-09-16 20:00:03.146466+00:00,,S,29131.25,29254.0,-245.5,EOD,,"{""pnl_pts"": -122.75}",2026-09-16T20:00:03.146694,realtime,live,2026-09-16
