signal_ts,direction,entry,sl,tp,gap,fvg_top,fvg_bot,contracts,ml_proba,filled,session,switches_prev_1h,switches_prev_24h,sessions_since_interleaved,class
2025-05-22T12:00:00+00:00,SHORT,21121.0,21166.5,20939.0,22.75,21132.25,21109.5,5,0.5144983835230842,True,2025-05-22,0,0,48,clean
2025-05-27T00:24:00+00:00,SHORT,21217.25,21237.25,21137.25,10.0,21222.25,21212.25,5,0.5138484325471028,True,2025-05-27,0,0,51,clean
2025-05-28T18:53:00+00:00,SHORT,21463.0,21511.5,21269.0,24.25,21475.0,21450.75,5,0.5582918241338115,True,2025-05-28,0,0,52,clean
2025-05-28T19:52:00+00:00,SHORT,21408.0,21440.5,21278.0,16.25,21416.25,21400.0,5,0.4859114863782556,True,2025-05-28,0,0,52,clean
2025-06-16T22:49:00+00:00,SHORT,22085.75,22113.75,21973.75,14.0,22092.75,22078.75,5,0.4956356613063747,True,2025-06-17,0,0,2,within_5_sessions_after
2025-06-18T18:04:00+00:00,SHORT,22030.5,22068.5,21878.5,19.0,22040.0,22021.0,5,0.5050504101333793,True,2025-06-18,0,0,3,within_5_sessions_after
2025-06-20T15:02:00+00:00,SHORT,21805.5,21846.5,21641.5,20.5,21815.75,21795.25,1,0.5030344911368605,True,2025-06-20,0,0,5,within_5_sessions_after
2025-06-25T15:34:00+00:00,SHORT,22447.75,22463.75,22383.75,8.0,22451.75,22443.75,1,0.4238924301087169,True,2025-06-25,0,0,8,clean
2025-06-25T17:42:00+00:00,SHORT,22417.0,22451.5,22279.0,17.25,22425.5,22408.25,1,0.5242759301134161,True,2025-06-25,0,0,8,clean
2025-06-27T13:30:00+00:00,SHORT,22714.5,22731.0,22648.5,8.25,22718.5,22710.25,1,0.4692167344117219,True,2025-06-27,0,0,10,clean
2025-06-27T14:53:00+00:00,SHORT,22778.5,22808.5,22658.5,15.0,22786.0,22771.0,1,0.4897113577233041,True,2025-06-27,0,0,10,clean
2025-06-27T17:46:00+00:00,SHORT,22761.75,22801.75,22601.75,20.0,22771.75,22751.75,1,0.5006088000536945,True,2025-06-27,0,0,10,clean
2025-06-30T13:34:00+00:00,SHORT,22841.0,22867.0,22737.0,13.0,22847.5,22834.5,1,0.5526252204788443,True,2025-06-30,0,0,11,clean
2025-06-30T20:01:00+00:00,SHORT,22905.0,22933.5,22791.0,14.25,22912.0,22897.75,1,0.4792371394591941,True,2025-06-30,0,0,11,clean
2025-07-07T13:35:00+00:00,SHORT,22935.0,22963.5,22821.0,14.25,22942.25,22928.0,1,0.5446861800485217,True,2025-07-07,0,0,16,clean
2025-07-10T14:22:00+00:00,SHORT,22952.0,22978.5,22846.0,13.25,22958.5,22945.25,1,0.521181355784053,True,2025-07-10,0,0,19,clean
2025-07-11T00:24:00+00:00,SHORT,22935.5,22963.0,22825.5,13.75,22942.5,22928.75,1,0.5667853097495663,True,2025-07-11,0,0,20,clean
