date,dir,gap_pct,outcome,pnl_usd,net
2021-01-06,long,1.53,fill,391.5,386.05
2021-01-07,short,0.862,time,-338.0,-343.45
2021-01-11,long,1.006,time,62.0,56.55
2021-01-20,short,1.159,time,-251.0,-256.45
2021-01-25,short,0.927,fill,248.0,242.55
2021-01-27,long,0.634,stop,-342.0,-347.45
2021-02-01,short,0.955,time,-393.0,-398.45
2021-02-02,short,0.745,time,-214.5,-219.95
2021-02-03,short,0.664,fill,178.5,173.05
2021-02-08,short,0.504,fill,137.0,131.55
2021-02-11,short,0.581,fill,158.5,153.05
2021-02-17,long,0.971,time,-2.0,-7.45
2021-02-18,long,1.092,time,30.5,25.05
2021-02-22,long,1.35,time,-110.0,-115.45
2021-02-23,long,1.749,time,-165.5,-170.95
2021-02-24,long,1.049,fill,277.0,271.55
2021-02-25,long,0.903,stop,-480.0,-485.45
2021-03-01,short,1.133,time,-195.5,-200.95
2021-03-09,short,2.385,time,-319.0,-324.45
2021-03-10,short,1.462,fill,374.0,368.55
2021-03-22,short,0.669,stop,-344.0,-349.45
2021-03-24,short,0.55,fill,143.0,137.55
2021-03-25,long,0.623,fill,159.5,154.05
2021-03-30,long,0.537,time,-50.0,-55.45
2021-03-31,short,0.889,time,-326.0,-331.45
2021-04-01,short,1.204,time,-76.5,-81.95
2021-04-05,short,0.79,time,-294.0,-299.45
2021-04-08,short,0.93,time,5.5,0.04999999999999982
2021-04-15,short,1.021,time,-153.0,-158.45
2021-04-29,short,1.109,fill,308.0,302.55
2021-05-04,long,0.76,stop,-419.0,-424.45
2021-05-05,short,0.758,fill,205.0,199.55
2021-05-11,long,1.864,time,315.5,310.05
2021-05-12,long,1.655,time,-180.0,-185.45
2021-05-13,short,0.851,time,87.5,82.05
2021-05-17,long,0.577,time,-155.0,-160.45
2021-05-19,long,1.802,time,325.5,320.05
2021-05-24,short,0.8,time,-264.5,-269.95
2021-06-03,long,0.814,time,25.5,20.05
2021-06-08,short,0.574,fill,158.5,153.05
2021-06-24,short,0.603,time,-40.0,-45.45
2021-07-07,short,0.636,fill,188.0,182.55
2021-07-08,long,1.369,time,238.5,233.05
2021-07-14,short,0.781,time,64.5,59.05
2021-07-19,long,0.976,time,-110.5,-115.95
2021-08-02,short,0.517,fill,154.5,149.05
2021-08-17,long,0.676,time,-227.0,-232.45
2021-08-19,long,0.589,fill,175.0,169.55
2021-09-20,long,1.624,time,-321.0,-326.45
2021-09-21,short,0.522,fill,156.5,151.05
2021-09-27,long,0.883,time,-107.0,-112.45
2021-09-28,long,1.308,time,-469.0,-474.45
2021-09-30,short,0.538,fill,158.5,153.05
2021-10-06,long,0.968,fill,284.0,278.55
2021-10-07,short,0.808,time,-208.0,-213.45
2021-10-13,short,0.532,fill,156.0,150.55
2021-10-14,short,1.098,time,-242.0,-247.45
2021-10-26,short,0.704,time,140.0,134.55
2021-10-28,short,0.513,time,-50.5,-55.95
2021-11-10,long,0.726,fill,235.5,230.05
2021-11-11,short,0.633,time,83.0,77.55
2021-11-18,short,0.538,fill,175.5,170.05
2021-11-24,long,0.619,fill,202.0,196.55
2021-12-01,short,1.072,time,169.0,163.55
2021-12-07,short,1.746,time,-436.0,-441.45
2021-12-20,long,1.5,time,-111.0,-116.45
2021-12-21,short,0.825,fill,258.0,252.55
2022-01-05,long,0.542,time,-290.0,-295.45
2022-01-06,long,0.618,fill,195.0,189.55
2022-01-10,long,1.414,time,-207.5,-212.95
2022-01-12,short,0.763,fill,241.5,236.05
2022-01-20,short,0.868,time,-155.5,-160.95
2022-01-24,long,2.078,time,-508.5,-513.95
2022-01-25,long,1.934,time,-338.5,-343.95
2022-01-26,short,2.274,time,-133.0,-138.45
2022-01-27,short,1.26,fill,356.5,351.05
2022-02-02,short,1.091,fill,327.5,322.05
2022-02-03,long,2.739,time,-91.5,-96.95
2022-02-09,short,1.235,time,-142.5,-147.95
2022-02-10,long,1.94,fill,583.0,577.55
2022-02-15,short,1.47,time,17.0,11.55
2022-02-16,long,0.541,time,-203.0,-208.45
2022-02-17,long,0.969,time,-229.0,-234.45
2022-02-21,long,0.884,time,-299.0,-304.45
2022-02-23,short,0.952,fill,264.0,258.55
2022-02-24,long,3.224,fill,871.5,866.05
2022-02-28,long,0.942,fill,267.0,261.55
2022-03-02,short,0.511,fill,143.0,137.55
2022-03-03,short,0.757,fill,215.5,210.05
2022-03-09,short,2.612,time,-241.0,-246.45
2022-03-23,long,0.807,fill,236.5,231.05
2022-03-24,short,0.528,fill,152.5,147.05
2022-03-29,short,1.105,time,61.0,55.55
2022-04-06,long,1.467,time,-293.0,-298.45
2022-04-11,long,1.066,time,-167.5,-172.95
2022-04-12,short,1.47,time,176.5,171.05
2022-04-21,short,1.184,fill,331.5,326.05
2022-04-25,long,0.518,fill,138.5,133.05
2022-04-26,long,0.691,stop,-374.0,-379.45
2022-04-28,short,1.596,time,-290.0,-295.45
2022-05-05,long,1.408,stop,-762.0,-767.45
2022-05-09,long,1.923,time,-339.5,-344.95
2022-05-10,short,2.431,fill,593.0,587.55
2022-05-11,long,1.008,fill,249.0,243.55
2022-05-12,long,1.349,fill,322.5,317.05
2022-05-17,short,2.111,time,46.0,40.55
2022-05-18,long,1.434,time,-492.5,-497.95
2022-05-19,long,0.634,fill,151.5,146.05
2022-05-24,long,1.772,time,-219.5,-224.95
2022-05-30,short,0.73,time,-97.5,-102.95
2022-06-01,short,0.63,fill,159.5,154.05
