adequate,block_trades,effect_usd,future_trades,minimum_detectable_usd,required_future_trades
False,1,5.0,30,192.79729489359354,44605
False,1,5.0,60,136.3282746136825,44605
False,1,5.0,120,96.39864744679677,44605
False,1,5.0,240,68.16413730684125,44605
False,1,5.0,480,48.199323723398386,44605
False,1,10.0,30,192.79729489359354,11152
False,1,10.0,60,136.3282746136825,11152
False,1,10.0,120,96.39864744679677,11152
False,1,10.0,240,68.16413730684125,11152
False,1,10.0,480,48.199323723398386,11152
False,1,20.0,30,192.79729489359354,2788
False,1,20.0,60,136.3282746136825,2788
False,1,20.0,120,96.39864744679677,2788
False,1,20.0,240,68.16413730684125,2788
False,1,20.0,480,48.199323723398386,2788
False,1,40.0,30,192.79729489359354,697
False,1,40.0,60,136.3282746136825,697
False,1,40.0,120,96.39864744679677,697
False,1,40.0,240,68.16413730684125,697
False,1,40.0,480,48.199323723398386,697
False,3,5.0,30,161.47197532481528,31288
False,3,5.0,60,114.17792872376377,31288
False,3,5.0,120,80.73598766240764,31288
False,3,5.0,240,57.088964361881885,31288
False,3,5.0,480,40.36799383120382,31288
False,3,10.0,30,161.47197532481528,7822
False,3,10.0,60,114.17792872376377,7822
False,3,10.0,120,80.73598766240764,7822
False,3,10.0,240,57.088964361881885,7822
False,3,10.0,480,40.36799383120382,7822
False,3,20.0,30,161.47197532481528,1956
False,3,20.0,60,114.17792872376377,1956
False,3,20.0,120,80.73598766240764,1956
False,3,20.0,240,57.088964361881885,1956
False,3,20.0,480,40.36799383120382,1956
False,3,40.0,30,161.47197532481528,489
False,3,40.0,60,114.17792872376377,489
False,3,40.0,120,80.73598766240764,489
False,3,40.0,240,57.088964361881885,489
False,3,40.0,480,40.36799383120382,489
False,5,5.0,30,183.04665156301274,40208
False,5,5.0,60,129.43352859369747,40208
False,5,5.0,120,91.52332578150637,40208
False,5,5.0,240,64.71676429684874,40208
False,5,5.0,480,45.761662890753186,40208
False,5,10.0,30,183.04665156301274,10052
False,5,10.0,60,129.43352859369747,10052
False,5,10.0,120,91.52332578150637,10052
False,5,10.0,240,64.71676429684874,10052
False,5,10.0,480,45.761662890753186,10052
False,5,20.0,30,183.04665156301274,2513
False,5,20.0,60,129.43352859369747,2513
False,5,20.0,120,91.52332578150637,2513
False,5,20.0,240,64.71676429684874,2513
False,5,20.0,480,45.761662890753186,2513
False,5,40.0,30,183.04665156301274,629
False,5,40.0,60,129.43352859369747,629
False,5,40.0,120,91.52332578150637,629
False,5,40.0,240,64.71676429684874,629
False,5,40.0,480,45.761662890753186,629
