date_et,dir,outcome,entry_id,entry_exec,exit_role,exit_id,exit_exec,qty,realized_pnl_usd,modeled_pnl_usd,delta_usd,chain
2026-07-09,S,time,960998012,29732.75,close,961087135,29897.75,1.0,-330.0,-297.0,-33.0,b5237eb23f0e68b4
2026-07-13,L,time,961380308,29705.0,close,961479729,29516.5,1.0,-377.0,-353.0,-24.0,3ca421b1df1cddc9
2026-07-14,S,time,961595990,29807.25,close,961701239,29823.5,1.0,-32.5,-30.5,-2.0,140dd9c4acf006d2
2026-07-16,L,time,962033013,29466.75,close,962149479,29337.5,1.0,-258.5,-234.5,-24.0,47813795c9354553
2026-07-20,S,time,962523607,29025.25,close,962621735,28983.5,1.0,83.5,118.0,-34.5,6e621e3bf465436e
2026-07-21,S,time,962735176,29210.5,close,962836452,29336.25,1.0,-251.5,-257.5,6.0,cfd28e999579d19a
2026-07-22,L,fill,962960668,29086.25,tp,962960666,29335.5,1.0,498.5,499.5,-1.0,bc604176ec0bcb9f
2026-07-23,L,time,963267208,28709.75,close,963392453,28644.5,1.0,-130.5,-195.5,65.0,e74e2a0ef1e03c87
2026-07-27,S,fill,963818266,28593.25,tp,963818264,28268.75,1.0,649.0,657.0,-8.0,8a544159d0baecbb
2026-07-28,L,time,964097572,27948.0,close,964217561,28056.25,1.0,216.5,217.5,-1.0,68ae60ed287289e0
2026-07-30,S,time,964626075,27866.0,close,964738575,28126.5,1.0,-521.0,-528.0,7.0,904d8187937a4de0
2026-08-04,S,time,965329375,29226.5,close,965430873,29738.0,1.0,-1023.0,-1032.0,9.0,44679828b65ce009
