date_et,order_id,opened,closed,type,side,qty,status,exec_price
2026-06-25,959092636,2026-06-25T14:00:04Z,2026-06-25T16:10:19Z,StopMarket,Buy,1,Filled,29818.5
2026-06-25,959092631,2026-06-25T14:00:04Z,2026-06-25T14:00:04Z,Market,Sell,1,Filled,29366.75
2026-06-29,959554221,2026-06-29T13:29:18Z,2026-06-29T14:08:11Z,StopMarket,Buy,1,UROut,
2026-06-29,959554220,2026-06-29T13:29:18Z,2026-06-29T14:08:11Z,Limit,Buy,1,Filled,29457
2026-06-29,959554222,2026-06-29T13:29:18Z,2026-06-29T13:29:19Z,Market,Sell,1,Filled,29653.5
2026-06-29,959672694,2026-06-29T17:00:02Z,2026-06-29T17:00:03Z,Market,Buy,1,Filled,29920.5
2026-06-29,959672695,2026-06-29T17:00:03Z,2026-06-29T20:00:04Z,StopMarket,Sell,1,UROut,
2026-06-29,959719829,2026-06-29T20:00:04Z,2026-06-29T20:00:04Z,Market,Sell,1,Filled,30036.75
2026-07-01,959945166,2026-07-01T13:29:31Z,2026-07-01T16:59:45Z,Limit,Sell,1,UROut,
2026-07-01,959945175,2026-07-01T13:29:33Z,2026-07-01T16:59:45Z,StopMarket,Sell,1,UROut,
2026-07-01,959945177,2026-07-01T13:29:33Z,2026-07-01T13:29:33Z,Market,Buy,1,Filled,30225.25
2026-07-01,960028754,2026-07-01T16:59:45Z,2026-07-01T16:59:46Z,Market,Sell,1,Filled,30184
2026-07-07,960582042,2026-07-07T13:29:07Z,2026-07-07T16:59:21Z,Limit,Sell,1,UROut,
2026-07-07,960582043,2026-07-07T13:29:08Z,2026-07-07T16:59:21Z,StopMarket,Sell,1,UROut,
2026-07-07,960582044,2026-07-07T13:29:08Z,2026-07-07T13:29:08Z,Market,Buy,1,Filled,29597
2026-07-07,960657190,2026-07-07T14:30:03Z,2026-07-07T16:30:28Z,StopMarket,Buy,1,Filled,29553.5
2026-07-07,960657183,2026-07-07T14:30:03Z,2026-07-07T14:30:04Z,Market,Sell,1,Filled,29310.5
2026-07-07,960709359,2026-07-07T16:59:21Z,2026-07-07T16:59:21Z,Market,Sell,1,Filled,29526.25
