date_et,dir,gap_pct,gap_abs_pts,entry,exit_px,target,stop,outcome,pnl_pts,pnl_usd,chain
2026-06-25,S,2.359,695.25,30161.5,29466.25,29466.25,31552.0,fill,695.25,1390.5,8007e4f78d65b12f
2026-06-25,S,2.359,695.25,30161.5,29466.25,29466.25,31552.0,fill,695.25,1390.5,d95db35c59154405
2026-06-29,S,0.658,193.75,29650.75,29457.0,29457.0,30038.25,fill,193.75,387.5,0a718c03c387d37a
2026-07-01,L,1.073,328.0,30230.0,30194.5,30558.0,29574.0,time,-35.5,-71.0,eff8490feebe5d22
2026-07-07,L,1.217,364.5,29593.25,29516.75,29957.75,28864.25,time,-76.5,-153.0,ebc9fb2658eb57ee
2026-07-08,L,0.623,183.0,29205.25,29388.25,29388.25,28839.25,fill,183.0,366.0,5a7e9a05540ac7e9
2026-07-09,S,0.886,261.25,29749.0,29897.5,29487.75,30271.5,time,-148.5,-297.0,cafcf56d3bf7b6c6
2026-07-13,L,1.08,324.25,29709.75,29533.25,30034.0,29061.25,time,-176.5,-353.0,0c23b7aa792f5bb4
2026-07-14,S,1.028,303.25,29806.25,29821.5,29503.0,30412.75,time,-15.25,-30.5,96c9e65fe8205155
2026-07-16,L,0.813,241.5,29455.0,29337.75,29696.5,28972.0,time,-117.25,-234.5,6ccb891f2c071685
2026-07-20,S,0.738,212.75,29031.25,28972.25,28818.5,29456.75,time,59.0,118.0,0d1a09472604067f
2026-07-21,S,1.456,419.25,29209.75,29338.5,28790.5,30048.25,time,-128.75,-257.5,806850cf1c14d818
2026-07-22,L,0.851,249.75,29085.75,29335.5,29335.5,28586.25,fill,249.75,499.5,8507542da5494339
2026-07-23,L,1.608,469.5,28723.5,28625.75,29193.0,27784.5,time,-97.75,-195.5,e27faec570579791
2026-07-27,S,1.162,328.5,28597.5,28269.0,28269.0,29254.5,fill,328.5,657.0,915dbce1a336db82
2026-07-28,L,0.86,242.5,27947.75,28056.5,28190.25,27462.75,time,108.75,217.5,093878a8dc185258
2026-07-30,S,1.916,523.75,27864.25,28128.25,27340.5,28911.75,time,-264.0,-528.0,09f0af038621c759
