date,time_et,event,tier
2025-05-01,14:00,FOMC,1
2025-05-02,08:30,NFP,1
2025-05-13,08:30,CPI,1
2025-06-06,08:30,NFP,1
2025-06-11,08:30,CPI,1
2025-06-18,14:00,FOMC,1
2025-07-03,08:30,NFP,1
2025-07-11,08:30,CPI,1
2025-07-30,14:00,FOMC,1
2025-08-01,08:30,NFP,1
2025-08-12,08:30,CPI,1
2025-09-05,08:30,NFP,1
2025-09-10,08:30,CPI,1
2025-09-17,14:00,FOMC,1
2025-10-03,08:30,NFP,1
2025-10-14,08:30,CPI,1
2025-10-29,14:00,FOMC,1
2025-11-07,08:30,NFP,1
2025-11-12,08:30,CPI,1
2025-12-05,08:30,NFP,1
2025-12-10,14:00,FOMC,1
2025-12-11,08:30,CPI,1
2026-01-09,08:30,NFP,1
2026-01-15,08:30,CPI,1
2026-01-28,14:00,FOMC,1
2026-02-06,08:30,NFP,1
2026-02-12,08:30,CPI,1
2026-03-06,08:30,NFP,1
2026-03-12,08:30,CPI,1
2026-03-18,14:00,FOMC,1
2026-04-03,08:30,NFP,1
2026-04-10,08:30,CPI,1
2026-04-29,14:00,FOMC,1
2026-05-01,08:30,NFP,1
2026-05-13,08:30,CPI,1
