day,dir,entry_t,entry_px,exit_t,exit_px,reason,pnl_pts,pnl_usd,day_pnl_usd,chain
2026-06-11,1,13:30,29087.00,16:00,29457.25,EOD,+370.25,+740.50,+740.50,26d67fdfe90e4800
2026-06-12,1,11:00,29632.50,16:00,29656.00,EOD,+23.50,+47.00,+47.00,1ca93a295a91bce3
2026-06-24,1,11:00,29892.00,14:00,29392.00,CAT_STOP,-500.00,-1000.00,-1000.00,eeccc8141e4cb7f7
2026-06-25,-1,10:00,29318.50,15:34,29568.50,CAT_STOP_OFFLINE,-250.00,-500.00,-500.00,eafaca5fdad37630
2026-06-29,1,13:00,29916.00,16:00,30046.25,EOD,+130.25,+260.50,+260.50,297ae61994ff48c7
2026-06-30,1,10:00,30366.00,16:00,30513.50,EOD,+147.50,+295.00,+295.00,a961ab8f2ca6714e
2026-07-02,1,10:00,30258.00,10:30,30008.00,CAT_STOP,-250.00,-500.00,-500.00,f11e062c6b767947
2026-07-06,1,10:30,30023.00,13:30,29940.50,EXTERNAL_FLATTEN,-82.50,-165.00,-165.00,bbd31423053ed780
2026-07-07,-1,10:30,29303.75,13:00,29553.75,CAT_STOP,-250.00,-500.00,-500.00,e9781917c4f1a8c7
2026-07-13,-1,15:30,29420.25,16:00,29466.75,EOD,-46.50,-93.00,-93.00,8e1140b1ce1d9635
2026-07-15,-1,11:00,29631.25,16:00,29700.75,EOD,-69.50,-139.00,-139.00,2245b7d42795f47c
2026-07-16,-1,15:00,29210.50,16:00,29217.25,EOD,-6.75,-13.50,-13.50,d081897d2dd0cd7d
2026-07-23,-1,11:00,28598.75,16:00,28614.25,EOD,-15.50,-31.00,-31.00,d78c14c1ee626526
2026-07-29,-1,15:30,27711.00,16:00,27336.50,EOD,+374.50,+749.00,+749.00,17170365c6cc66e0
2026-07-30,1,10:00,28150.50,16:00,28229.50,EOD,+79.00,+158.00,+158.00,ac3abe63671952f3
