pnl,win,bars_held,exit_type,timestamp,direction
-176.8,0,13,sl,2025-01-02 15:08:00,bullish
30.7,1,1,tp,2025-01-02 15:54:00,bullish
38.2,1,2,tp,2025-01-02 19:02:00,bullish
33.2,1,1,tp,2025-01-02 19:07:00,bullish
100.7,1,28,tp,2025-01-02 19:25:00,bullish
268.2,1,21,tp,2025-01-03 15:01:00,bearish
-41.8,0,11,sl,2025-01-03 19:03:00,bearish
-31.8,0,7,sl,2025-01-03 19:30:00,bearish
15.7,1,2,tp,2025-01-03 19:50:00,bearish
23.2,1,6,tp,2025-01-03 19:55:00,bearish
-66.8,0,26,sl,2025-01-06 08:23:00,bearish
93.2,1,2,tp,2025-01-07 15:04:00,bearish
153.7,1,120,time,2025-01-07 15:53:00,bearish
18.2,1,3,tp,2025-01-07 19:04:00,bullish
-46.8,0,22,sl,2025-01-07 19:16:00,bullish
-11.8,0,1,sl,2025-01-07 19:45:00,bearish
88.2,1,19,tp,2025-01-07 19:51:00,bearish
18.2,1,12,tp,2025-01-08 08:03:00,bullish
40.7,1,40,tp,2025-01-08 08:23:00,bullish
-64.3,0,2,sl,2025-01-08 14:37:00,bullish
45.7,1,1,tp,2025-01-08 14:44:00,bullish
-71.8,0,2,sl,2025-01-08 15:06:00,bullish
-64.3,0,2,sl,2025-01-08 15:21:00,bullish
128.2,1,11,tp,2025-01-08 15:27:00,bullish
-76.8,0,5,sl,2025-01-08 16:03:00,bullish
-79.3,0,3,sl,2025-01-08 19:12:00,bullish
28.2,1,1,tp,2025-01-08 19:21:00,bullish
60.7,1,2,tp,2025-01-08 19:26:00,bullish
-90.05,0,120,time,2025-01-08 19:31:00,bullish
75.7,1,2,tp,2025-01-10 14:34:00,bearish
240.7,1,17,tp,2025-01-10 14:44:00,bearish
205.7,1,18,tp,2025-01-10 15:55:00,bearish
15.7,1,1,tp,2025-01-10 19:38:00,bullish
43.2,1,4,tp,2025-01-13 08:04:00,bullish
-29.3,0,5,sl,2025-01-13 08:48:00,bullish
100.7,1,15,tp,2025-01-13 19:06:00,bearish
38.2,1,4,tp,2025-01-13 19:57:00,bearish
98.2,1,19,tp,2025-01-14 14:19:00,bullish
65.7,1,1,tp,2025-01-14 15:11:00,bullish
-181.8,0,24,sl,2025-01-14 15:14:00,bullish
-74.3,0,5,sl,2025-01-14 15:46:00,bullish
40.7,1,2,tp,2025-01-15 14:09:00,bearish
55.7,1,18,tp,2025-01-15 14:13:00,bearish
-39.3,0,1,sl,2025-01-15 14:40:00,bearish
93.2,1,8,tp,2025-01-15 14:54:00,bullish
68.2,1,10,tp,2025-01-15 16:01:00,bearish
-44.3,0,26,sl,2025-01-15 19:53:00,bearish
28.2,1,4,tp,2025-01-16 08:11:00,bearish
-49.3,0,21,sl,2025-01-16 08:26:00,bearish
-46.8,0,6,sl,2025-01-16 08:58:00,bullish
38.2,1,4,tp,2025-01-16 19:23:00,bullish
100.7,1,41,tp,2025-01-16 19:29:00,bullish
-204.3,0,85,sl,2025-01-17 15:01:00,bearish
-16.8,0,1,sl,2025-01-17 19:22:00,bearish
38.2,1,3,tp,2025-01-17 19:58:00,bearish
-101.8,0,3,sl,2025-01-21 15:17:00,bearish
-29.3,0,2,sl,2025-01-21 15:46:00,bullish
23.2,1,2,tp,2025-01-21 15:55:00,bearish
-24.3,0,7,sl,2025-01-21 19:08:00,bullish
-94.3,0,96,sl,2025-01-21 19:27:00,bearish
13.2,1,3,tp,2025-01-22 14:11:00,bearish
5.7,1,1,tp,2025-01-22 14:26:00,bearish
18.2,1,1,tp,2025-01-22 15:05:00,bearish
50.7,1,5,tp,2025-01-22 16:07:00,bearish
8.2,1,3,tp,2025-01-23 19:15:00,bearish
8.2,1,4,tp,2025-01-24 08:19:00,bullish
-14.3,0,1,sl,2025-01-24 08:31:00,bearish
-36.8,0,13,sl,2025-01-24 09:03:00,bearish
-91.8,0,20,sl,2025-01-24 14:34:00,bearish
33.2,1,4,tp,2025-01-24 15:18:00,bearish
15.7,1,3,tp,2025-01-24 15:48:00,bearish
20.7,1,18,tp,2025-01-24 19:30:00,bullish
-16.8,0,1,sl,2025-01-24 19:59:00,bullish
-99.3,0,15,sl,2025-01-27 08:29:00,bullish
-24.3,0,2,sl,2025-01-27 14:17:00,bullish
255.7,1,53,tp,2025-01-27 14:41:00,bullish
18.2,1,2,tp,2025-01-28 08:29:00,bullish
20.7,1,3,tp,2025-01-28 08:41:00,bullish
-19.3,0,2,sl,2025-01-28 14:22:00,bearish
225.7,1,13,tp,2025-01-28 14:35:00,bearish
208.2,1,14,tp,2025-01-28 15:10:00,bullish
185.7,1,91,tp,2025-01-28 15:36:00,bullish
5.7,1,1,tp,2025-01-28 19:42:00,bullish
-21.8,0,1,sl,2025-01-28 20:02:00,bullish
