pnl,win,bars_held,exit_type,timestamp,direction
-79.3,0,76,sl,2025-08-01 09:34:00,bullish
-106.8,0,13,sl,2025-08-01 16:28:00,bullish
-81.8,0,23,sl,2025-08-01 17:47:00,bullish
73.2,1,4,tp,2025-08-01 18:21:00,bullish
120.7,1,23,tp,2025-08-01 19:26:00,bullish
-49.3,0,1,sl,2025-08-03 22:03:00,bullish
70.7,1,15,tp,2025-08-03 22:34:00,bullish
75.7,1,86,tp,2025-08-04 00:14:00,bullish
-51.8,0,31,sl,2025-08-05 11:48:00,bullish
-44.3,0,4,sl,2025-08-05 13:21:00,bullish
155.7,1,60,tp,2025-08-05 13:34:00,bearish
-136.8,0,100,sl,2025-08-05 14:51:00,bearish
-136.8,0,67,sl,2025-08-05 16:52:00,bearish
78.2,1,3,tp,2025-08-05 18:51:00,bearish
70.7,1,23,tp,2025-08-07 18:31:00,bullish
70.7,1,39,tp,2025-08-07 18:59:00,bullish
-66.8,0,18,sl,2025-08-08 15:38:00,bearish
-81.8,0,30,sl,2025-08-08 17:31:00,bearish
40.7,1,88,tp,2025-08-08 18:17:00,bearish
45.7,1,18,tp,2025-08-11 15:25:00,bearish
75.7,1,21,tp,2025-08-11 16:23:00,bearish
73.2,1,60,tp,2025-08-11 18:47:00,bearish
-41.8,0,120,time,2025-08-11 20:00:00,bearish
23.2,1,38,tp,2025-08-11 23:35:00,bullish
33.2,1,30,tp,2025-08-12 06:36:00,bullish
-44.3,0,24,sl,2025-08-12 07:11:00,bullish
28.2,1,32,tp,2025-08-12 11:25:00,bullish
-274.3,0,84,sl,2025-08-12 13:56:00,bearish
-106.8,0,74,sl,2025-08-12 15:33:00,bearish
-31.8,0,25,sl,2025-08-13 09:22:00,bearish
18.2,1,6,tp,2025-08-13 11:27:00,bearish
85.7,1,67,tp,2025-08-13 17:08:00,bullish
-22.05,0,120,time,2025-08-13 18:59:00,bullish
20.7,1,30,tp,2025-08-14 01:08:00,bearish
110.7,1,25,tp,2025-08-14 15:01:00,bearish
-147.05,0,120,time,2025-08-14 15:33:00,bearish
55.7,1,24,tp,2025-08-14 17:47:00,bearish
-66.8,0,84,sl,2025-08-14 18:18:00,bearish
73.2,1,9,tp,2025-08-15 16:04:00,bullish
68.2,1,15,tp,2025-08-15 16:36:00,bullish
63.2,1,24,tp,2025-08-15 17:36:00,bullish
-51.8,0,28,sl,2025-08-15 18:36:00,bullish
-49.3,0,4,sl,2025-08-18 08:23:00,bullish
55.7,1,9,tp,2025-08-18 08:32:00,bullish
-29.3,0,9,sl,2025-08-18 11:10:00,bullish
35.7,1,60,tp,2025-08-18 11:54:00,bullish
-36.8,0,120,time,2025-08-18 14:09:00,bullish
63.2,1,38,tp,2025-08-18 16:53:00,bullish
39.7,1,120,time,2025-08-18 17:36:00,bullish
38.2,1,16,tp,2025-08-18 19:39:00,bullish
68.2,1,62,tp,2025-08-18 20:00:00,bullish
18.2,1,17,tp,2025-08-18 23:05:00,bearish
18.2,1,6,tp,2025-08-19 00:03:00,bearish
27.2,1,120,time,2025-08-19 00:37:00,bearish
-89.3,0,15,sl,2025-08-20 15:37:00,bullish
78.2,1,35,tp,2025-08-20 17:11:00,bullish
80.7,1,14,tp,2025-08-20 18:26:00,bullish
-1.55,0,120,time,2025-08-20 19:26:00,bullish
108.2,1,114,tp,2025-08-21 07:04:00,bearish
203.2,1,32,tp,2025-08-21 13:53:00,bullish
-111.8,0,9,sl,2025-08-21 14:31:00,bullish
-86.8,0,11,sl,2025-08-21 15:24:00,bearish
128.2,1,52,tp,2025-08-21 16:31:00,bearish
60.7,1,101,tp,2025-08-22 08:24:00,bullish
-226.8,0,27,sl,2025-08-22 13:34:00,bearish
-39.3,0,17,sl,2025-08-25 08:55:00,bullish
-49.3,0,46,sl,2025-08-25 09:41:00,bullish
-34.3,0,7,sl,2025-08-25 11:57:00,bullish
-71.8,0,28,sl,2025-08-25 13:06:00,bullish
-22.8,0,120,time,2025-08-25 15:57:00,bullish
28.2,1,8,tp,2025-08-25 19:48:00,bearish
-14.05,0,120,time,2025-08-26 15:21:00,bearish
-46.8,0,1,sl,2025-08-26 19:51:00,bearish
13.2,1,4,tp,2025-08-27 06:41:00,bullish
-29.3,0,6,sl,2025-08-27 07:15:00,bullish
15.7,1,8,tp,2025-08-27 09:27:00,bullish
23.2,1,18,tp,2025-08-27 11:11:00,bullish
78.2,1,93,tp,2025-08-27 14:24:00,bullish
38.2,1,6,tp,2025-08-27 16:32:00,bearish
28.2,1,12,tp,2025-08-27 17:26:00,bullish
-76.8,0,38,sl,2025-08-27 18:31:00,bullish
-66.8,0,27,sl,2025-08-27 19:24:00,bearish
-56.8,0,72,sl,2025-08-27 22:44:00,bullish
-44.3,0,60,sl,2025-08-28 00:04:00,bearish
-65.05,0,120,time,2025-08-28 16:46:00,bearish
35.7,1,53,tp,2025-08-28 19:07:00,bearish
20.7,1,5,tp,2025-08-31 23:52:00,bullish
283.2,1,6,tp,2025-09-03 15:47:00,bearish
215.7,1,8,tp,2025-09-05 14:21:00,bearish
293.2,1,16,tp,2025-09-05 15:18:00,bearish
-81.8,0,10,sl,2025-09-12 14:18:00,bearish
-86.8,0,50,sl,2025-09-12 15:16:00,bearish
-24.3,0,9,sl,2025-09-15 07:20:00,bearish
25.7,1,3,tp,2025-09-15 07:56:00,bearish
-2.8,0,120,time,2025-09-15 08:10:00,bearish
23.2,1,46,tp,2025-09-15 11:13:00,bullish
23.2,1,13,tp,2025-09-16 06:10:00,bearish
-21.8,0,1,sl,2025-09-16 07:10:00,bearish
30.2,1,120,time,2025-09-16 15:25:00,bullish
30.7,1,50,tp,2025-09-16 18:01:00,bullish
-24.3,0,18,sl,2025-09-16 19:09:00,bullish
-64.3,0,6,sl,2025-09-16 19:54:00,bullish
25.7,1,20,tp,2025-09-17 06:19:00,bullish
25.7,1,17,tp,2025-09-17 07:07:00,bullish
20.2,1,120,time,2025-09-17 08:51:00,bearish
-39.3,0,15,sl,2025-09-17 11:19:00,bullish
20.7,1,1,tp,2025-09-17 13:30:00,bullish
28.2,1,8,tp,2025-09-17 22:31:00,bullish
30.7,1,3,tp,2025-09-17 22:47:00,bullish
-34.3,0,102,sl,2025-09-17 23:17:00,bearish
-36.8,0,37,sl,2025-09-18 01:29:00,bearish
-31.8,0,11,sl,2025-09-18 06:55:00,bearish
-26.8,0,8,sl,2025-09-18 07:11:00,bearish
-71.3,0,120,time,2025-09-18 09:17:00,bearish
-41.8,0,14,sl,2025-09-19 06:07:00,bullish
35.7,1,11,tp,2025-09-19 06:30:00,bullish
35.7,1,16,tp,2025-09-19 07:14:00,bullish
25.7,1,20,tp,2025-09-19 09:05:00,bullish
