entry_ts,exit_ts,label,exit_type,pnl_1x,entry_price,sl,tp,gap_atr_ratio,gap_dollars,gap_m1_atr_ratio,h1_atr,m1_atr,h1_vol_pct,hour_et,dow_et,m1_bars_since_sweep,m1_bars_since_choch
2025-01-02T15:22:00+00:00,2025-01-02T17:29:00+00:00,1,TP,333.0,21342.5,21481.25,21176.0,0.0,55.5,0.994178,0.0,27.9125,0.5,10,3,82,37
2025-01-02T17:29:00+00:00,2025-01-02T23:46:00+00:00,0,TIME,91.0,21203.0,21336.75,21042.5,0.0,53.5,1.264028,0.0,21.1625,0.5,12,3,209,164
2025-01-08T11:33:00+00:00,2025-01-08T12:53:00+00:00,0,TIME,185.0,21364.0,21500.25,21200.5,0.37946,54.5,2.133072,71.8125,12.775,0.6437,6,2,252,223
2025-01-08T13:35:00+00:00,2025-01-08T14:56:00+00:00,0,TIME,59.5,21357.75,21450.25,21246.75,0.310729,37.0,0.803039,59.5375,23.0375,0.1798,8,2,42,35
2025-01-08T15:12:00+00:00,2025-01-08T16:36:00+00:00,0,TIME,-56.5,21336.0,21439.75,21211.5,0.334475,41.5,0.64391,62.0375,32.225,0.2308,10,2,139,132
2025-01-10T01:00:00+00:00,2025-01-10T02:01:00+00:00,0,TIME,-82.0,21206.75,21271.75,21128.75,0.286501,26.0,1.969697,45.375,6.6,0.0085,20,3,60,60
2025-01-10T14:39:00+00:00,2025-01-10T15:01:00+00:00,1,TP,291.0,21119.0,21240.25,20973.5,0.493639,48.5,0.805648,49.125,30.1,0.125,9,4,159,54
2025-01-10T15:52:00+00:00,2025-01-10T19:24:00+00:00,0,TIME,48.0,21087.0,21222.0,20925.0,0.440098,54.0,1.053659,61.35,25.625,0.2917,10,4,232,127
2025-01-20T13:02:00+00:00,2025-01-20T13:31:00+00:00,0,SL,-117.5,21576.5,21635.25,21506.0,0.308197,23.5,1.800766,38.125,6.525,0.0083,8,0,2,2
2025-01-20T15:22:00+00:00,2025-01-20T17:02:00+00:00,0,TIME,0.5,21704.25,21759.25,21638.25,0.262608,22.0,0.884422,41.8875,12.4375,0.025,10,0,139,139
2025-01-20T17:26:00+00:00,2025-01-20T23:37:00+00:00,0,TIME,-52.5,21693.0,21763.0,21609.0,0.289855,28.0,1.217391,48.3,11.5,0.05,12,0,263,263
2025-01-23T13:11:00+00:00,2025-01-23T14:17:00+00:00,0,TIME,7.5,21892.75,21940.25,21835.75,0.260899,19.0,1.583333,36.4125,6.0,0.0167,8,3,248,248
2025-01-27T01:36:00+00:00,2025-01-27T04:20:00+00:00,0,TIME,125.5,21560.5,21646.75,21457.0,0.30619,34.5,1.540179,56.3375,11.2,0.6417,20,6,96,96
2025-01-30T15:31:00+00:00,2025-01-30T16:15:00+00:00,1,TP,243.0,21548.0,21649.25,21426.5,0.274809,40.5,0.850394,73.6875,23.8125,0.5,10,3,31,16
