pnl,win,bars_held,exit_type,timestamp,direction
-54.3,0,10,sl,2025-11-05T15:11:00+00:00,bullish
-8.8,0,1,sl,2025-11-05T19:27:00+00:00,bullish
-16.8,0,1,sl,2025-11-07T08:20:00+00:00,bullish
34.45,1,3,tp,2025-11-10T09:03:00+00:00,bullish
-31.8,0,3,sl,2025-11-10T15:45:00+00:00,bullish
-15.3,0,3,sl,2025-11-11T08:23:00+00:00,bullish
-9.3,0,5,sl,2025-11-13T08:58:00+00:00,bullish
76.2,1,13,tp,2025-11-14T19:50:00+00:00,bullish
25.45,1,1,tp,2025-11-17T08:25:00+00:00,bullish
-20.8,0,1,sl,2025-11-18T08:44:00+00:00,bullish
174.2,1,40,tp,2025-11-18T19:01:00+00:00,bullish
-17.3,0,1,sl,2025-11-19T08:05:00+00:00,bullish
134.95,1,25,tp,2025-11-21T08:22:00+00:00,bullish
149.95,1,8,tp,2025-11-21T19:02:00+00:00,bullish
29.45,1,4,tp,2025-11-24T19:58:00+00:00,bullish
-5.3,0,2,sl,2025-11-25T08:02:00+00:00,bullish
-59.8,0,2,sl,2025-11-25T15:50:00+00:00,bullish
-8.3,0,1,sl,2025-11-27T08:44:00+00:00,bullish
-20.3,0,2,sl,2025-11-28T15:28:00+00:00,bullish
57.45,1,1,tp,2025-12-02T16:01:00+00:00,bullish
101.2,1,11,tp,2025-12-03T15:23:00+00:00,bullish
-10.8,0,1,sl,2025-12-05T15:20:00+00:00,bullish
-34.8,0,3,sl,2025-12-09T15:06:00+00:00,bullish
-14.3,0,2,sl,2025-12-09T19:06:00+00:00,bullish
47.95,1,8,tp,2025-12-10T15:12:00+00:00,bullish
-40.8,0,8,sl,2025-12-10T19:16:00+00:00,bullish
-12.3,0,1,sl,2025-12-11T19:54:00+00:00,bullish
-11.3,0,1,sl,2025-12-15T08:10:00+00:00,bullish
-14.8,0,2,sl,2025-12-15T19:16:00+00:00,bullish
63.7,1,20,tp,2025-12-17T08:56:00+00:00,bullish
-23.3,0,22,sl,2025-12-17T20:05:00+00:00,bullish
-10.3,0,1,sl,2025-12-18T08:26:00+00:00,bullish
7.95,1,1,tp,2025-12-19T08:19:00+00:00,bullish
-29.3,0,8,sl,2025-12-19T15:08:00+00:00,bullish
18.45,1,2,tp,2025-12-19T19:32:00+00:00,bullish
-5.8,0,1,sl,2025-12-22T08:13:00+00:00,bullish
-5.8,0,2,sl,2025-12-22T19:43:00+00:00,bullish
13.7,1,3,tp,2025-12-23T08:21:00+00:00,bullish
6.7,1,1,tp,2025-12-23T19:19:00+00:00,bullish
8.95,1,5,tp,2025-12-24T08:17:00+00:00,bullish
56.7,1,42,tp,2025-12-24T15:25:00+00:00,bullish
-17.8,0,2,sl,2025-12-26T16:10:00+00:00,bullish
-9.8,0,2,sl,2025-12-26T20:04:00+00:00,bullish
-12.3,0,5,sl,2025-12-29T20:02:00+00:00,bullish
-27.3,0,1,sl,2025-12-30T15:05:00+00:00,bullish
8.95,1,1,tp,2025-12-30T19:19:00+00:00,bullish
-28.8,0,1,sl,2026-01-02T15:05:00+00:00,bullish
29.7,1,1,tp,2026-01-02T19:36:00+00:00,bullish
-11.3,0,4,sl,2026-01-05T15:39:00+00:00,bullish
25.7,1,19,tp,2026-01-06T19:04:00+00:00,bullish
13.2,1,2,tp,2026-01-07T08:16:00+00:00,bullish
