ts_utc,symbol,bid,ask,bid_size,ask_size,last,spread
2026-06-26T13:25:21Z,MHGN26,6.1085,6.11,2,3,6.108,0.0015000000000000568
2026-06-26T13:25:21Z,MHGU26,6.1715,6.1725,2,3,6.172,0.001000000000000334
2026-06-26T13:25:26Z,MHGN26,6.1085,6.11,3,1,6.108,0.0015000000000000568
2026-06-26T13:25:26Z,MHGU26,6.1715,6.1725,2,2,6.1715,0.001000000000000334
2026-06-26T13:25:32Z,MHGN26,6.1085,6.11,3,1,6.1085,0.0015000000000000568
2026-06-26T13:25:32Z,MHGU26,6.1715,6.1725,3,1,6.1715,0.001000000000000334
2026-06-26T13:25:37Z,MHGN26,6.1085,6.11,2,3,6.1085,0.0015000000000000568
2026-06-26T13:25:37Z,MHGU26,6.1715,6.1725,2,3,6.1715,0.001000000000000334
2026-06-26T13:25:42Z,MHGN26,6.111,6.1125,2,3,6.1085,0.0015000000000000568
2026-06-26T13:25:42Z,MHGU26,6.174,6.175,2,3,6.1715,0.0009999999999994458
2026-06-26T13:25:47Z,MHGN26,6.111,6.1125,3,1,6.1125,0.0015000000000000568
2026-06-26T13:25:47Z,MHGU26,6.174,6.175,3,1,6.175,0.0009999999999994458
2026-06-26T13:25:53Z,MHGN26,6.112,6.1135,2,3,6.1125,0.0015000000000000568
2026-06-26T13:25:53Z,MHGU26,6.175,6.176,2,3,6.175,0.001000000000000334
2026-06-26T13:25:58Z,MHGN26,6.111,6.1125,1,3,6.1125,0.0015000000000000568
2026-06-26T13:25:58Z,MHGU26,6.174,6.175,1,3,6.175,0.0009999999999994458
2026-06-26T13:26:03Z,MHGN26,6.111,6.1125,2,2,6.1125,0.0015000000000000568
2026-06-26T13:26:03Z,MHGU26,6.174,6.175,2,2,6.175,0.0009999999999994458
2026-06-26T13:26:09Z,MHGN26,6.1115,6.113,3,2,6.1125,0.0015000000000000568
2026-06-26T13:26:09Z,MHGU26,6.1745,6.1755,3,2,6.175,0.001000000000000334
2026-06-26T13:26:14Z,MHGN26,6.112,6.1135,2,3,6.1125,0.0015000000000000568
2026-06-26T13:26:14Z,MHGU26,6.175,6.176,2,3,6.175,0.001000000000000334
