entry_time,exit_time,direction,entry_price,exit_price,exit_type,bars_held,pnl
2025-05-23T11:45:00+00:00,2025-05-23T14:10:00+00:00,SHORT,4.712,4.729,sl,32,-42.5
2025-06-04T10:27:00+00:00,2025-06-04T14:09:00+00:00,SHORT,4.878,4.8725,time,60,13.75
2025-06-05T07:57:00+00:00,2025-06-05T08:01:00+00:00,SHORT,4.907,4.916,sl,2,-22.5
2025-06-05T12:16:00+00:00,2025-06-05T12:26:00+00:00,SHORT,4.9935,5.0055,sl,8,-30.0
2025-06-05T15:35:00+00:00,2025-06-05T16:36:00+00:00,SHORT,4.965,4.94,time,60,62.5
2025-06-06T07:02:00+00:00,2025-06-06T08:15:00+00:00,SHORT,4.927,4.8665,time,60,151.25
2025-06-10T01:29:00+00:00,2025-06-10T02:49:00+00:00,SHORT,4.8795,4.8815,time,60,-5.0
2025-06-11T06:29:00+00:00,2025-06-11T07:33:00+00:00,SHORT,4.893,4.865,time,60,70.0
2025-06-11T08:39:00+00:00,2025-06-11T09:01:00+00:00,SHORT,4.8635,4.8155,tp,16,120.0
2025-06-11T09:02:00+00:00,2025-06-11T12:38:00+00:00,SHORT,4.823,4.853,sl,9,-75.0
2025-06-12T12:42:00+00:00,2025-06-12T13:44:00+00:00,SHORT,4.818,4.819,time,60,-2.5
2025-06-13T06:45:00+00:00,2025-06-13T07:33:00+00:00,SHORT,4.7635,4.7775,sl,17,-35.0
2025-06-18T14:02:00+00:00,2025-06-18T14:20:00+00:00,SHORT,4.818,4.829,sl,16,-27.5
2025-06-18T19:31:00+00:00,2025-06-19T01:05:00+00:00,SHORT,4.861,4.8545,time,60,16.25
2025-06-19T01:41:00+00:00,2025-06-19T03:01:00+00:00,SHORT,4.854,4.841,time,60,32.5
2025-06-19T06:44:00+00:00,2025-06-19T06:53:00+00:00,SHORT,4.81,4.819,sl,8,-22.5
2025-06-19T07:15:00+00:00,2025-06-19T08:26:00+00:00,SHORT,4.8135,4.8145,time,60,-2.5
2025-06-19T08:39:00+00:00,2025-06-19T10:27:00+00:00,SHORT,4.816,4.817,time,60,-2.5
2025-06-25T09:30:00+00:00,2025-06-25T10:59:00+00:00,SHORT,4.881,4.8845,time,60,-8.75
2025-06-25T11:36:00+00:00,2025-06-25T12:18:00+00:00,SHORT,4.8975,4.9095,sl,27,-30.0
