month,entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,killzone_window,lr_regime,cumulative_pnl
2025-02,2025-02-04T09:30:00+00:00,2025-02-04T09:31:00+00:00,98645.0,98619.0,bullish,-28.0,stop_loss,London AM,SIDEWAYS,-28.0
2025-02,2025-02-07T09:47:00+00:00,2025-02-07T09:52:00+00:00,97304.0,97368.0,bullish,62.0,target,London AM,DOWN,34.0
2025-02,2025-02-07T15:58:00+00:00,2025-02-07T16:02:00+00:00,98248.5,97825.5,bullish,-425.0,stop_loss,NY AM,SIDEWAYS,-391.0
2025-02,2025-02-10T09:18:00+00:00,2025-02-10T09:28:00+00:00,97817.5,97792.5,bullish,-27.0,stop_loss,London AM,SIDEWAYS,-418.0
2025-02,2025-02-11T15:57:00+00:00,2025-02-11T15:58:00+00:00,97036.0,97010.0,bullish,-28.0,stop_loss,NY AM,SIDEWAYS,-446.0
2025-02,2025-02-12T15:01:00+00:00,2025-02-12T15:02:00+00:00,95527.0,95239.0,bullish,-290.0,stop_loss,NY AM,DOWN,-736.0
2025-02,2025-02-14T09:37:00+00:00,2025-02-14T09:39:00+00:00,97086.5,97102.0,bullish,13.5,target,London AM,SIDEWAYS,-722.5
2025-02,2025-02-17T09:14:00+00:00,2025-02-17T09:20:00+00:00,96249.0,96239.0,bullish,-12.0,stop_loss,London AM,DOWN,-734.5
2025-02,2025-02-17T15:11:00+00:00,2025-02-17T15:12:00+00:00,96713.0,96647.0,bullish,-68.0,stop_loss,NY AM,SIDEWAYS,-802.5
2025-02,2025-02-24T09:20:00+00:00,2025-02-24T09:21:00+00:00,95750.0,95740.0,bullish,-12.0,stop_loss,London AM,SIDEWAYS,-814.5
2025-02,2025-02-26T09:48:00+00:00,2025-02-26T09:52:00+00:00,88990.0,89120.0,bullish,128.0,target,London AM,DOWN,-686.5
2025-02,2025-02-11T09:27:00+00:00,2025-02-11T09:30:00+00:00,98196.0,98232.0,bearish,-38.0,stop_loss,London AM,UP,-724.5
2025-02,2025-02-19T09:30:00+00:00,2025-02-19T09:41:00+00:00,95797.0,95823.0,bearish,-28.0,stop_loss,London AM,SIDEWAYS,-752.5
2025-02,2025-02-21T09:51:00+00:00,2025-02-21T09:52:00+00:00,98350.0,98414.0,bearish,-66.0,stop_loss,London AM,UP,-818.5
2025-02,2025-02-21T15:35:00+00:00,2025-02-21T15:36:00+00:00,97917.5,97661.0,bearish,254.5,target,NY AM,UP,-564.0
2025-03,2025-03-11T08:58:00+00:00,2025-03-11T09:26:00+00:00,81125.5,81537.0,bullish,409.5,target,London AM,SIDEWAYS,-154.5
2025-03,2025-03-12T08:47:00+00:00,2025-03-12T08:51:00+00:00,82649.5,82630.5,bullish,-21.0,stop_loss,London AM,SIDEWAYS,-175.5
2025-03,2025-03-17T08:57:00+00:00,2025-03-17T09:03:00+00:00,83574.5,83529.5,bullish,-47.0,stop_loss,London AM,DOWN,-222.5
2025-03,2025-03-17T14:36:00+00:00,2025-03-17T14:38:00+00:00,82959.0,83142.0,bullish,181.0,target,NY AM,DOWN,-41.5
2025-03,2025-03-18T08:07:00+00:00,2025-03-18T08:09:00+00:00,83230.5,83191.5,bullish,-41.0,stop_loss,London AM,SIDEWAYS,-82.5
2025-03,2025-03-18T14:15:00+00:00,2025-03-18T14:19:00+00:00,81298.5,81173.5,bullish,-127.0,stop_loss,NY AM,DOWN,-209.5
2025-03,2025-03-19T08:44:00+00:00,2025-03-19T08:50:00+00:00,83396.5,83500.0,bullish,101.5,target,London AM,SIDEWAYS,-108.0
2025-03,2025-03-21T09:01:00+00:00,2025-03-21T09:03:00+00:00,83922.5,83899.5,bullish,-25.0,stop_loss,London AM,DOWN,-133.0
2025-03,2025-03-21T15:04:00+00:00,2025-03-21T15:05:00+00:00,84033.0,84023.0,bullish,-12.0,stop_loss,NY AM,DOWN,-145.0
2025-03,2025-03-25T08:58:00+00:00,2025-03-25T09:01:00+00:00,86744.5,86721.5,bullish,-25.0,stop_loss,London AM,SIDEWAYS,-170.0
2025-03,2025-03-03T15:55:00+00:00,2025-03-03T15:57:00+00:00,90685.5,90314.0,bearish,369.5,target,NY AM,SIDEWAYS,199.5
2025-03,2025-03-11T14:09:00+00:00,2025-03-11T14:27:00+00:00,81096.0,80058.0,bearish,1036.0,target,NY AM,SIDEWAYS,1235.5
2025-03,2025-03-14T14:25:00+00:00,2025-03-14T14:38:00+00:00,83113.5,83208.5,bearish,-97.0,stop_loss,NY AM,UP,1138.5
2025-03,2025-03-25T15:00:00+00:00,2025-03-25T15:02:00+00:00,88062.0,88162.0,bearish,-102.0,stop_loss,NY AM,SIDEWAYS,1036.5
2025-03,2025-03-26T08:02:00+00:00,2025-03-26T09:20:00+00:00,88225.0,87898.0,bearish,325.0,target,London AM,UP,1361.5
2025-04,2025-04-02T08:09:00+00:00,2025-04-02T08:15:00+00:00,84351.5,84318.5,bullish,-35.0,stop_loss,London AM,SIDEWAYS,1326.5
2025-04,2025-04-04T08:08:00+00:00,2025-04-04T08:10:00+00:00,84076.0,84337.0,bullish,259.0,target,London AM,SIDEWAYS,1585.5
2025-04,2025-04-04T14:27:00+00:00,2025-04-04T14:29:00+00:00,82791.5,82712.5,bullish,-81.0,stop_loss,NY AM,SIDEWAYS,1504.5
2025-04,2025-04-09T08:08:00+00:00,2025-04-09T08:09:00+00:00,77525.0,77415.0,bullish,-112.0,stop_loss,London AM,SIDEWAYS,1392.5
2025-04,2025-04-09T14:42:00+00:00,2025-04-09T14:44:00+00:00,77508.5,77437.5,bullish,-73.0,stop_loss,NY AM,DOWN,1319.5
2025-04,2025-04-11T08:11:00+00:00,2025-04-11T08:14:00+00:00,81570.5,81425.5,bullish,-147.0,stop_loss,London AM,SIDEWAYS,1172.5
2025-04,2025-04-14T08:53:00+00:00,2025-04-14T09:23:00+00:00,84731.5,84654.5,bullish,-79.0,stop_loss,London AM,DOWN,1093.5
2025-04,2025-04-16T08:46:00+00:00,2025-04-16T08:48:00+00:00,83851.5,83800.5,bullish,-53.0,stop_loss,London AM,DOWN,1040.5
2025-04,2025-04-16T14:54:00+00:00,2025-04-16T14:56:00+00:00,84646.5,84561.5,bullish,-87.0,stop_loss,NY AM,SIDEWAYS,953.5
2025-04,2025-04-18T08:21:00+00:00,2025-04-18T08:26:00+00:00,84707.0,84766.0,bullish,57.0,target,London AM,SIDEWAYS,1010.5
2025-04,2025-04-18T14:13:00+00:00,2025-04-18T14:16:00+00:00,84505.0,84479.0,bullish,-28.0,stop_loss,NY AM,SIDEWAYS,982.5
2025-04,2025-04-28T08:24:00+00:00,2025-04-28T08:28:00+00:00,94762.0,94867.0,bullish,103.0,target,London AM,SIDEWAYS,1085.5
2025-04,2025-04-28T14:56:00+00:00,2025-04-28T14:57:00+00:00,94503.0,94417.0,bullish,-88.0,stop_loss,NY AM,SIDEWAYS,997.5
2025-04,2025-04-29T08:11:00+00:00,2025-04-29T08:14:00+00:00,95030.0,95018.0,bullish,-14.0,stop_loss,London AM,SIDEWAYS,983.5
2025-04,2025-04-30T09:00:00+00:00,2025-04-30T09:15:00+00:00,94744.5,94725.5,bullish,-21.0,stop_loss,London AM,DOWN,962.5
2025-04,2025-04-30T14:37:00+00:00,2025-04-30T14:38:00+00:00,93945.5,93916.5,bullish,-31.0,stop_loss,NY AM,DOWN,931.5
2025-04,2025-04-01T08:43:00+00:00,2025-04-01T08:45:00+00:00,83986.0,84024.0,bearish,-40.0,stop_loss,London AM,UP,891.5
2025-04,2025-04-15T08:43:00+00:00,2025-04-15T08:46:00+00:00,85854.5,85903.5,bearish,-51.0,stop_loss,London AM,UP,840.5
2025-04,2025-04-21T08:49:00+00:00,2025-04-21T08:50:00+00:00,87590.0,87610.0,bearish,-22.0,stop_loss,London AM,UP,818.5
2025-04,2025-04-22T08:42:00+00:00,2025-04-22T08:45:00+00:00,88475.5,88369.0,bearish,104.5,target,London AM,UP,923.0
2025-04,2025-04-22T14:03:00+00:00,2025-04-22T14:14:00+00:00,90334.0,90496.0,bearish,-164.0,stop_loss,NY AM,UP,759.0
2025-04,2025-04-23T08:42:00+00:00,2025-04-23T08:45:00+00:00,94301.5,94340.5,bearish,-41.0,stop_loss,London AM,UP,718.0
2025-04,2025-04-23T14:27:00+00:00,2025-04-23T15:01:00+00:00,93234.0,92732.0,bearish,500.0,target,NY AM,SIDEWAYS,1218.0
2025-04,2025-04-29T14:08:00+00:00,2025-04-29T14:40:00+00:00,95022.0,95202.0,bearish,-182.0,stop_loss,NY AM,SIDEWAYS,1036.0
2025-05,2025-05-02T08:31:00+00:00,2025-05-02T08:32:00+00:00,96663.0,96651.0,bullish,-14.0,stop_loss,London AM,SIDEWAYS,1022.0
2025-05,2025-05-05T14:57:00+00:00,2025-05-05T15:00:00+00:00,93942.5,93803.5,bullish,-141.0,stop_loss,NY AM,DOWN,881.0
2025-05,2025-05-06T09:01:00+00:00,2025-05-06T09:04:00+00:00,94288.5,94277.5,bullish,-13.0,stop_loss,London AM,SIDEWAYS,868.0
2025-05,2025-05-13T08:58:00+00:00,2025-05-13T09:02:00+00:00,102762.5,102858.0,bullish,93.5,target,London AM,SIDEWAYS,961.5
2025-05,2025-05-20T08:55:00+00:00,2025-05-20T09:00:00+00:00,105188.5,105271.0,bullish,80.5,target,London AM,SIDEWAYS,1042.0
2025-05,2025-05-20T14:54:00+00:00,2025-05-20T14:57:00+00:00,104753.0,104621.0,bullish,-134.0,stop_loss,NY AM,SIDEWAYS,908.0
2025-05,2025-05-23T08:46:00+00:00,2025-05-23T08:52:00+00:00,110951.0,110909.0,bullish,-44.0,stop_loss,London AM,SIDEWAYS,864.0
2025-05,2025-05-27T08:12:00+00:00,2025-05-27T08:15:00+00:00,109716.0,109694.0,bullish,-24.0,stop_loss,London AM,SIDEWAYS,840.0
2025-05,2025-05-28T08:07:00+00:00,2025-05-28T08:08:00+00:00,108962.0,108942.0,bullish,-22.0,stop_loss,London AM,SIDEWAYS,818.0
2025-05,2025-05-30T08:54:00+00:00,2025-05-30T08:57:00+00:00,105371.5,105304.5,bullish,-69.0,stop_loss,London AM,DOWN,749.0
2025-05,2025-05-02T14:20:00+00:00,2025-05-02T14:24:00+00:00,97043.0,97117.0,bearish,-76.0,stop_loss,NY AM,UP,673.0
2025-05,2025-05-05T08:55:00+00:00,2025-05-05T08:57:00+00:00,94517.5,94542.5,bearish,-27.0,stop_loss,London AM,SIDEWAYS,646.0
2025-05,2025-05-09T08:15:00+00:00,2025-05-09T08:20:00+00:00,103602.0,103662.0,bearish,-62.0,stop_loss,London AM,UP,584.0
2025-05,2025-05-09T14:44:00+00:00,2025-05-09T14:52:00+00:00,102987.5,103142.5,bearish,-157.0,stop_loss,NY AM,UP,427.0
2025-05,2025-05-12T08:01:00+00:00,2025-05-12T08:04:00+00:00,104518.0,104300.0,bearish,216.0,target,London AM,UP,643.0
2025-05,2025-05-13T14:21:00+00:00,2025-05-13T14:28:00+00:00,103225.5,103490.5,bearish,-267.0,stop_loss,NY AM,SIDEWAYS,376.0
2025-05,2025-05-14T08:11:00+00:00,2025-05-14T08:17:00+00:00,103633.0,103669.0,bearish,-38.0,stop_loss,London AM,UP,338.0
2025-05,2025-05-14T14:36:00+00:00,2025-05-14T14:37:00+00:00,103172.0,103252.0,bearish,-82.0,stop_loss,NY AM,UP,256.0
2025-05,2025-05-19T08:12:00+00:00,2025-05-19T08:17:00+00:00,103210.0,103296.0,bearish,-88.0,stop_loss,London AM,SIDEWAYS,168.0
2025-05,2025-05-21T08:10:00+00:00,2025-05-21T08:11:00+00:00,106748.0,106788.0,bearish,-42.0,stop_loss,London AM,UP,126.0
