entry_time,exit_time,entry_price,stop_loss,target_price,exit_price,direction,pnl,exit_reason,killzone_window,bars_held,rr_target
2024-11-09T14:03:00+00:00,2024-11-09T14:05:00+00:00,76477.5,76472.5,76537.0,76459.0,bullish,-7.0,stop_loss,NY AM,2,11.9
2024-11-10T00:37:00+00:00,2024-11-10T00:45:00+00:00,76792.0,76724.0,76992.0,77007.0,bullish,198.0,target,Asia,8,2.94
2024-11-10T08:14:00+00:00,2024-11-10T08:16:00+00:00,79105.0,79021.0,79276.0,79021.0,bullish,-86.0,stop_loss,London AM,2,2.04
2024-11-11T08:15:00+00:00,2024-11-11T08:20:00+00:00,81299.5,81262.5,81396.0,81250.0,bullish,-39.0,stop_loss,London AM,5,2.61
2024-11-11T14:11:00+00:00,2024-11-11T14:12:00+00:00,82039.0,81985.0,82278.0,81876.0,bullish,-56.0,stop_loss,NY AM,1,4.43
2024-11-12T09:05:00+00:00,2024-11-12T09:06:00+00:00,89394.0,89350.0,89698.0,89321.0,bullish,-46.0,stop_loss,London AM,1,6.91
2024-11-13T00:08:00+00:00,2024-11-13T00:11:00+00:00,88248.0,88116.0,88535.0,88033.0,bullish,-134.0,stop_loss,Asia,3,2.17
2024-11-13T08:28:00+00:00,2024-11-13T08:32:00+00:00,87668.0,87624.0,87776.0,87817.0,bullish,106.0,target,London AM,4,2.45
2024-11-13T14:27:00+00:00,2024-11-13T14:28:00+00:00,89926.5,89905.5,90038.0,90098.0,bullish,109.5,target,NY AM,1,5.31
2024-11-14T00:42:00+00:00,2024-11-14T00:43:00+00:00,90120.0,89948.0,90506.0,89846.0,bullish,-174.0,stop_loss,Asia,1,2.24
2024-11-14T14:16:00+00:00,2024-11-14T14:20:00+00:00,90800.0,90666.0,91161.0,91140.0,bullish,359.0,target,NY AM,4,2.69
2024-11-15T00:44:00+00:00,2024-11-15T00:49:00+00:00,88220.0,88086.0,88533.0,88000.0,bullish,-136.0,stop_loss,Asia,5,2.34
2024-11-16T00:23:00+00:00,2024-11-16T00:24:00+00:00,91051.0,91041.0,91224.0,90971.0,bullish,-12.0,stop_loss,Asia,1,17.3
2024-11-16T08:01:00+00:00,2024-11-16T08:02:00+00:00,91220.0,91204.0,91304.0,91302.0,bullish,82.0,target,London AM,1,5.25
2024-11-18T08:29:00+00:00,2024-11-18T08:30:00+00:00,92051.0,92005.0,92270.0,91964.0,bullish,-48.0,stop_loss,London AM,1,4.76
2024-11-18T14:47:00+00:00,2024-11-18T14:54:00+00:00,90382.0,90156.0,90926.0,90189.0,bullish,-228.0,stop_loss,NY AM,7,2.41
2024-11-19T00:17:00+00:00,2024-11-19T00:20:00+00:00,90602.0,90546.0,90733.0,90660.0,bullish,129.0,target,Asia,3,2.34
2024-11-19T08:59:00+00:00,2024-11-19T09:02:00+00:00,91880.5,91851.5,91975.0,92000.0,bullish,92.5,target,London AM,3,3.26
2024-11-19T14:15:00+00:00,2024-11-19T14:19:00+00:00,91727.0,91639.0,91990.0,91644.0,bullish,-90.0,stop_loss,NY AM,4,2.99
2024-11-20T00:07:00+00:00,2024-11-20T00:09:00+00:00,92377.5,92308.5,92521.0,92537.0,bullish,141.5,target,Asia,2,2.08
2024-11-20T08:08:00+00:00,2024-11-20T08:09:00+00:00,92961.5,92946.5,92997.0,93082.0,bullish,33.5,target,London AM,1,2.37
2024-11-23T14:31:00+00:00,2024-11-23T14:40:00+00:00,98805.0,98775.0,98898.0,98899.0,bullish,91.0,target,NY AM,9,3.1
2024-11-24T08:10:00+00:00,2024-11-24T08:22:00+00:00,98546.0,98508.0,98644.0,98455.0,bullish,-40.0,stop_loss,London AM,12,2.58
2024-11-25T00:57:00+00:00,2024-11-25T00:58:00+00:00,98078.5,98015.5,98254.0,98000.0,bullish,-65.0,stop_loss,Asia,1,2.79
2024-11-25T08:44:00+00:00,2024-11-25T08:48:00+00:00,98372.5,98363.5,98406.0,98406.0,bullish,31.5,target,London AM,4,3.72
2024-11-25T14:38:00+00:00,2024-11-25T14:41:00+00:00,97150.0,97034.0,97437.0,96908.0,bullish,-118.0,stop_loss,NY AM,3,2.47
2024-11-27T08:44:00+00:00,2024-11-27T08:49:00+00:00,93532.5,93509.5,93630.0,93497.0,bullish,-25.0,stop_loss,London AM,5,4.24
2024-11-27T14:46:00+00:00,2024-11-27T14:48:00+00:00,94671.0,94545.0,94926.0,94607.0,bullish,-128.0,stop_loss,NY AM,2,2.02
2024-11-28T00:47:00+00:00,2024-11-28T00:53:00+00:00,96309.5,96276.5,96431.0,96536.0,bullish,119.5,target,Asia,6,3.68
2024-11-28T08:38:00+00:00,2024-11-28T08:42:00+00:00,95481.0,95429.0,95641.0,95423.0,bullish,-54.0,stop_loss,London AM,4,3.08
2024-11-28T14:43:00+00:00,2024-11-28T14:57:00+00:00,95703.5,95590.5,95961.0,95563.0,bullish,-115.0,stop_loss,NY AM,14,2.28
2024-11-29T08:21:00+00:00,2024-11-29T08:22:00+00:00,95843.0,95819.0,95912.0,95812.0,bullish,-26.0,stop_loss,London AM,1,2.88
2024-11-30T09:00:00+00:00,2024-11-30T09:01:00+00:00,97004.5,96981.5,97074.0,96965.0,bullish,-25.0,stop_loss,London AM,1,3.02
2024-12-01T00:54:00+00:00,2024-12-01T00:57:00+00:00,96515.5,96490.5,96790.0,96449.0,bullish,-27.0,stop_loss,Asia,3,10.98
2024-12-01T08:32:00+00:00,2024-12-01T08:48:00+00:00,96899.0,96849.0,97240.0,97209.0,bullish,339.0,target,London AM,16,6.82
2024-12-01T14:15:00+00:00,2024-12-01T14:20:00+00:00,97272.0,97244.0,97395.0,97440.0,bullish,121.0,target,NY AM,5,4.39
2024-12-02T00:47:00+00:00,2024-12-02T00:48:00+00:00,97632.5,97583.5,97741.0,97560.0,bullish,-51.0,stop_loss,Asia,1,2.21
2024-12-02T08:22:00+00:00,2024-12-02T08:27:00+00:00,95502.0,95214.0,96319.0,95218.0,bullish,-290.0,stop_loss,London AM,5,2.84
