entry_ts,exit_ts,entry_bar,exit_bar,entry_price,exit_price,trigger,exit_reason,hold_bars,pnl,winner
2024-12-20 11:32:00+00:00,2024-12-29 12:15:00+00:00,579,713,93507.0,94989.0,crossunder_lower,midline_return,134,1478.0,True
2025-01-05 06:27:00+00:00,2025-01-06 06:52:00+00:00,996,1046,98379.0,99581.0,crossunder_lower,midline_return,50,1198.0,True
2025-04-29 03:41:00+00:00,2025-05-02 01:57:00+00:00,4919,4969,94726.0,97075.0,crossunder_lower,midline_return,50,2345.0,True
2025-05-13 06:59:00+00:00,2025-05-18 09:01:00+00:00,5389,5552,102564.0,104014.0,crossunder_lower,midline_return,163,1446.0,True
2025-06-30 21:13:00+00:00,2025-07-03 01:28:00+00:00,6485,6498,107494.0,109172.0,crossunder_lower,midline_return,13,1674.0,True
2025-07-15 23:59:00+00:00,2025-07-20 19:49:00+00:00,7114,7250,117854.0,118485.0,crossunder_lower,midline_return,136,627.0,True
2025-07-21 23:39:00+00:00,2025-07-22 07:19:00+00:00,7264,7265,117587.0,118414.0,crossunder_lower,midline_return,1,823.0,True
2025-07-25 22:50:00+00:00,2025-07-26 13:59:00+00:00,7284,7339,117370.0,118236.0,crossunder_lower,midline_return,55,862.0,True
2025-08-14 23:03:00+00:00,2025-08-15 04:14:00+00:00,8123,8131,118342.0,119258.0,crossunder_lower,midline_return,8,912.0,True
2025-09-09 19:09:00+00:00,2025-09-10 06:52:00+00:00,9430,9458,111267.0,111910.0,crossunder_lower,midline_return,28,639.0,True
2025-09-13 11:18:00+00:00,2025-09-14 11:07:00+00:00,9629,9816,115985.0,116184.0,crossunder_lower,midline_return,187,195.0,True
2025-10-05 00:35:00+00:00,2025-10-23 07:03:00+00:00,11239,11441,122467.0,110204.0,crossunder_lower,midline_return,202,-12267.0,False
2025-10-31 23:29:00+00:00,2025-11-01 16:51:00+00:00,11726,11845,109573.0,109931.0,crossunder_lower,midline_return,119,354.0,True
2025-11-01 22:23:00+00:00,2025-11-01 22:27:00+00:00,12160,12162,109919.0,109986.0,crossunder_lower,midline_return,2,63.0,True
2025-12-23 06:11:00+00:00,2025-12-24 22:54:00+00:00,13544,13593,87652.0,87971.0,crossunder_lower,midline_return,49,315.0,True
2025-12-28 16:08:00+00:00,2025-12-28 23:54:00+00:00,14315,14378,87829.0,87839.0,crossunder_lower,midline_return,63,6.0,True
2025-12-31 21:40:00+00:00,2026-01-01 12:20:00+00:00,14499,14630,87743.0,87877.0,crossunder_lower,midline_return,131,130.0,True
