windows,ny_am_variant,target_cap_rr,stop_mult,train_trades,train_pf,train_wr,train_pnl,holdout_trades,holdout_pf,holdout_wr,holdout_pnl,qualified
London AM,N/A,0.0,0.5,286,1.0197,0.2867,218.0,,,,,True
London AM,N/A,0.0,0.75,261,1.0795,0.2874,824.0,,,,,True
London AM,N/A,0.0,1.0,235,1.2577,0.3106,2157.0,,,,,True
London AM,N/A,2.0,0.5,286,0.8021,0.3497,-2086.0,,,,,True
London AM,N/A,2.0,0.75,261,0.8484,0.3793,-1476.0,,,,,True
London AM,N/A,2.0,1.0,235,1.0015,0.3787,11.5,,,,,True
London AM,N/A,3.0,0.5,286,0.9263,0.3182,-802.5,,,,,True
London AM,N/A,3.0,0.75,261,1.0211,0.3372,212.0,,,,,True
London AM,N/A,3.0,1.0,235,1.2314,0.3532,1869.0,,,,,True
London AM,N/A,4.0,0.5,286,1.001,0.3147,11.0,,,,,True
London AM,N/A,4.0,0.75,261,1.0936,0.3218,952.0,,,,,True
London AM,N/A,4.0,1.0,235,1.3165,0.3404,2593.5,,,,,True
London AM,N/A,0.0,0.5,286,1.0197,0.2867,218.0,,,,,True
London AM,N/A,0.0,0.75,261,1.0795,0.2874,824.0,,,,,True
London AM,N/A,0.0,1.0,235,1.2577,0.3106,2157.0,,,,,True
London AM,N/A,2.0,0.5,286,0.8021,0.3497,-2086.0,,,,,True
London AM,N/A,2.0,0.75,261,0.8484,0.3793,-1476.0,,,,,True
London AM,N/A,2.0,1.0,235,1.0015,0.3787,11.5,,,,,True
London AM,N/A,3.0,0.5,286,0.9263,0.3182,-802.5,,,,,True
London AM,N/A,3.0,0.75,261,1.0211,0.3372,212.0,,,,,True
London AM,N/A,3.0,1.0,235,1.2314,0.3532,1869.0,,,,,True
London AM,N/A,4.0,0.5,286,1.001,0.3147,11.0,,,,,True
London AM,N/A,4.0,0.75,261,1.0936,0.3218,952.0,,,,,True
London AM,N/A,4.0,1.0,235,1.3165,0.3404,2593.5,,,,,True
London AM,N/A,0.0,0.5,286,1.0197,0.2867,218.0,,,,,True
London AM,N/A,0.0,0.75,261,1.0795,0.2874,824.0,,,,,True
London AM,N/A,0.0,1.0,235,1.2577,0.3106,2157.0,,,,,True
London AM,N/A,2.0,0.5,286,0.8021,0.3497,-2086.0,,,,,True
London AM,N/A,2.0,0.75,261,0.8484,0.3793,-1476.0,,,,,True
London AM,N/A,2.0,1.0,235,1.0015,0.3787,11.5,,,,,True
London AM,N/A,3.0,0.5,286,0.9263,0.3182,-802.5,,,,,True
London AM,N/A,3.0,0.75,261,1.0211,0.3372,212.0,,,,,True
London AM,N/A,3.0,1.0,235,1.2314,0.3532,1869.0,,,,,True
London AM,N/A,4.0,0.5,286,1.001,0.3147,11.0,,,,,True
London AM,N/A,4.0,0.75,261,1.0936,0.3218,952.0,,,,,True
London AM,N/A,4.0,1.0,235,1.3165,0.3404,2593.5,,,,,True
NY AM,09:00-10:00,0.0,0.5,270,1.238,0.2889,4069.0,,,,,True
NY AM,09:00-10:00,0.0,0.75,220,1.3388,0.2909,4376.0,,,,,True
NY AM,09:00-10:00,0.0,1.0,190,1.548,0.3053,5846.5,,,,,True
NY AM,09:00-10:00,2.0,0.5,270,1.1136,0.4,1723.0,,,,,True
NY AM,09:00-10:00,2.0,0.75,220,1.4256,0.45,4562.5,,,,,True
NY AM,09:00-10:00,2.0,1.0,190,1.3108,0.4211,2977.0,,,,,True
NY AM,09:00-10:00,3.0,0.5,270,1.0842,0.3407,1402.0,,,,,True
NY AM,09:00-10:00,3.0,0.75,220,1.2549,0.35,3155.5,,,,,True
NY AM,09:00-10:00,3.0,1.0,190,1.4298,0.3474,4441.5,,,,,True
NY AM,09:00-10:00,4.0,0.5,270,1.1589,0.3259,2667.5,,,,,True
NY AM,09:00-10:00,4.0,0.75,220,1.2494,0.3227,3178.5,,,,,True
NY AM,09:00-10:00,4.0,1.0,190,1.4987,0.3368,5235.0,,,,,True
NY AM,09:30-10:00,0.0,0.5,175,1.1498,0.3314,1800.5,,,,,True
NY AM,09:30-10:00,0.0,0.75,136,1.7302,0.3897,5235.0,74,1.0727,0.2973,391.0,True
NY AM,09:30-10:00,0.0,1.0,108,1.6804,0.3611,4049.0,,,,,True
NY AM,09:30-10:00,2.0,0.5,175,0.9116,0.3943,-998.0,,,,,True
NY AM,09:30-10:00,2.0,0.75,136,1.6266,0.4779,3973.5,,,,,True
NY AM,09:30-10:00,2.0,1.0,108,1.3065,0.4444,1699.5,,,,,True
NY AM,09:30-10:00,3.0,0.5,175,0.999,0.36,-11.5,,,,,True
NY AM,09:30-10:00,3.0,0.75,136,1.5879,0.4265,4133.0,,,,,True
NY AM,09:30-10:00,3.0,1.0,108,1.509,0.4074,2945.0,,,,,True
NY AM,09:30-10:00,4.0,0.5,175,1.0691,0.3543,823.5,,,,,True
NY AM,09:30-10:00,4.0,0.75,136,1.635,0.4191,4498.0,,,,,True
NY AM,09:30-10:00,4.0,1.0,108,1.5668,0.3796,3340.0,,,,,True
NY AM,09:00-10:30,0.0,0.5,303,1.1614,0.2904,3127.0,,,,,True
NY AM,09:00-10:30,0.0,0.75,276,1.2813,0.2971,4614.5,,,,,True
NY AM,09:00-10:30,0.0,1.0,242,1.3522,0.2893,4993.5,,,,,True
NY AM,09:00-10:30,2.0,0.5,303,1.0412,0.3993,716.0,,,,,True
NY AM,09:00-10:30,2.0,0.75,276,1.3269,0.4457,4531.0,,,,,True
NY AM,09:00-10:30,2.0,1.0,242,1.2577,0.4174,3204.5,,,,,True
NY AM,09:00-10:30,3.0,0.5,303,1.0376,0.3432,708.5,,,,,True
NY AM,09:00-10:30,3.0,0.75,276,1.2342,0.3551,3661.5,,,,,True
NY AM,09:00-10:30,3.0,1.0,242,1.3028,0.3347,4115.5,,,,,True
NY AM,09:00-10:30,4.0,0.5,303,1.0846,0.3201,1613.5,,,,,True
NY AM,09:00-10:30,4.0,0.75,276,1.244,0.3297,3917.0,,,,,True
NY AM,09:00-10:30,4.0,1.0,242,1.3027,0.3182,4229.0,,,,,True
Asia,N/A,0.0,0.5,291,1.0156,0.3058,208.0,,,,,True
Asia,N/A,0.0,0.75,247,0.9344,0.3036,-759.0,,,,,True
Asia,N/A,0.0,1.0,220,1.1873,0.3273,1544.0,,,,,True
Asia,N/A,2.0,0.5,291,0.9051,0.4055,-1182.0,,,,,True
Asia,N/A,2.0,0.75,247,0.951,0.417,-510.0,,,,,True
Asia,N/A,2.0,1.0,220,1.2992,0.4364,2117.5,,,,,True
Asia,N/A,3.0,0.5,291,1.0335,0.3608,433.0,,,,,True
Asia,N/A,3.0,0.75,247,1.0199,0.3563,219.5,,,,,True
Asia,N/A,3.0,1.0,220,1.2923,0.3727,2261.0,,,,,True
Asia,N/A,4.0,0.5,291,1.0364,0.3402,477.0,,,,,True
Asia,N/A,4.0,0.75,247,1.0215,0.332,241.0,,,,,True
Asia,N/A,4.0,1.0,220,1.2909,0.3455,2306.5,,,,,True
Asia,N/A,0.0,0.5,291,1.0156,0.3058,208.0,,,,,True
Asia,N/A,0.0,0.75,247,0.9344,0.3036,-759.0,,,,,True
Asia,N/A,0.0,1.0,220,1.1873,0.3273,1544.0,,,,,True
Asia,N/A,2.0,0.5,291,0.9051,0.4055,-1182.0,,,,,True
Asia,N/A,2.0,0.75,247,0.951,0.417,-510.0,,,,,True
Asia,N/A,2.0,1.0,220,1.2992,0.4364,2117.5,,,,,True
Asia,N/A,3.0,0.5,291,1.0335,0.3608,433.0,,,,,True
Asia,N/A,3.0,0.75,247,1.0199,0.3563,219.5,,,,,True
Asia,N/A,3.0,1.0,220,1.2923,0.3727,2261.0,,,,,True
Asia,N/A,4.0,0.5,291,1.0364,0.3402,477.0,,,,,True
Asia,N/A,4.0,0.75,247,1.0215,0.332,241.0,,,,,True
Asia,N/A,4.0,1.0,220,1.2909,0.3455,2306.5,,,,,True
Asia,N/A,0.0,0.5,291,1.0156,0.3058,208.0,,,,,True
