date,daily_pnl,cumulative_pnl,drawdown
2025-05-22,-459.0,-459.0,0.0
2025-05-26,-204.0,-663.0,204.0
2025-05-28,-873.0,-1536.0,1077.0
2025-06-18,726.0,-810.0,351.0
2025-06-20,-86.0,-896.0,437.0
2025-06-25,-4.5,-900.5,441.5
2025-06-27,-84.0,-984.5,525.5
2025-06-30,41.0,-943.5,484.5
2025-07-07,-61.0,-1004.5,545.5
2025-07-10,-31.0,-1035.5,576.5
2025-07-16,-104.0,-1139.5,680.5
2025-07-24,-62.0,-1201.5,742.5
2025-07-30,-155.0,-1356.5,897.5
2025-08-07,130.5,-1226.0,767.0
2025-08-25,97.5,-1128.5,669.5
2025-10-02,41.0,-1087.5,628.5
2025-10-03,55.5,-1032.0,573.0
2025-10-16,-238.0,-1270.0,811.0
2025-11-06,241.0,-1029.0,570.0
2025-11-12,57.5,-971.5,512.5
2025-11-17,282.0,-689.5,230.5
2025-12-17,1576.0,886.5,0.0
2026-01-02,352.0,1238.5,0.0
2026-01-08,684.5,1923.0,0.0
2026-01-09,-928.0,995.0,928.0
2026-01-14,2248.0,3243.0,0.0
2026-01-15,801.0,4044.0,0.0
2026-01-16,1723.5,5767.5,0.0
2026-01-18,268.5,6036.0,0.0
2026-01-21,43.5,6079.5,0.0
2026-01-22,-510.5,5569.0,510.5
2026-01-23,1182.0,6751.0,0.0
2026-01-28,522.5,7273.5,0.0
2026-02-11,-1073.0,6200.5,1073.0
2026-02-16,308.5,6509.0,764.5
2026-02-18,-503.0,6006.0,1267.5
2026-02-19,-978.0,5028.0,2245.5
2026-02-20,1131.0,6159.0,1114.5
2026-02-26,138.5,6297.5,976.0
2026-03-06,-1053.0,5244.5,2029.0
2026-03-11,805.5,6050.0,1223.5
2026-03-18,712.0,6762.0,511.5
2026-04-01,796.0,7558.0,0.0
2026-04-06,1167.0,8725.0,0.0
2026-04-15,-329.0,8396.0,329.0
2026-04-22,-474.0,7922.0,803.0
2026-04-27,-309.0,7613.0,1112.0
2026-05-04,191.0,7804.0,921.0
