date,daily_pnl,cumulative_pnl
2026-01-02,-56.0,-56.0
2026-01-07,-861.75,-917.75
2026-01-08,710.75,-207.0
2026-01-09,-1448.0,-1655.0
2026-01-12,-539.0,-2194.0
2026-01-14,732.0,-1462.0
2026-01-15,-283.25,-1745.25
2026-01-16,500.5,-1244.75
2026-01-19,-876.5,-2121.25
2026-01-21,-1304.0,-3425.25
2026-01-22,133.25,-3292.0
2026-01-23,-1736.75,-5028.75
2026-01-25,-891.5,-5920.25
2026-01-26,-1533.0,-7453.25
2026-01-28,2469.75,-4983.5
2026-02-02,-359.0,-5342.5
2026-02-04,1430.75,-3911.75
2026-02-09,-1266.5,-5178.25
2026-02-11,840.75,-4337.5
2026-02-12,-141.75,-4479.25
2026-02-13,1466.0,-3013.25
2026-02-18,-929.0,-3942.25
2026-02-19,36.75,-3905.5
2026-02-20,297.0,-3608.5
2026-02-23,-854.0,-4462.5
2026-02-25,-804.0,-5266.5
2026-02-26,-440.25,-5706.75
2026-02-27,145.5,-5561.25
2026-03-06,-169.0,-5730.25
2026-03-11,-1379.25,-7109.5
2026-03-12,1365.75,-5743.75
2026-03-18,1867.0,-3876.75
2026-03-25,377.25,-3499.5
2026-04-01,816.0,-2683.5
2026-04-05,-499.0,-3182.5
2026-04-06,1560.5,-1622.0
2026-04-09,-766.5,-2388.5
2026-04-16,1076.0,-1312.5
2026-04-22,-1179.0,-2491.5
2026-04-23,-1141.5,-3633.0
2026-04-27,-766.5,-4399.5
2026-04-29,-1446.75,-5846.25
2026-05-01,477.0,-5369.25
2026-05-04,163.5,-5205.75
2026-05-07,1125.5,-4080.25
2026-05-11,-755.25,-4835.5
2026-05-13,552.25,-4283.25
2026-05-14,202.25,-4081.0
