slow_length,entry_line,exit_type,mtf_slope_filter,trade_count,win_rate_pct,profit_factor,avg_hold_bars,total_pnl,sharpe
500,lower,upper_rail,True,13,84.6,11.5594,200.8,23748.0,12.24
400,mid,midline,True,39,64.1,3.2761,63.5,16065.0,7.96
300,lower,timeout,True,10,70.0,2.9559,481.0,22328.0,6.93
500,lower,midline,True,13,76.9,2.9398,137.0,12471.0,5.51
500,mid,upper_rail,True,24,66.7,2.5109,148.0,14434.0,5.19
500,lower,timeout,True,11,63.6,1.7248,451.5,11457.0,3.16
300,lower,upper_rail,True,17,82.4,1.6128,166.1,7205.0,2.57
300,mid,upper_rail,True,30,73.3,1.6104,89.9,7987.0,2.91
200,upper,upper_rail,False,135,58.5,1.5429,59.3,32408.0,5.13
500,mid,timeout,True,19,52.6,1.4191,459.8,13672.0,2.67
200,lower,timeout,True,21,61.9,1.3568,479.1,15259.0,1.85
400,upper,midline,True,38,47.4,1.3504,153.9,13790.0,3.55
500,upper,upper_rail,True,38,60.5,1.2744,128.3,8442.0,1.77
500,upper,upper_rail,False,59,64.4,1.238,115.6,10949.0,1.63
300,mid,upper_rail,False,80,66.2,1.1419,105.9,7599.0,1.42
200,lower,midline,False,134,73.1,1.0835,50.5,6132.0,0.88
200,mid,midline,False,161,53.4,1.0792,52.2,6242.0,0.67
300,mid,timeout,True,18,50.0,1.0764,481.0,2791.0,0.46
400,upper,midline,False,65,46.2,1.0284,157.3,2395.0,0.27
400,mid,upper_rail,True,27,66.7,1.002,109.8,39.0,0.01
300,lower,midline,True,17,88.2,0.9942,82.8,-73.0,-0.03
500,mid,timeout,False,27,40.7,0.9665,466.1,-1992.0,-0.26
200,mid,timeout,False,33,51.5,0.9435,469.8,-4319.0,-0.43
200,lower,timeout,False,31,51.6,0.9382,479.7,-4480.0,-0.49
300,lower,midline,False,82,70.7,0.932,79.9,-4791.0,-0.69
200,lower,upper_rail,False,102,71.6,0.9157,90.2,-6785.0,-1.0
400,upper,upper_rail,True,50,62.0,0.9146,100.6,-2394.0,-0.52
200,upper,upper_rail,True,74,59.5,0.9127,49.7,-3934.0,-0.83
200,upper,midline,False,119,42.0,0.912,82.3,-9226.0,-0.76
400,lower,upper_rail,True,11,81.8,0.9085,171.6,-1647.0,-0.49
500,lower,timeout,False,25,52.0,0.9048,474.4,-7149.0,-0.69
300,lower,upper_rail,False,66,65.2,0.8923,140.4,-7722.0,-1.1
200,lower,upper_rail,True,37,78.4,0.8849,101.6,-3188.0,-0.88
500,upper,midline,False,46,37.0,0.8774,186.3,-8435.0,-1.1
200,mid,upper_rail,False,120,62.5,0.8768,68.1,-8666.0,-1.41
300,mid,midline,True,34,52.9,0.8759,78.4,-2753.0,-0.8
400,lower,midline,False,64,65.6,0.8565,99.7,-9432.0,-1.18
400,upper,upper_rail,False,83,62.7,0.845,93.0,-10582.0,-1.42
500,lower,midline,False,48,64.6,0.8335,122.9,-9553.0,-1.35
200,upper,timeout,False,32,50.0,0.8204,481.0,-15625.0,-1.37
400,lower,upper_rail,False,51,68.6,0.8074,182.0,-13039.0,-1.38
200,lower,midline,True,40,77.5,0.8074,59.2,-5127.0,-1.4
500,mid,upper_rail,False,48,66.7,0.7756,172.9,-11503.0,-1.78
300,lower,timeout,False,29,51.7,0.7675,479.2,-18037.0,-1.74
400,lower,midline,True,12,75.0,0.7638,112.1,-4329.0,-1.26
500,upper,timeout,True,19,52.6,0.7518,459.7,-13415.0,-1.97
400,upper,timeout,True,21,42.9,0.7324,461.8,-12358.0,-2.01
300,upper,midline,False,79,39.2,0.7262,117.5,-28199.0,-2.44
400,lower,timeout,False,28,60.7,0.7142,478.6,-22530.0,-2.17
400,mid,midline,False,107,43.9,0.7124,87.2,-25109.0,-3.68
300,upper,timeout,False,29,41.4,0.7029,481.0,-22728.0,-2.31
400,upper,timeout,False,28,42.9,0.698,466.6,-23132.0,-2.35
200,mid,timeout,True,21,47.6,0.6874,479.8,-20829.0,-2.74
500,mid,midline,False,85,44.7,0.6833,103.1,-19556.0,-4.38
300,upper,upper_rail,False,92,60.9,0.6814,105.7,-30527.0,-3.22
300,mid,midline,False,115,49.6,0.6701,74.3,-26781.0,-3.76
400,mid,upper_rail,False,65,61.5,0.6447,114.0,-24227.0,-3.81
300,upper,timeout,True,24,45.8,0.6315,479.9,-26050.0,-3.18
300,mid,timeout,False,30,40.0,0.6233,481.0,-35949.0,-3.24
500,upper,timeout,False,26,42.3,0.6191,465.4,-31222.0,-3.14
200,upper,timeout,True,25,36.0,0.6024,481.0,-23201.0,-3.77
500,upper,midline,True,29,37.9,0.5819,170.1,-19848.0,-3.91
400,mid,timeout,True,19,42.1,0.5759,462.3,-31428.0,-4.11
200,mid,upper_rail,True,44,63.6,0.5724,67.9,-14455.0,-3.5
500,mid,midline,True,35,37.1,0.5716,100.6,-13404.0,-3.58
500,lower,upper_rail,False,37,62.2,0.5591,245.6,-33799.0,-3.97
200,upper,midline,True,60,41.7,0.5286,82.8,-25840.0,-5.07
400,lower,timeout,True,10,40.0,0.5156,481.0,-19848.0,-3.74
400,mid,timeout,False,29,41.4,0.4772,478.7,-55869.0,-4.97
200,mid,midline,True,45,46.7,0.4603,56.6,-23133.0,-4.92
300,upper,midline,True,46,41.3,0.4596,98.7,-30637.0,-5.8
300,upper,upper_rail,True,57,56.1,0.3304,103.5,-41911.0,-6.88
