entry_time,exit_time,entry_price,exit_price,direction,exit_reason,hold_minutes,pnl_pct,outcome,prediction,regime
893,903,16861.75,16828.0265,long,stop_loss,10,-0.20000000000000034,loss,0.8646118640899658,0
3077,3085,17652.5,17705.457499999997,long,take_profit,8,0.2999999999999819,win,0.8245962858200073,0
3390,3393,17387.25,17439.41175,long,take_profit,3,0.299999999999996,win,0.8116692900657654,0
4453,4464,17938.0,17902.124,long,stop_loss,11,-0.20000000000000112,loss,0.8060224652290344,0
5842,5851,17468.25,17415.84525,short,take_profit,9,0.3000000000000087,win,0.6811834573745728,0
7134,7163,18218.5,18250.5,short,time_stop,29,-0.17564563493152563,loss,0.6960528492927551,0
7152,7155,18240.5,18204.019,long,stop_loss,3,-0.1999999999999987,loss,0.7526556253433228,0
7227,7231,18329.25,18274.26225,short,take_profit,4,0.30000000000000127,win,0.7252460718154907,0
7231,7239,18265.0,18210.205,short,take_profit,8,0.29999999999999044,win,0.7059089541435242,2
7580,7590,18375.75,18320.62275,short,take_profit,10,0.3000000000000075,win,0.7453721761703491,0
7996,8025,18313.75,18346.75,long,time_stop,29,0.1801924783291243,win,0.7692413330078125,0
8476,8478,18314.5,18369.443499999998,long,take_profit,2,0.29999999999998683,win,0.7368356585502625,0
10327,10331,18172.75,18118.23175,short,take_profit,4,0.30000000000000543,win,0.7071248292922974,2
10335,10341,18100.0,18136.2,short,stop_loss,6,-0.20000000000000404,loss,0.7364997267723083,2
11710,11713,18231.25,18194.7875,long,stop_loss,3,-0.20000000000000798,loss,0.8480374217033386,0
13173,13183,17451.0,17503.353,long,take_profit,10,0.29999999999999516,win,0.7680029273033142,0
13999,14003,17939.25,17903.3715,long,stop_loss,4,-0.19999999999999385,loss,0.8452988266944885,0
14938,14967,18069.0,18101.25,long,time_stop,29,0.1784824838120538,win,0.7459587454795837,0
14940,14969,18095.25,18098.25,long,time_stop,29,0.01657893646122601,win,0.7670088410377502,0
15520,15538,18314.0,18277.372,long,stop_loss,18,-0.20000000000000334,loss,0.7933763265609741,0
16419,16448,18722.0,18747.5,long,time_stop,29,0.13620339707296228,win,0.7156871557235718,0
