regression_lookback,band_k,regression_timeframe,gate_mode,sl_multiplier,tp_multiplier,min_gap_atr_ratio,n_trades,n_candidate_bars,pf,total_pnl
20,2.0,15min,combined,5.0,8.0,0.25,1,300,inf,289.75
20,2.0,15min,combined,5.0,6.0,0.25,1,300,inf,289.75
50,2.5,15min,position,5.0,8.0,0.25,2,214,inf,1245.75
50,2.5,15min,position,5.0,6.0,0.25,2,214,inf,1005.75
100,2.5,15min,position,5.0,8.0,0.25,1,75,inf,956.0
100,2.5,15min,position,5.0,6.0,0.25,1,75,inf,716.0
100,2.5,15min,position,3.0,8.0,0.25,1,75,inf,956.0
100,2.5,15min,position,3.0,6.0,0.25,1,75,inf,716.0
100,2.0,15min,position,3.0,6.0,0.25,1,125,inf,716.0
100,2.0,15min,position,3.0,8.0,0.25,1,125,inf,956.0
100,2.0,15min,position,5.0,6.0,0.25,1,125,inf,716.0
100,2.0,15min,position,5.0,8.0,0.25,1,125,inf,956.0
50,2.5,15min,combined,5.0,8.0,0.25,1,88,inf,289.75
50,2.5,15min,combined,5.0,6.0,0.25,1,88,inf,289.75
50,2.0,15min,combined,5.0,8.0,0.25,1,153,inf,289.75
50,2.0,15min,combined,5.0,6.0,0.25,1,153,inf,289.75
50,1.5,15min,combined,5.0,8.0,0.25,3,456,4.579241071428571,801.75
50,1.5,15min,combined,5.0,6.0,0.25,3,456,3.7533482142857144,616.75
50,2.5,15min,position,3.0,8.0,0.25,2,214,2.6816269284712484,599.5
20,2.5,15min,position,3.0,8.0,0.25,2,195,2.5224274406332454,577.0
20,1.5,15min,combined,5.0,8.0,0.25,4,657,2.3263403263403264,569.0
50,2.5,15min,position,3.0,6.0,0.25,2,214,2.0084151472650773,359.5
20,1.5,15min,combined,5.0,6.0,0.25,4,657,1.9883449883449884,424.0
50,2.0,15min,position,5.0,8.0,0.25,3,397,1.980524642289348,616.75
20,2.5,15min,position,3.0,6.0,0.25,2,195,1.8891820580474934,337.0
100,1.5,15min,combined,5.0,8.0,0.25,3,543,1.8686679174484053,463.0
50,1.5,15min,position,5.0,8.0,0.25,6,882,1.7901987353206865,874.75
50,2.0,15min,position,5.0,6.0,0.25,3,397,1.598966613672496,376.75
20,1.5,5min,combined,5.0,8.0,0.25,22,2274,1.5769500674763832,2672.0
100,1.5,15min,position,5.0,8.0,0.25,6,643,1.5373104941917701,682.25
20,2.5,15min,position,5.0,8.0,0.25,2,195,1.5198728139904611,327.0
50,1.5,15min,position,3.0,8.0,0.25,6,889,1.519533004041311,578.5
20,2.0,5min,combined,3.0,8.0,0.25,11,872,1.5032746885835366,979.75
20,2.0,5min,combined,3.0,6.0,0.25,11,872,1.461399431964885,893.5
20,1.5,5min,combined,3.0,8.0,0.25,23,2279,1.4405231838802806,1869.25
20,2.5,5min,combined,3.0,6.0,0.25,4,246,1.4142480211081794,314.0
20,1.5,5min,combined,5.0,6.0,0.25,22,2274,1.406459640770396,1878.25
50,1.5,15min,position,5.0,6.0,0.25,6,882,1.406278229448961,449.75
100,1.5,15min,combined,5.0,6.0,0.25,3,543,1.399624765478424,213.0
20,2.0,5min,slope,3.0,8.0,0.25,172,15604,1.3105967656394708,9809.5
20,2.5,5min,slope,3.0,8.0,0.25,172,15604,1.3105967656394708,9809.5
20,1.5,5min,slope,3.0,8.0,0.25,172,15604,1.3105967656394708,9809.5
20,1.5,5min,combined,3.0,6.0,0.25,23,2279,1.3084101110323647,1305.5
20,1.5,5min,slope,3.0,6.0,0.25,176,15856,1.301846602032985,9636.0
20,2.0,5min,slope,3.0,6.0,0.25,176,15856,1.301846602032985,9636.0
20,2.5,5min,slope,3.0,6.0,0.25,176,15856,1.301846602032985,9636.0
50,2.0,15min,position,3.0,8.0,0.25,3,404,1.2997960571040108,220.5
20,2.0,5min,combined,5.0,8.0,0.25,10,869,1.281360575276795,616.25
50,1.5,5min,slope,3.0,8.0,0.25,123,10149,1.2689384752203088,6653.0
50,2.5,5min,slope,3.0,8.0,0.25,123,10149,1.2689384752203088,6653.0
50,2.0,5min,slope,3.0,8.0,0.25,123,10149,1.2689384752203088,6653.0
50,1.5,15min,combined,3.0,8.0,0.25,3,456,1.2678725236864772,155.5
20,1.5,5min,slope,5.0,6.0,0.25,161,14921,1.261803338145459,9203.5
20,2.5,5min,slope,5.0,6.0,0.25,161,14921,1.261803338145459,9203.5
20,2.0,5min,slope,5.0,6.0,0.25,161,14921,1.261803338145459,9203.5
20,2.0,5min,combined,5.0,6.0,0.25,10,869,1.2568807339449541,560.0
20,2.0,5min,slope,5.0,8.0,0.25,156,14694,1.256582593250444,9028.5
20,2.5,5min,slope,5.0,8.0,0.25,156,14694,1.256582593250444,9028.5
20,1.5,5min,slope,5.0,8.0,0.25,156,14694,1.256582593250444,9028.5
20,2.5,5min,combined,3.0,8.0,0.25,4,246,1.2183534005857468,167.75
