regression_lookback,band_k,regression_timeframe,gate_mode,sl_multiplier,tp_multiplier,min_gap_atr_ratio,n_trades,n_candidate_bars,pf,total_pnl
100,2.5,15min,position,5.0,8.0,0.25,1,75,inf,956.0
100,2.0,15min,combined,3.0,6.0,0.15,1,74,inf,521.0
100,2.0,15min,position,5.0,8.0,0.25,1,125,inf,956.0
100,2.0,15min,position,5.0,8.0,0.15,2,122,inf,1652.0
100,2.0,15min,position,5.0,6.0,0.25,1,125,inf,716.0
100,2.0,15min,position,5.0,6.0,0.15,2,122,inf,1237.0
100,2.0,15min,position,3.0,6.0,0.25,1,125,inf,716.0
100,2.0,15min,position,3.0,6.0,0.15,2,122,inf,1237.0
100,2.0,15min,position,3.0,8.0,0.25,1,125,inf,956.0
100,2.0,15min,position,3.0,8.0,0.15,2,122,inf,1652.0
100,2.0,15min,combined,5.0,6.0,0.15,1,74,inf,521.0
100,2.0,15min,combined,3.0,8.0,0.15,1,74,inf,696.0
100,2.0,15min,combined,5.0,8.0,0.15,1,74,inf,696.0
50,2.5,15min,combined,5.0,6.0,0.15,1,80,inf,461.0
50,2.5,15min,combined,5.0,6.0,0.25,1,88,inf,289.75
20,2.0,15min,combined,5.0,8.0,0.25,1,300,inf,289.75
50,2.5,15min,combined,3.0,6.0,0.15,1,80,inf,461.0
50,2.5,15min,combined,3.0,8.0,0.15,1,80,inf,616.0
50,2.5,15min,position,5.0,6.0,0.25,2,214,inf,1005.75
50,2.5,15min,position,5.0,8.0,0.25,2,214,inf,1245.75
50,2.5,15min,combined,5.0,8.0,0.25,1,88,inf,289.75
50,2.5,15min,combined,5.0,8.0,0.15,1,80,inf,616.0
50,1.5,15min,combined,5.0,6.0,0.35,1,488,inf,551.0
50,1.5,15min,combined,3.0,8.0,0.35,1,488,inf,736.0
50,2.0,15min,combined,5.0,6.0,0.15,1,145,inf,461.0
50,2.0,15min,combined,5.0,8.0,0.25,1,153,inf,289.75
50,2.0,15min,combined,3.0,8.0,0.15,1,145,inf,616.0
50,2.0,15min,combined,3.0,6.0,0.15,1,145,inf,461.0
50,2.0,15min,combined,5.0,8.0,0.15,1,145,inf,616.0
50,1.5,15min,combined,3.0,6.0,0.35,1,488,inf,551.0
100,2.5,15min,position,3.0,6.0,0.25,1,75,inf,716.0
100,2.5,15min,position,3.0,8.0,0.15,1,73,inf,956.0
100,2.5,15min,position,5.0,6.0,0.15,1,73,inf,716.0
50,1.5,15min,combined,5.0,8.0,0.35,1,488,inf,736.0
100,2.5,15min,position,5.0,6.0,0.25,1,75,inf,716.0
100,2.5,15min,position,5.0,8.0,0.15,1,73,inf,956.0
100,2.5,15min,position,3.0,8.0,0.25,1,75,inf,956.0
100,2.5,15min,position,3.0,6.0,0.15,1,73,inf,716.0
20,2.0,15min,combined,5.0,6.0,0.25,1,300,inf,289.75
50,2.0,15min,combined,5.0,6.0,0.25,1,153,inf,289.75
50,2.5,15min,position,3.0,8.0,0.15,3,200,10.73037542662116,1425.5
50,2.5,15min,position,3.0,6.0,0.15,3,200,8.034129692832764,1030.5
50,2.5,15min,position,5.0,8.0,0.15,3,200,6.509316770186335,1330.5
20,2.0,15min,combined,3.0,8.0,0.15,2,289,5.28755364806867,499.5
50,2.5,15min,position,5.0,6.0,0.15,3,200,4.873706004140787,935.5
20,1.5,15min,combined,3.0,6.0,0.15,7,642,4.663781624500666,1375.75
50,1.5,15min,combined,5.0,8.0,0.25,3,456,4.579241071428571,801.75
20,2.0,15min,combined,3.0,6.0,0.15,2,289,3.9570815450643777,344.5
50,1.5,15min,combined,5.0,6.0,0.25,3,456,3.7533482142857144,616.75
100,2.0,5min,combined,3.0,8.0,0.15,2,257,3.347826086956522,432.0
20,2.0,15min,combined,5.0,8.0,0.15,2,289,3.216710182767624,424.5
20,1.5,15min,combined,3.0,8.0,0.15,7,642,3.1750440917107583,1233.25
50,1.5,15min,position,3.0,8.0,0.15,9,844,3.0178053830227745,2436.5
50,2.0,15min,position,3.0,8.0,0.15,4,375,2.9914367269267363,1046.5
20,1.5,15min,combined,5.0,6.0,0.15,7,630,2.82232070910556,1130.75
50,2.5,15min,position,3.0,8.0,0.25,2,214,2.6816269284712484,599.5
20,1.5,15min,combined,3.0,8.0,0.35,2,686,2.61003861003861,417.0
50,1.5,15min,combined,3.0,8.0,0.15,4,444,2.5606060606060606,824.0
20,2.5,15min,position,3.0,8.0,0.25,2,195,2.5224274406332454,577.0
100,2.0,5min,combined,3.0,6.0,0.15,2,257,2.505434782608696,277.0
20,2.0,15min,combined,5.0,6.0,0.15,2,289,2.4073107049608353,269.5
20,1.5,15min,combined,5.0,8.0,0.25,4,657,2.3263403263403264,569.0
50,1.5,15min,position,3.0,6.0,0.15,9,844,2.2600414078674946,1521.5
50,2.0,15min,position,3.0,6.0,0.15,4,375,2.2397716460513797,651.5
20,1.5,15min,combined,5.0,8.0,0.15,7,624,2.200122212037886,982.0
100,2.0,5min,combined,5.0,8.0,0.15,2,257,2.026315789473684,312.0
50,2.5,15min,position,3.0,6.0,0.25,2,214,2.0084151472650773,359.5
20,1.5,15min,combined,5.0,6.0,0.25,4,657,1.9883449883449884,424.0
50,2.0,15min,position,5.0,8.0,0.25,3,397,1.980524642289348,616.75
50,1.5,15min,position,5.0,8.0,0.15,9,837,1.9670715249662618,1791.5
20,1.5,15min,combined,3.0,6.0,0.35,2,686,1.9536679536679538,247.0
20,2.0,5min,combined,3.0,6.0,0.15,20,858,1.944507791714177,2485.0
50,1.5,15min,position,3.0,8.0,0.35,2,943,1.9419525065963061,357.0
50,1.5,15min,combined,3.0,6.0,0.15,4,444,1.9166666666666667,484.0
100,2.5,5min,position,3.0,8.0,0.15,5,299,1.9147869674185463,1095.0
100,2.0,5min,position,3.0,8.0,0.15,8,582,1.8944625407166125,1373.0
20,2.5,15min,position,3.0,6.0,0.25,2,195,1.8891820580474934,337.0
100,1.5,15min,combined,5.0,8.0,0.25,3,543,1.8686679174484053,463.0
