day,dir,pnl_pts
2025-01-06,1,22.25
2025-01-07,-1,-31.75
2025-01-10,-1,-5.0
2025-01-13,-1,-64.5
2025-01-15,1,-44.0
2025-01-16,-1,83.5
2025-01-28,1,-40.5
2025-01-30,1,-66.0
2025-02-03,-1,51.0
2025-02-06,1,80.5
2025-02-11,-1,20.5
2025-02-12,-1,13.25
2025-02-13,1,25.0
2025-02-14,1,9.25
2025-02-18,-1,-69.0
2025-02-19,-1,-27.75
2025-02-20,-1,-43.25
2025-02-24,-1,101.0
2025-02-26,1,44.25
2025-02-27,-1,80.5
2025-03-18,-1,1.75
2025-03-21,-1,-112.0
2025-03-24,1,-4.25
2025-03-25,1,50.25
2025-03-28,-1,-2.25
2025-04-03,-1,40.5
2025-04-07,-1,-128.5
2025-04-09,1,124.75
2025-04-10,-1,-99.0
2025-04-11,1,-21.25
2025-04-14,1,-98.5
2025-04-16,-1,-251.5
2025-04-25,-1,-42.25
2025-05-01,1,-139.5
2025-05-05,-1,47.75
2025-05-06,-1,72.5
2025-05-08,1,-168.0
2025-05-09,1,-20.5
2025-05-15,-1,-99.5
2025-05-16,1,9.25
2025-05-19,-1,-64.0
2025-05-21,-1,-51.25
2025-05-22,1,-141.5
2025-05-23,-1,35.0
2025-05-29,1,41.5
2025-06-13,-1,-16.25
2025-06-18,1,27.5
2025-06-23,1,17.75
2025-06-25,1,22.0
2025-06-26,1,2.25
2025-06-27,1,81.0
2025-06-30,1,8.75
2025-07-08,-1,-1.5
2025-07-09,1,15.0
2025-07-10,-1,14.0
2025-07-14,-1,7.5
2025-07-16,-1,-3.25
2025-07-17,1,-3.75
2025-07-18,1,14.25
2025-07-22,-1,16.5
2025-07-23,-1,-31.5
2025-07-24,1,-39.0
2025-08-04,1,30.5
2025-08-05,1,-37.75
2025-08-06,1,-5.5
2025-08-12,1,10.5
2025-08-13,1,7.5
2025-08-15,-1,1.75
2025-08-18,-1,-4.75
2025-08-19,-1,-11.5
2025-08-27,-1,-22.75
2025-08-28,-1,11.0
2025-09-15,1,37.75
2025-09-16,-1,12.5
2025-09-19,1,13.75
2025-09-22,1,-18.25
2025-09-24,-1,-16.25
2025-09-25,-1,-23.5
2025-10-01,-1,12.25
2025-10-02,1,-13.0
2025-10-03,-1,7.75
2025-10-08,1,17.5
2025-10-13,1,6.75
2025-10-21,-1,17.25
2025-10-23,1,-22.5
2025-10-24,1,-53.0
2025-10-28,1,-65.0
2025-10-29,1,88.5
2025-10-30,-1,56.0
2025-10-31,1,-92.25
2025-11-06,-1,95.75
2025-11-07,-1,-109.75
2025-11-10,1,3.25
2025-11-11,-1,11.75
2025-11-14,-1,34.75
2025-11-17,1,98.75
2025-11-18,-1,108.75
2025-11-19,1,-47.75
2025-11-24,1,-0.75
2025-11-26,1,-49.25
2025-12-16,1,-0.25
2025-12-17,-1,62.75
2025-12-18,1,-55.75
2025-12-19,1,-1.25
2025-12-23,1,13.0
2025-12-29,-1,9.0
2025-12-31,-1,23.0
