day,dir,entry,exit,reason,pnl_pts,entry_t,exit_t
2026-02-02,1,26084.25,26078.75,EOD,-5.5,10:31,16:00
2026-02-03,-1,25851.0,25681.0,EOD,170.0,10:01,16:00
2026-02-04,-1,25415.0,25449.5,STOP,-34.5,10:01,10:31
2026-02-04,-1,25386.5,25224.25,EOD,162.25,11:01,16:00
2026-02-05,-1,24801.0,25000.0,STOP,-199.0,10:31,11:31
2026-02-06,1,25060.0,25385.0,EOD,325.0,10:01,16:00
2026-02-09,1,25535.5,25574.75,STOP,39.25,11:01,13:01
2026-02-12,-1,25233.5,24980.0,EOD,253.5,11:01,16:00
2026-02-17,-1,24695.5,24819.0,STOP,-123.5,10:01,11:01
2026-02-18,1,25170.0,25212.5,STOP,42.5,10:01,14:31
2026-02-20,1,25344.0,25190.0,STOP,-154.0,11:01,11:31
2026-02-23,-1,24966.0,24994.5,STOP,-28.5,11:01,11:31
2026-02-23,-1,24953.0,25029.25,STOP,-76.25,12:01,13:31
2026-02-23,-1,24946.0,24980.0,EOD,-34.0,14:01,16:00
2026-02-24,1,25232.5,25197.5,STOP,-35.0,10:31,11:01
2026-02-25,1,25563.25,25550.5,STOP,-12.75,10:01,10:31
2026-02-26,-1,25413.5,25280.25,STOP,133.25,10:01,11:31
2026-02-26,-1,25185.75,25276.75,STOP,-91.0,12:01,14:31
2026-02-26,-1,25280.0,25304.5,EOD,-24.5,15:01,16:00
2026-03-05,1,25407.0,25230.0,STOP,-177.0,10:01,10:31
2026-03-09,1,25171.5,25210.5,EOD,39.0,15:31,16:00
2026-03-10,1,25431.5,25389.25,STOP,-42.25,13:31,14:01
2026-03-12,-1,24865.0,24832.25,STOP,32.75,10:01,11:01
2026-03-12,-1,24811.25,24840.0,STOP,-28.75,15:01,15:31
2026-03-18,-1,24743.25,24651.75,EOD,91.5,15:01,16:00
2026-03-20,-1,24285.5,24114.25,EOD,171.25,10:01,16:00
2026-03-23,1,24600.25,24611.0,STOP,10.75,10:01,11:01
2026-03-23,1,24612.5,24381.75,STOP,-230.75,11:31,12:01
2026-03-26,-1,24008.25,23787.0,EOD,221.25,12:31,16:00
2026-03-27,-1,23483.5,23557.5,STOP,-74.0,10:01,11:31
2026-03-27,-1,23550.25,23308.5,EOD,241.75,12:01,16:00
2026-03-30,-1,23155.0,23135.75,EOD,19.25,14:31,16:00
2026-03-31,1,23577.25,23409.25,STOP,-168.0,10:01,11:01
2026-03-31,1,23492.0,23446.25,STOP,-45.75,11:31,12:01
2026-03-31,1,23550.0,23910.0,EOD,360.0,12:31,16:00
2026-04-01,1,24260.5,24154.25,STOP,-106.25,11:01,14:31
2026-04-06,1,24417.75,24365.5,STOP,-52.25,10:01,10:31
2026-04-07,-1,24121.0,24107.5,STOP,13.5,10:01,12:01
2026-04-14,1,25803.5,26001.0,EOD,197.5,10:31,16:00
2026-04-15,1,26191.75,26144.75,STOP,-47.0,11:31,13:01
2026-04-15,1,26247.5,26364.0,EOD,116.5,14:31,16:00
2026-04-17,1,26842.75,26804.75,STOP,-38.0,11:31,12:01
2026-04-20,-1,26638.0,26699.5,STOP,-61.5,11:01,11:31
2026-04-22,1,26989.0,26972.0,STOP,-17.0,10:31,11:01
2026-04-22,1,27029.25,26999.5,STOP,-29.75,14:01,14:31
2026-04-22,1,27044.5,27080.0,EOD,35.5,15:31,16:00
2026-04-23,-1,26879.0,26937.75,STOP,-58.75,14:01,14:31
2026-04-24,1,27325.5,27433.5,EOD,108.0,11:31,16:00
2026-04-28,-1,27046.5,27053.5,STOP,-7.0,11:31,12:01
2026-04-29,1,27303.0,27275.5,STOP,-27.5,11:01,11:31
2026-04-30,-1,27248.25,27358.75,STOP,-110.5,10:01,11:01
2026-05-01,1,27883.0,27822.0,STOP,-61.0,10:01,15:01
2026-05-01,1,27896.75,27836.75,EOD,-60.0,15:31,16:00
2026-05-04,-1,27705.0,27794.0,STOP,-89.0,13:01,13:31
2026-05-05,1,28087.0,28134.75,EOD,47.75,10:01,16:00
2026-05-06,1,28469.25,28418.75,STOP,-50.5,10:01,10:31
2026-05-06,1,28537.75,28710.5,EOD,172.75,11:01,16:00
2026-05-07,1,28874.75,28854.25,STOP,-20.5,10:31,11:31
2026-05-08,1,29110.5,29339.25,EOD,228.75,10:01,16:00
2026-05-12,-1,29130.0,29047.25,STOP,82.75,10:01,15:31
2026-05-13,1,29436.0,29475.75,EOD,39.75,12:31,16:00
2026-05-14,1,29621.5,29648.0,STOP,26.5,10:31,13:31
2026-05-14,1,29730.75,29686.5,EOD,-44.25,14:01,16:00
2026-05-15,-1,29143.5,29292.25,STOP,-148.75,10:01,10:31
2026-05-18,-1,29082.75,29099.5,EOD,-16.75,11:01,16:00
2026-05-19,-1,28712.0,28802.75,STOP,-90.75,10:31,11:01
