contract,date,p_prior,p1530,p1559,move_usd,r_rod,r_lh,dir,gross,net3,net2,yr
MNQH21,2020-12-21,12705.0,12666.5,12674.5,16.0,-0.00303030303030305,0.000631587257727162,-1,-16.0,-19.0,-18.0,2020
MNQH21,2020-12-22,12674.5,12688.0,12708.75,41.5,0.0010651307743896332,0.0016354035308954185,1,41.5,38.5,39.5,2020
MNQH21,2020-12-23,12708.75,12694.5,12670.75,-47.5,-0.0011212747123044986,-0.0018708889676631868,-1,47.5,44.5,45.5,2020
MNQH21,2020-12-28,12670.75,12841.0,12836.75,-8.5,0.013436457983939443,-0.00033097110816915354,1,-8.5,-11.5,-10.5,2020
MNQH21,2020-12-29,12836.75,12858.5,12834.5,-48.0,0.0016943541005316476,-0.001866469650425806,1,-48.0,-51.0,-50.0,2020
MNQH21,2020-12-30,12834.5,12837.0,12844.75,15.5,0.00019478748685175518,0.0006037236114357913,1,15.5,12.5,13.5,2020
MNQH21,2020-12-31,12844.75,12842.0,12883.5,83.0,-0.00021409525292437337,0.003231583865441534,-1,-83.0,-86.0,-85.0,2020
MNQH21,2021-01-04,12883.5,12650.0,12684.25,68.5,-0.018123956999262614,0.002707509881422876,-1,-68.5,-71.5,-70.5,2021
MNQH21,2021-01-05,12684.25,12759.0,12792.0,66.0,0.005893135187338583,0.0025864095932282005,1,66.0,63.0,64.0,2021
MNQH21,2021-01-06,12792.0,12655.5,12617.5,-76.0,-0.010670731707317027,-0.0030026470704437314,-1,76.0,73.0,74.0,2021
MNQH21,2021-01-07,12617.5,12946.75,12938.75,-16.0,0.026094709728551546,-0.0006179156931276353,1,-16.0,-19.0,-18.0,2021
MNQH21,2021-01-08,12938.75,13056.0,13094.25,76.5,0.009061926383924224,0.0029296875,1,76.5,73.5,74.5,2021
MNQH21,2021-01-11,13094.25,12874.25,12892.25,36.0,-0.01680126773201973,0.0013981396974580562,-1,-36.0,-39.0,-38.0,2021
MNQH21,2021-01-12,12892.25,12877.5,12901.25,47.5,-0.001144098198530119,0.0018443020772664909,-1,-47.5,-50.5,-49.5,2021
MNQH21,2021-01-13,12901.25,12963.5,12973.5,20.0,0.004825113845557505,0.0007713966135689532,1,20.0,17.0,18.0,2021
MNQH21,2021-01-14,12973.5,12913.25,12896.0,-34.5,-0.004644082167495234,-0.00133583722145858,-1,34.5,31.5,32.5,2021
MNQH21,2021-01-15,12896.0,12824.0,12799.75,-48.5,-0.005583126550868456,-0.0018909856519027102,-1,48.5,45.5,46.5,2021
MNQH21,2021-01-19,12799.75,12989.0,12986.25,-5.5,0.01478544502822321,-0.00021171760720606336,1,-5.5,-8.5,-7.5,2021
MNQH21,2021-01-20,12986.25,13310.5,13295.75,-29.5,0.02496871691211866,-0.00110814770294132,1,-29.5,-32.5,-31.5,2021
MNQH21,2021-01-21,13295.75,13402.5,13397.25,-10.5,0.008028881409472888,-0.0003917179630665846,1,-10.5,-13.5,-12.5,2021
MNQH21,2021-01-22,13397.25,13387.0,13374.0,-26.0,-0.0007650823863106782,-0.0009710913572869018,-1,26.0,23.0,24.0,2021
MNQH21,2021-01-25,13374.0,13398.5,13476.5,156.0,0.0018319126663675078,0.005821547188118004,1,156.0,153.0,154.0,2021
MNQH21,2021-01-26,13476.5,13503.75,13477.5,-52.5,0.0020220383630764616,-0.001943904470980251,1,-52.5,-55.5,-54.5,2021
MNQH21,2021-01-27,13477.5,13073.75,13113.25,79.0,-0.029957336301242865,0.0030213213500334124,-1,-79.0,-82.0,-81.0,2021
MNQH21,2021-01-28,13113.25,13258.75,13195.75,-126.0,0.011095647532076258,-0.004751579145847118,1,-126.0,-129.0,-128.0,2021
MNQH21,2021-01-29,13195.75,12975.75,12928.5,-94.5,-0.016672034556580728,-0.00364140801109758,-1,94.5,91.5,92.5,2021
MNQH21,2021-02-01,12928.5,13248.75,13250.75,4.0,0.024770855087597132,0.00015095763751293845,1,4.0,1.0,2.0,2021
MNQH21,2021-02-02,13250.75,13481.0,13444.5,-73.0,0.017376374922174254,-0.0027075142793561158,1,-73.0,-76.0,-75.0,2021
