entry_time,exit_type,pnl
2025-05-23T11:45:00+00:00,sl,-63.75
2025-06-04T10:27:00+00:00,time,13.75
2025-06-05T07:57:00+00:00,sl,-32.5
2025-06-05T12:16:00+00:00,sl,-45.0
2025-06-05T15:35:00+00:00,time,62.5
2025-06-06T07:02:00+00:00,time,151.25
2025-06-10T01:29:00+00:00,time,-5.0
2025-06-11T06:29:00+00:00,time,70.0
2025-06-11T08:39:00+00:00,tp,90.0
2025-06-11T09:02:00+00:00,time,50.0
2025-06-12T12:42:00+00:00,time,-2.5
2025-06-13T06:45:00+00:00,sl,-52.5
2025-06-18T14:02:00+00:00,sl,-41.25
2025-06-18T19:31:00+00:00,time,16.25
2025-06-19T01:41:00+00:00,time,32.5
2025-06-19T06:44:00+00:00,sl,-35.0
2025-06-19T07:15:00+00:00,time,-2.5
2025-06-19T08:39:00+00:00,time,-2.5
2025-06-25T09:30:00+00:00,time,-8.75
2025-06-25T11:36:00+00:00,time,7.5
2025-06-25T13:36:00+00:00,sl,-35.0
2025-06-25T15:34:00+00:00,sl,-41.25
2025-06-27T01:21:00+00:00,sl,-48.75
2025-06-27T05:43:00+00:00,time,80.0
2025-06-27T09:16:00+00:00,sl,-82.5
2025-07-17T07:02:00+00:00,time,-22.5
2025-07-18T12:27:00+00:00,tp,68.75
2025-07-18T12:35:00+00:00,time,-2.5
2025-07-21T03:39:00+00:00,time,0.0
2025-07-21T10:33:00+00:00,time,-6.25
2025-07-21T12:12:00+00:00,time,87.5
2025-07-21T23:39:00+00:00,time,21.25
2025-07-22T02:28:00+00:00,tp,90.0
2025-07-28T02:32:00+00:00,time,12.5
2025-07-30T13:33:00+00:00,time,67.5
2025-08-04T12:12:00+00:00,time,-23.75
2025-08-05T01:12:00+00:00,time,47.5
2025-08-06T06:57:00+00:00,time,2.5
2025-08-07T11:15:00+00:00,time,-11.25
2025-08-08T01:08:00+00:00,time,18.75
2025-08-08T11:39:00+00:00,sl,-30.0
2025-08-18T07:02:00+00:00,time,16.25
2025-08-19T01:31:00+00:00,time,-12.5
2025-08-22T03:25:00+00:00,time,18.75
2025-08-22T08:23:00+00:00,time,28.75
2025-08-22T13:48:00+00:00,sl,-18.75
2025-08-22T14:22:00+00:00,time,-11.25
2025-08-22T15:58:00+00:00,time,-20.0
2025-08-24T23:08:00+00:00,time,-10.0
2025-09-01T14:23:00+00:00,sl,-95.0
2025-09-04T17:30:00+00:00,sl,-47.5
2025-09-22T02:43:00+00:00,time,-6.25
2025-09-22T07:02:00+00:00,time,-18.75
2025-09-24T06:27:00+00:00,time,17.5
2025-10-01T09:08:00+00:00,time,-25.0
2025-10-01T12:51:00+00:00,time,-20.0
2025-10-02T14:57:00+00:00,sl,-60.0
2025-10-08T12:39:00+00:00,time,-3.75
2025-10-08T22:02:00+00:00,time,42.5
2025-10-13T23:54:00+00:00,time,28.75
2025-10-14T01:47:00+00:00,tp,143.75
2025-10-15T15:36:00+00:00,time,17.5
2025-10-16T18:07:00+00:00,time,6.25
2025-10-20T01:32:00+00:00,sl,-82.5
2025-10-24T13:41:00+00:00,sl,-63.75
2025-10-28T01:34:00+00:00,time,2.5
2025-11-03T14:52:00+00:00,time,8.75
2025-11-12T08:10:00+00:00,time,18.75
2025-11-13T13:32:00+00:00,sl,-35.0
2025-11-13T14:09:00+00:00,sl,-42.5
2025-11-13T14:44:00+00:00,time,30.0
2025-11-19T13:53:00+00:00,time,72.5
2025-11-20T13:46:00+00:00,time,8.75
2025-12-18T01:04:00+00:00,time,37.5
2025-12-18T06:24:00+00:00,sl,-48.75
2025-12-18T13:59:00+00:00,tp,96.25
2025-12-18T14:45:00+00:00,sl,-50.0
2025-12-22T08:08:00+00:00,time,63.75
2026-01-02T15:12:00+00:00,time,26.25
2026-01-07T05:32:00+00:00,time,-6.25
2026-01-08T14:06:00+00:00,sl,-82.5
2026-01-14T05:57:00+00:00,time,12.5
2026-01-14T12:51:00+00:00,time,68.75
2026-01-15T01:33:00+00:00,time,-36.25
2026-01-20T01:58:00+00:00,time,-17.5
2026-01-21T18:15:00+00:00,time,1.25
2026-02-04T14:39:00+00:00,tp,186.25
2026-02-09T10:33:00+00:00,time,-68.75
2026-02-11T15:39:00+00:00,time,-56.25
2026-02-12T14:16:00+00:00,time,73.75
2026-02-17T03:06:00+00:00,time,35.0
2026-02-19T10:05:00+00:00,time,47.5
2026-02-19T12:38:00+00:00,time,-22.5
2026-02-19T13:47:00+00:00,time,-13.75
2026-02-19T17:54:00+00:00,time,-47.5
2026-02-23T15:36:00+00:00,tp,90.0
2026-02-23T16:05:00+00:00,time,23.75
2026-02-26T02:43:00+00:00,sl,-71.25
