entry_time,exit_type,pnl
2025-05-22T11:15:00+00:00,sl,-255.0
2025-05-27T00:24:00+00:00,sl,-195.0
2025-05-29T12:42:00+00:00,time,175.0
2025-05-29T13:58:00+00:00,time,320.0
2025-06-16T22:09:00+00:00,time,30.0
2025-06-18T06:47:00+00:00,sl,-495.0
2025-06-19T07:22:00+00:00,time,150.0
2025-06-19T09:06:00+00:00,time,-225.0
2025-06-23T05:41:00+00:00,sl,-450.0
2025-06-25T11:36:00+00:00,sl,-330.0
2025-06-25T12:35:00+00:00,time,65.0
2025-06-25T19:57:00+00:00,sl,-645.0
2025-06-27T19:58:00+00:00,sl,-870.0
2025-06-30T05:36:00+00:00,sl,-420.0
2025-07-14T12:51:00+00:00,time,-555.0
2025-07-23T09:15:00+00:00,time,100.0
2025-07-28T13:52:00+00:00,time,-5.0
2025-08-06T15:49:00+00:00,time,520.0
2025-08-08T11:24:00+00:00,time,-80.0
2025-08-13T09:38:00+00:00,time,-70.0
2025-08-13T11:25:00+00:00,time,690.0
2025-08-21T06:26:00+00:00,time,160.0
2025-08-22T07:13:00+00:00,time,300.0
2025-08-22T11:02:00+00:00,time,500.0
2025-08-22T13:57:00+00:00,sl,-210.0
2025-08-22T15:59:00+00:00,time,40.0
2025-08-25T15:33:00+00:00,time,40.0
2025-08-27T07:02:00+00:00,time,290.0
2025-08-27T22:18:00+00:00,time,-20.0
2025-08-28T01:23:00+00:00,time,-60.0
2025-08-28T08:10:00+00:00,time,670.0
2025-09-10T15:25:00+00:00,time,-190.0
2025-09-15T01:10:00+00:00,time,-260.0
2025-09-15T06:14:00+00:00,sl,-300.0
2025-09-15T15:21:00+00:00,time,130.0
2025-09-19T07:07:00+00:00,sl,-270.0
2025-09-19T12:02:00+00:00,sl,-315.0
2025-09-19T13:39:00+00:00,sl,-240.0
2025-09-22T05:54:00+00:00,time,125.0
2025-09-22T07:11:00+00:00,time,-105.0
2025-09-22T09:41:00+00:00,sl,-330.0
2025-09-22T13:41:00+00:00,sl,-240.0
2025-09-24T14:10:00+00:00,time,165.0
2025-10-20T00:06:00+00:00,time,-520.0
2025-10-23T14:56:00+00:00,time,55.0
2025-10-29T18:37:00+00:00,time,160.0
2025-10-30T01:13:00+00:00,time,335.0
2025-10-31T10:18:00+00:00,time,75.0
2025-10-31T14:23:00+00:00,time,90.0
2025-11-05T07:21:00+00:00,sl,-480.0
2025-11-05T08:22:00+00:00,time,545.0
2025-11-05T23:06:00+00:00,time,25.0
2025-11-07T12:34:00+00:00,sl,-330.0
2025-11-07T13:57:00+00:00,time,695.0
2025-11-11T04:56:00+00:00,time,100.0
2025-11-12T05:19:00+00:00,time,-210.0
2025-11-12T15:54:00+00:00,time,5.0
2025-11-13T01:09:00+00:00,time,-105.0
2025-11-19T16:27:00+00:00,time,175.0
2025-11-20T03:36:00+00:00,time,75.0
2025-11-20T06:51:00+00:00,time,350.0
2025-11-24T14:06:00+00:00,sl,-450.0
2025-11-26T08:26:00+00:00,time,0.0
2025-12-03T17:52:00+00:00,time,20.0
2025-12-04T14:43:00+00:00,sl,-470.0
2025-12-05T11:49:00+00:00,time,240.0
2025-12-05T13:04:00+00:00,sl,-555.0
2025-12-05T14:03:00+00:00,time,-135.0
2025-12-05T15:46:00+00:00,time,195.0
2025-12-05T17:37:00+00:00,time,-105.0
2025-12-08T12:09:00+00:00,time,-105.0
2025-12-08T13:21:00+00:00,time,140.0
2025-12-08T14:35:00+00:00,time,1030.0
2025-12-10T13:00:00+00:00,time,115.0
2025-12-11T13:08:00+00:00,time,-190.0
2025-12-18T08:30:00+00:00,time,50.0
2025-12-18T13:00:00+00:00,time,-220.0
2025-12-22T17:29:00+00:00,time,-620.0
2026-01-15T23:33:00+00:00,time,1010.0
2026-01-20T01:13:00+00:00,sl,-600.0
2026-01-29T15:18:00+00:00,tp,7750.0
2026-01-29T15:37:00+00:00,sl,-3220.0
2026-02-09T10:03:00+00:00,time,125.0
2026-02-10T00:49:00+00:00,sl,-1530.0
2026-02-11T08:16:00+00:00,sl,-915.0
2026-02-11T14:24:00+00:00,tp,2950.0
2026-02-11T15:39:00+00:00,sl,-1080.0
2026-02-12T06:03:00+00:00,time,245.0
2026-02-12T08:32:00+00:00,time,740.0
2026-02-16T10:15:00+00:00,time,580.0
2026-02-16T14:29:00+00:00,sl,-670.0
2026-02-16T15:33:00+00:00,sl,-690.0
2026-02-16T16:38:00+00:00,time,-210.0
2026-02-17T00:03:00+00:00,time,1360.0
2026-02-17T03:40:00+00:00,time,1060.0
2026-02-18T10:32:00+00:00,time,-555.0
2026-02-19T09:38:00+00:00,time,150.0
2026-02-19T11:53:00+00:00,time,165.0
2026-02-19T13:20:00+00:00,sl,-720.0
2026-02-26T14:32:00+00:00,time,1420.0
