date,direction,entry,exit_price,stop,tp,stop_pts,contracts,pnl_gross,pnl_net,exit_reason,orb_size,ext_threshold
2025-01-02,LONG,21428.5,21372.75,21372.75,21512.125,55.75,1,-111.5,-111.9,SL,206.5,51.625
2025-01-06,LONG,21856.0,21889.25,21828.5,21897.25,27.5,2,133.0,132.2,TIME_STOP,105.0,26.25
2025-01-07,SHORT,21653.25,21590.25,21695.25,21590.25,42.0,2,252.0,251.2,TP,111.25,27.8125
2025-01-08,SHORT,21258.0,21290.0,21290.0,21210.0,32.0,2,-128.0,-128.8,SL,95.0,23.75
2025-01-10,SHORT,21031.75,21068.0,21068.0,20977.375,36.25,2,-145.0,-145.8,SL,129.5,32.375
2025-01-13,LONG,20809.25,20785.75,20785.75,20844.5,23.5,2,-94.0,-94.8,SL,84.5,21.125
2025-01-14,SHORT,20988.75,21018.25,21018.25,20944.5,29.5,2,-118.0,-118.8,SL,111.25,27.8125
2025-01-15,LONG,21344.75,21303.75,21303.75,21406.25,41.0,2,-164.0,-164.8,SL,117.5,29.375
2025-01-16,SHORT,21380.0,21405.5,21405.5,21341.75,25.5,2,-102.0,-102.8,SL,94.75,23.6875
2025-01-20,SHORT,21691.25,21657.875,21713.5,21657.875,22.25,2,133.5,132.7,TP,61.25,15.3125
2025-01-21,SHORT,21542.25,21589.75,21589.75,21471.0,47.5,2,-190.0,-190.8,SL,129.0,32.25
2025-01-22,LONG,22006.25,21981.75,21981.75,22043.0,24.5,2,-98.0,-98.8,SL,79.5,19.875
2025-01-23,LONG,21930.5,21914.25,21914.25,21954.875,16.25,2,-65.0,-65.8,SL,48.5,12.125
2025-01-24,LONG,22068.75,22052.5,22052.5,22093.125,16.25,2,-65.0,-65.8,SL,52.75,13.1875
2025-01-27,LONG,21349.25,21291.25,21291.25,21436.25,58.0,1,-116.0,-116.4,SL,183.25,45.8125
2025-01-28,LONG,21356.75,21319.5,21319.5,21412.625,37.25,2,-149.0,-149.8,SL,139.25,34.8125
2025-01-29,SHORT,21469.75,21498.75,21498.75,21426.25,29.0,2,-116.0,-116.8,SL,108.0,27.0
2025-01-30,LONG,21692.5,21728.5,21668.5,21728.5,24.0,2,144.0,143.2,TP,71.5,17.875
2025-01-31,LONG,21857.0,21838.0,21838.0,21885.5,19.0,2,-76.0,-76.8,SL,74.25,18.5625
2025-02-03,SHORT,21129.0,21178.0,21178.0,21055.5,49.0,2,-196.0,-196.8,SL,137.0,34.25
2025-02-04,LONG,21554.75,21602.0,21523.25,21602.0,31.5,2,189.0,188.2,TP,118.5,29.625
2025-02-06,LONG,21807.25,21780.75,21780.75,21847.0,26.5,2,-106.0,-106.8,SL,43.0,10.75
2025-02-07,SHORT,21839.75,21794.75,21869.75,21794.75,30.0,2,180.0,179.2,TP,98.25,24.5625
2025-02-10,LONG,21813.75,21797.25,21797.25,21838.5,16.5,2,-66.0,-66.8,SL,55.25,13.8125
2025-02-11,LONG,21821.5,21858.625,21796.75,21858.625,24.75,2,148.5,147.7,TP,96.75,24.1875
2025-02-12,LONG,21688.75,21655.5,21655.5,21738.625,33.25,2,-133.0,-133.8,SL,120.0,30.0
2025-02-13,LONG,21983.75,22033.25,21950.75,22033.25,33.0,2,198.0,197.2,TP,116.0,29.0
2025-02-14,LONG,22153.5,22137.75,22137.75,22177.125,15.75,2,-63.0,-63.8,SL,50.0,12.5
2025-02-18,SHORT,22202.25,22170.75,22223.25,22170.75,21.0,2,126.0,125.2,TP,45.0,11.25
2025-02-19,SHORT,22150.5,22173.0,22173.0,22116.75,22.5,2,-90.0,-90.8,SL,48.75,12.1875
2025-02-20,SHORT,22153.75,22126.75,22171.75,22126.75,18.0,2,108.0,107.2,TP,55.5,13.875
2025-02-21,SHORT,22060.5,22097.0,22097.0,22005.75,36.5,2,-146.0,-146.8,SL,106.0,26.5
2025-02-24,SHORT,21632.75,21555.5,21684.25,21555.5,51.5,1,154.5,154.1,TP,117.75,29.4375
2025-02-25,SHORT,21286.5,21240.375,21317.25,21240.375,30.75,2,184.5,183.7,TP,85.5,21.375
2025-02-26,LONG,21297.75,21274.0,21274.0,21333.375,23.75,2,-95.0,-95.8,SL,85.75,21.4375
2025-02-27,SHORT,21114.75,21007.125,21186.5,21007.125,71.75,1,215.25,214.85,TP,194.75,48.6875
2025-02-28,LONG,20692.75,20644.5,20644.5,20765.125,48.25,2,-193.0,-193.8,SL,184.5,46.125
2025-03-03,SHORT,21140.5,21069.25,21188.0,21069.25,47.5,2,285.0,284.2,TP,161.5,40.375
2025-03-04,SHORT,20431.75,20351.5,20485.25,20351.5,53.5,1,160.5,160.1,TP,165.0,41.25
2025-03-05,LONG,20714.25,20675.5,20675.5,20772.375,38.75,2,-155.0,-155.8,SL,145.25,36.3125
2025-03-06,LONG,20602.25,20675.375,20553.5,20675.375,48.75,2,292.5,291.7,TP,106.0,26.5
2025-03-07,SHORT,20201.5,20138.875,20243.25,20138.875,41.75,2,250.5,249.7,TP,154.5,38.625
2025-03-10,SHORT,19926.75,19816.5,20000.25,19816.5,73.5,1,220.5,220.1,TP,113.75,28.4375
2025-03-11,SHORT,19531.0,19591.5,19591.5,19440.25,60.5,1,-121.0,-121.4,SL,166.0,41.5
2025-03-12,SHORT,19837.5,19881.0,19881.0,19772.25,43.5,2,-174.0,-174.8,SL,104.25,26.0625
2025-03-13,SHORT,19658.25,19604.625,19694.0,19604.625,35.75,2,214.5,213.7,TP,104.0,26.0
2025-03-18,SHORT,19712.0,19647.125,19755.25,19647.125,43.25,2,259.5,258.7,TP,146.25,36.5625
2025-03-19,LONG,19852.5,19814.75,19814.75,19909.125,37.75,2,-151.0,-151.8,SL,105.0,26.25
2025-03-20,LONG,19979.5,20088.25,19907.0,20088.25,72.5,1,217.5,217.1,TP,150.5,37.625
2025-03-21,LONG,19745.25,19711.5,19711.5,19795.875,33.75,2,-135.0,-135.8,SL,104.75,26.1875
2025-03-24,LONG,20314.25,20292.75,20292.75,20346.5,21.5,2,-86.0,-86.8,SL,64.25,16.0625
2025-03-25,LONG,20454.0,20428.75,20428.75,20491.875,25.25,2,-101.0,-101.8,SL,60.5,15.125
2025-03-26,SHORT,20395.25,20368.625,20413.0,20368.625,17.75,2,106.5,105.7,TP,62.25,15.5625
2025-03-27,LONG,20121.25,20198.875,20069.5,20198.875,51.75,1,155.25,154.85,TP,132.0,33.0
2025-03-28,SHORT,19796.75,19732.25,19839.75,19732.25,43.0,2,258.0,257.2,TP,101.75,25.4375
2025-04-01,SHORT,19312.5,19273.5,19338.5,19273.5,26.0,2,156.0,155.2,TP,94.75,23.6875
2025-04-02,LONG,19591.25,19526.25,19526.25,19688.75,65.0,1,-130.0,-130.4,SL,209.5,52.375
2025-04-03,SHORT,18862.75,18790.375,18911.0,18790.375,48.25,2,289.5,288.7,TP,163.25,40.8125
2025-04-04,SHORT,17948.0,17857.25,18008.5,17857.25,60.5,1,181.5,181.1,TP,240.5,60.125
2025-04-08,LONG,18261.5,18351.125,18201.75,18351.125,59.75,1,179.25,178.85,TP,139.75,34.9375
2025-04-10,SHORT,18608.25,18679.5,18679.5,18501.375,71.25,1,-142.5,-142.9,SL,192.5,48.125
2025-04-11,LONG,18626.75,18571.0,18571.0,18710.375,55.75,1,-111.5,-111.9,SL,217.75,54.4375
2025-04-15,LONG,19128.75,19086.5,19086.5,19192.125,42.25,2,-169.0,-169.8,SL,118.75,29.6875
