date,session_pnl,cumulative_pnl,drawdown
2025-01-01,0.00,0.00,0.00
2025-01-02,-111.90,-111.90,111.90
2025-01-03,0.00,-111.90,111.90
2025-01-06,132.20,20.30,0.00
2025-01-07,251.20,271.50,0.00
2025-01-08,-128.80,142.70,128.80
2025-01-09,0.00,142.70,128.80
2025-01-10,-145.80,-3.10,274.60
2025-01-13,-94.80,-97.90,369.40
2025-01-14,-118.80,-216.70,488.20
2025-01-15,-164.80,-381.50,653.00
2025-01-16,-102.80,-484.30,755.80
2025-01-17,0.00,-484.30,755.80
2025-01-20,132.70,-351.60,623.10
2025-01-21,-190.80,-542.40,813.90
2025-01-22,-98.80,-641.20,912.70
2025-01-23,-65.80,-707.00,978.50
2025-01-24,-65.80,-772.80,1044.30
2025-01-27,-116.40,-889.20,1160.70
2025-01-28,-149.80,-1039.00,1310.50
2025-01-29,-116.80,-1155.80,1427.30
2025-01-30,143.20,-1012.60,1284.10
2025-01-31,-76.80,-1089.40,1360.90
2025-02-03,-196.80,-1286.20,1557.70
2025-02-04,188.20,-1098.00,1369.50
2025-02-05,0.00,-1098.00,1369.50
2025-02-06,-106.80,-1204.80,1476.30
2025-02-07,179.20,-1025.60,1297.10
2025-02-10,-66.80,-1092.40,1363.90
2025-02-11,147.70,-944.70,1216.20
2025-02-12,-133.80,-1078.50,1350.00
2025-02-13,197.20,-881.30,1152.80
2025-02-14,-63.80,-945.10,1216.60
2025-02-17,0.00,-945.10,1216.60
2025-02-18,125.20,-819.90,1091.40
2025-02-19,-90.80,-910.70,1182.20
2025-02-20,107.20,-803.50,1075.00
2025-02-21,-146.80,-950.30,1221.80
2025-02-24,154.10,-796.20,1067.70
2025-02-25,183.70,-612.50,884.00
2025-02-26,-95.80,-708.30,979.80
2025-02-27,214.85,-493.45,764.95
2025-02-28,-193.80,-687.25,958.75
2025-03-03,284.20,-403.05,674.55
2025-03-04,160.10,-242.95,514.45
2025-03-05,-155.80,-398.75,670.25
2025-03-06,291.70,-107.05,378.55
2025-03-07,249.70,142.65,128.85
2025-03-10,220.10,362.75,0.00
2025-03-11,-121.40,241.35,121.40
2025-03-12,-174.80,66.55,296.20
2025-03-13,213.70,280.25,82.50
2025-03-14,0.00,280.25,82.50
2025-03-17,0.00,280.25,82.50
2025-03-18,258.70,538.95,0.00
2025-03-19,-151.80,387.15,151.80
2025-03-20,217.10,604.25,0.00
2025-03-21,-135.80,468.45,135.80
2025-03-24,-86.80,381.65,222.60
2025-03-25,-101.80,279.85,324.40
2025-03-26,105.70,385.55,218.70
2025-03-27,154.85,540.40,63.85
2025-03-28,257.20,797.60,0.00
2025-03-31,0.00,797.60,0.00
2025-04-01,155.20,952.80,0.00
2025-04-02,-130.40,822.40,130.40
2025-04-03,288.70,1111.10,0.00
2025-04-04,181.10,1292.20,0.00
2025-04-07,0.00,1292.20,0.00
2025-04-08,178.85,1471.05,0.00
2025-04-09,0.00,1471.05,0.00
2025-04-10,-142.90,1328.15,142.90
2025-04-11,-111.90,1216.25,254.80
2025-04-14,0.00,1216.25,254.80
2025-04-15,-169.80,1046.45,424.60
2025-04-16,-109.80,936.65,534.40
2025-04-17,252.70,1189.35,281.70
2025-04-21,203.20,1392.55,78.50
2025-04-22,-173.80,1218.75,252.30
2025-04-23,0.00,1218.75,252.30
2025-04-24,201.70,1420.45,50.60
2025-04-25,-153.80,1266.65,204.40
2025-04-28,-137.80,1128.85,342.20
2025-04-29,134.20,1263.05,208.00
2025-04-30,0.00,1263.05,208.00
2025-05-01,192.70,1455.75,15.30
2025-05-02,-104.80,1350.95,120.10
2025-05-05,-155.80,1195.15,275.90
2025-05-06,-100.80,1094.35,376.70
2025-05-07,119.20,1213.55,257.50
2025-05-08,-86.80,1126.75,344.30
2025-05-09,-66.80,1059.95,411.10
2025-05-12,0.00,1059.95,411.10
2025-05-13,179.20,1239.15,231.90
2025-05-14,0.00,1239.15,231.90
2025-05-15,-70.80,1168.35,302.70
2025-05-16,152.20,1320.55,150.50
2025-05-19,228.70,1549.25,0.00
2025-05-20,-102.80,1446.45,102.80
2025-05-21,-140.80,1305.65,243.60
2025-05-22,219.70,1525.35,23.90
2025-05-23,0.00,1525.35,23.90
2025-05-26,-42.80,1482.55,66.70
2025-05-27,239.20,1721.75,0.00
2025-05-28,36.20,1757.95,0.00
2025-05-29,-174.80,1583.15,174.80
2025-05-30,-114.80,1468.35,289.60
2025-06-02,0.00,1468.35,289.60
2025-06-03,0.00,1468.35,289.60
2025-06-04,-191.80,1276.55,481.40
2025-06-05,-117.80,1158.75,599.20
2025-06-06,0.00,1158.75,599.20
2025-06-09,147.70,1306.45,451.50
2025-06-10,0.00,1306.45,451.50
2025-06-11,-136.80,1169.65,588.30
2025-06-12,126.70,1296.35,461.60
2025-06-13,-165.80,1130.55,627.40
2025-06-16,216.70,1347.25,410.70
2025-06-17,0.00,1347.25,410.70
2025-06-18,-80.80,1266.45,491.50
2025-06-19,-131.80,1134.65,623.30
2025-06-20,143.20,1277.85,480.10
2025-06-23,204.70,1482.55,275.40
2025-06-24,0.00,1482.55,275.40
2025-06-25,-64.80,1417.75,340.20
2025-06-26,-109.80,1307.95,450.00
2025-06-27,137.20,1445.15,312.80
2025-06-30,0.00,1445.15,312.80
2025-07-01,-42.80,1402.35,355.60
2025-07-02,-71.80,1330.55,427.40
2025-07-03,212.20,1542.75,215.20
2025-07-04,-48.80,1493.95,264.00
2025-07-07,0.00,1493.95,264.00
2025-07-08,-77.80,1416.15,341.80
2025-07-09,-122.80,1293.35,464.60
2025-07-10,111.70,1405.05,352.90
2025-07-11,-104.80,1300.25,457.70
2025-07-14,0.00,1300.25,457.70
2025-07-15,0.00,1300.25,457.70
2025-07-16,-118.80,1181.45,576.50
2025-07-17,96.70,1278.15,479.80
2025-07-18,89.20,1367.35,390.60
2025-07-21,158.20,1525.55,232.40
2025-07-22,168.70,1694.25,63.70
2025-07-23,-98.80,1595.45,162.50
2025-07-24,-93.80,1501.65,256.30
2025-07-25,95.20,1596.85,161.10
2025-07-28,-56.80,1540.05,217.90
2025-07-29,-132.80,1407.25,350.70
2025-07-30,0.00,1407.25,350.70
2025-07-31,0.00,1407.25,350.70
2025-08-01,279.70,1686.95,71.00
2025-08-04,-117.80,1569.15,188.80
2025-08-05,-69.80,1499.35,258.60
2025-08-06,134.20,1633.55,124.40
2025-08-07,-75.80,1557.75,200.20
2025-08-08,-111.80,1445.95,312.00
2025-08-11,-68.80,1377.15,380.80
2025-08-12,-137.80,1239.35,518.60
2025-08-13,-50.80,1188.55,569.40
2025-08-14,-110.80,1077.75,680.20
2025-08-15,-118.80,958.95,799.00
2025-08-18,-68.80,890.15,867.80
2025-08-19,198.70,1088.85,669.10
2025-08-20,194.20,1283.05,474.90
2025-08-21,-93.80,1189.25,568.70
2025-08-22,0.00,1189.25,568.70
2025-08-25,-94.80,1094.45,663.50
2025-08-26,-75.80,1018.65,739.30
2025-08-27,-57.80,960.85,797.10
2025-08-28,-117.80,843.05,914.90
2025-08-29,0.00,843.05,914.90
2025-09-01,0.00,843.05,914.90
2025-09-02,-122.40,720.65,1037.30
2025-09-03,-134.80,585.85,1172.10
2025-09-04,-121.80,464.05,1293.90
2025-09-05,245.20,709.25,1048.70
2025-09-08,-114.80,594.45,1163.50
2025-09-09,-94.80,499.65,1258.30
2025-09-10,0.00,499.65,1258.30
2025-09-11,0.00,499.65,1258.30
2025-09-12,107.20,606.85,1151.10
2025-09-15,25.20,632.05,1125.90
2025-09-16,-56.80,575.25,1182.70
2025-09-17,140.20,715.45,1042.50
2025-09-18,149.20,864.65,893.30
2025-09-19,-74.80,789.85,968.10
2025-09-22,-78.80,711.05,1046.90
2025-09-23,0.00,711.05,1046.90
2025-09-24,-84.80,626.25,1131.70
2025-09-25,-110.80,515.45,1242.50
2025-09-26,-199.80,315.65,1442.30
2025-09-29,114.70,430.35,1327.60
2025-09-30,0.00,430.35,1327.60
2025-10-01,77.20,507.55,1250.40
2025-10-02,0.00,507.55,1250.40
2025-10-03,-109.80,397.75,1360.20
2025-10-06,0.00,397.75,1360.20
2025-10-07,78.70,476.45,1281.50
2025-10-08,138.70,615.15,1142.80
2025-10-09,-119.80,495.35,1262.60
2025-10-10,0.00,495.35,1262.60
2025-10-13,-147.80,347.55,1410.40
2025-10-14,-19.90,327.65,1430.30
2025-10-15,147.70,475.35,1282.60
2025-10-16,119.20,594.55,1163.40
2025-10-17,-101.40,493.15,1264.80
2025-10-20,206.20,699.35,1058.60
2025-10-21,-98.80,600.55,1157.40
2025-10-22,198.70,799.25,958.70
2025-10-23,212.20,1011.45,746.50
2025-10-24,0.00,1011.45,746.50
2025-10-27,-79.80,931.65,826.30
2025-10-28,-64.80,866.85,891.10
2025-10-29,-69.80,797.05,960.90
2025-10-30,0.00,797.05,960.90
2025-10-31,-190.80,606.25,1151.70
2025-11-03,240.70,846.95,911.00
2025-11-04,258.70,1105.65,652.30
2025-11-05,137.20,1242.85,515.10
2025-11-06,185.20,1428.05,329.90
2025-11-07,0.00,1428.05,329.90
2025-11-10,-105.80,1322.25,435.70
2025-11-11,-146.80,1175.45,582.50
2025-11-12,-188.80,986.65,771.30
2025-11-13,0.00,986.65,771.30
2025-11-14,196.85,1183.50,574.45
2025-11-17,0.00,1183.50,574.45
