window,date,direction,pdh,sweep_high,entry,sl,tp,exit,exit_reason,risk_pts,risk_usd,pnl_pts,pnl_usd,win
IS 2025,2025-01-14,SHORT,20964.75,20992.75,20963.5,21012.75,20865.0,20865.0,TP,49.25,98.5,98.5,193.0,True
IS 2025,2025-01-16,SHORT,21452.75,21500.0,21450.75,21520.0,21312.25,21383.75,TIME,69.25,138.5,67.0,130.0,True
IS 2025,2025-01-17,SHORT,21500.0,21527.0,21487.75,21547.0,21369.25,21547.0,SL,59.25,118.5,-59.25,-122.5,False
IS 2025,2025-01-20,SHORT,21672.5,21690.0,21658.0,21710.0,21554.0,21710.0,SL,52.0,104.0,-52.0,-108.0,False
IS 2025,2025-01-24,SHORT,22034.0,22048.25,22026.75,22068.25,21943.75,22068.25,SL,41.5,83.0,-41.5,-87.0,False
IS 2025,2025-01-28,SHORT,21418.0,21439.5,21402.75,21459.5,21289.25,21459.5,SL,56.75,113.5,-56.75,-117.5,False
IS 2025,2025-01-30,SHORT,21606.5,21727.5,21598.25,21747.5,21299.75,21451.0,TIME,149.25,298.5,147.25,290.5,True
IS 2025,2025-02-04,SHORT,21520.0,21523.5,21498.5,21543.5,21408.5,21543.5,SL,45.0,90.0,-45.0,-94.0,False
IS 2025,2025-02-06,SHORT,21766.0,21778.5,21757.5,21798.5,21675.5,21798.5,SL,41.0,82.0,-41.0,-86.0,False
IS 2025,2025-02-07,SHORT,21882.0,21918.5,21839.75,21938.5,21642.25,21642.25,TP,98.75,197.5,197.5,391.0,True
IS 2025,2025-02-13,SHORT,21839.0,21938.75,21837.25,21958.75,21594.25,21958.75,SL,121.5,243.0,-121.5,-247.0,False
IS 2025,2025-02-14,SHORT,22122.75,22125.5,22105.0,22145.5,22024.0,22145.5,SL,40.5,81.0,-40.5,-85.0,False
IS 2025,2025-02-17,SHORT,22224.0,22242.25,22220.25,22262.25,22136.25,22230.0,TIME,42.0,84.0,-9.75,-23.5,False
IS 2025,2025-02-26,SHORT,21402.5,21404.0,21386.25,21424.0,21310.75,21395.5,TIME,37.75,75.5,-9.25,-22.5,False
IS 2025,2025-03-25,SHORT,20409.25,20419.25,20405.25,20439.25,20337.25,20439.25,SL,34.0,68.0,-34.0,-72.0,False
IS 2025,2025-04-01,SHORT,19488.5,19492.0,19477.5,19512.0,19408.5,19512.0,SL,34.5,69.0,-34.5,-73.0,False
IS 2025,2025-04-24,SHORT,19165.75,19171.25,19156.5,19191.25,19087.0,19191.25,SL,34.75,69.5,-34.75,-73.5,False
IS 2025,2025-04-25,SHORT,19338.5,19352.75,19337.0,19372.75,19265.5,19265.5,TP,35.75,71.5,71.5,139.0,True
IS 2025,2025-04-28,SHORT,19554.5,19567.0,19541.25,19587.0,19449.75,19587.0,SL,45.75,91.5,-45.75,-95.5,False
IS 2025,2025-05-02,SHORT,20125.25,20138.0,20109.25,20158.0,20011.75,20158.0,SL,48.75,97.5,-48.75,-101.5,False
IS 2025,2025-05-08,SHORT,20055.0,20076.5,20038.0,20096.5,19921.0,20096.5,SL,58.5,117.0,-58.5,-121.0,False
IS 2025,2025-05-14,SHORT,21347.0,21387.5,21341.75,21407.5,21210.25,21322.0,TIME,65.75,131.5,19.75,35.5,True
IS 2025,2025-05-15,SHORT,21419.75,21423.0,21398.5,21443.0,21309.5,21443.0,SL,44.5,89.0,-44.5,-93.0,False
IS 2025,2025-05-21,SHORT,21473.75,21478.5,21467.5,21498.5,21405.5,21498.5,SL,31.0,62.0,-31.0,-66.0,False
IS 2025,2025-05-28,SHORT,21488.25,21492.25,21483.25,21512.25,21425.25,21445.75,TIME,29.0,58.0,37.5,71.0,True
IS 2025,2025-05-29,SHORT,21564.75,21606.25,21562.25,21626.25,21434.25,21434.25,TP,64.0,128.0,128.0,252.0,True
IS 2025,2025-06-02,SHORT,21433.25,21551.25,21375.75,21571.25,20984.75,21571.25,SL,195.5,391.0,-195.5,-395.0,False
IS 2025,2025-06-16,SHORT,22075.5,22081.25,22067.0,22101.25,21998.5,22101.25,SL,34.25,68.5,-34.25,-72.5,False
IS 2025,2025-06-25,SHORT,22447.75,22471.5,22430.5,22491.5,22308.5,22440.0,TIME,61.0,122.0,-9.5,-23.0,False
IS 2025,2025-06-26,SHORT,22548.25,22555.75,22537.25,22575.75,22460.25,22575.75,SL,38.5,77.0,-38.5,-81.0,False
IS 2025,2025-06-30,SHORT,22823.75,22838.5,22814.5,22858.5,22726.5,22820.25,TIME,44.0,88.0,-5.75,-15.5,False
IS 2025,2025-07-02,SHORT,22845.0,22847.75,22842.0,22867.75,22790.5,22823.25,TIME,25.75,51.5,18.75,33.5,True
IS 2025,2025-07-09,SHORT,22962.75,22999.25,22961.5,23019.25,22846.0,22980.5,TIME,57.75,115.5,-19.0,-42.0,False
IS 2025,2025-07-14,SHORT,23021.75,23022.75,23000.5,23042.75,22916.0,23005.0,TIME,42.25,84.5,-4.5,-13.0,False
IS 2025,2025-07-17,SHORT,23100.0,23103.0,23082.25,23123.0,23000.75,23123.0,SL,40.75,81.5,-40.75,-85.5,False
IS 2025,2025-07-18,SHORT,23281.0,23306.25,23276.5,23326.25,23177.0,23195.75,TIME,49.75,99.5,80.75,157.5,True
IS 2025,2025-07-24,SHORT,23324.0,23338.0,23310.5,23358.0,23215.5,23358.0,SL,47.5,95.0,-47.5,-99.0,False
IS 2025,2025-07-28,SHORT,23477.0,23494.75,23475.0,23514.75,23395.5,23514.75,SL,39.75,79.5,-39.75,-83.5,False
IS 2025,2025-07-29,SHORT,23527.75,23531.25,23527.0,23551.25,23478.5,23478.5,TP,24.25,48.5,48.5,93.0,True
IS 2025,2025-07-31,SHORT,23589.75,23596.5,23571.75,23616.5,23482.25,23561.75,TIME,44.75,89.5,10.0,16.0,True
IS 2025,2025-08-05,SHORT,23308.0,23352.5,23307.0,23372.5,23176.0,23372.5,SL,65.5,131.0,-65.5,-135.0,False
IS 2025,2025-08-08,SHORT,23671.25,23678.75,23655.25,23698.75,23568.25,23698.75,SL,43.5,87.0,-43.5,-91.0,False
IS 2025,2025-08-11,SHORT,23724.5,23730.75,23693.5,23750.75,23579.0,23750.75,SL,57.25,114.5,-57.25,-118.5,False
IS 2025,2025-08-12,SHORT,23804.5,23808.5,23738.5,23828.5,23558.5,23755.5,TIME,90.0,180.0,-17.0,-38.0,False
IS 2025,2025-08-13,SHORT,23949.25,23958.5,23935.5,23978.5,23849.5,23946.5,TIME,43.0,86.0,-11.0,-26.0,False
IS 2025,2025-08-27,SHORT,23600.0,23601.75,23597.5,23621.75,23549.0,23600.75,TIME,24.25,48.5,-3.25,-10.5,False
IS 2025,2025-08-28,SHORT,23657.5,23664.0,23651.75,23684.0,23587.25,23684.0,SL,32.25,64.5,-32.25,-68.5,False
IS 2025,2025-09-16,SHORT,24547.0,24566.0,24532.25,24586.0,24424.75,24537.75,TIME,53.75,107.5,-5.5,-15.0,False
IS 2025,2025-09-19,SHORT,24815.75,24816.0,24802.5,24836.0,24735.5,24735.5,TP,33.5,67.0,67.0,130.0,True
IS 2025,2025-09-22,SHORT,24888.0,24889.0,24885.25,24909.0,24837.75,24909.0,SL,23.75,47.5,-23.75,-51.5,False
IS 2025,2025-09-26,SHORT,24697.0,24700.0,24692.75,24720.0,24638.25,24720.0,SL,27.25,54.5,-27.25,-58.5,False
IS 2025,2025-10-01,SHORT,24913.75,24920.75,24908.5,24940.75,24844.0,24940.75,SL,32.25,64.5,-32.25,-68.5,False
IS 2025,2025-10-02,SHORT,25037.0,25038.25,25026.0,25058.25,24961.5,25058.25,SL,32.25,64.5,-32.25,-68.5,False
IS 2025,2025-10-03,SHORT,25169.0,25171.0,25137.75,25191.0,25031.25,25120.0,TIME,53.25,106.5,17.75,31.5,True
IS 2025,2025-10-06,SHORT,25171.0,25217.0,25166.5,25237.0,25025.5,25135.75,TIME,70.5,141.0,30.75,57.5,True
IS 2025,2025-10-07,SHORT,25253.0,25263.0,25246.75,25283.0,25174.25,25198.75,TIME,36.25,72.5,48.0,92.0,True
IS 2025,2025-10-10,SHORT,25337.25,25345.25,25335.5,25365.25,25276.0,25365.25,SL,29.75,59.5,-29.75,-63.5,False
IS 2025,2025-10-15,SHORT,24947.25,24987.5,24934.0,25007.5,24787.0,25007.5,SL,73.5,147.0,-73.5,-151.0,False
IS 2025,2025-10-16,SHORT,25117.75,25124.0,25111.0,25144.0,25045.0,25045.0,TP,33.0,66.0,66.0,128.0,True
IS 2025,2025-10-31,SHORT,26179.5,26208.25,26178.0,26228.25,26077.5,26077.5,TP,50.25,100.5,100.5,197.0,True
IS 2025,2025-11-03,SHORT,26208.25,26218.0,26189.75,26238.0,26093.25,26093.25,TP,48.25,96.5,96.5,189.0,True
IS 2025,2025-11-12,SHORT,25695.75,25781.75,25678.25,25801.75,25431.25,25576.25,TIME,123.5,247.0,102.0,200.0,True
IS 2025,2025-11-19,SHORT,24832.0,24873.25,24825.5,24893.25,24690.0,24690.0,TP,67.75,135.5,135.5,267.0,True
IS 2025,2025-12-17,SHORT,25444.0,25449.25,25411.5,25469.25,25296.0,25296.0,TP,57.75,115.5,115.5,227.0,True
IS 2025,2025-12-24,SHORT,25820.25,25827.5,25802.25,25847.5,25711.75,25817.75,TIME,45.25,90.5,-15.5,-35.0,False
