entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,date
2025-01-02 14:00:00,bullish,21391.625,21361.75,21451.375,-597.5,stop,93.97768091591635,NY PM,2275.0,2025-01-02
2025-01-02 14:55:00,bearish,21299.75,21405.75,21087.75,-2120.0,stop,92.32044728384938,NY PM,4390.0,2025-01-02
2025-01-02 14:05:00,bullish,21396.75,21361.75,21466.75,-700.0,stop,91.97768091591635,NY PM,2020.0,2025-01-02
2025-01-02 11:45:00,bearish,21416.5,21424.5,21400.5,-160.0,stop,89.88927415744324,,1220.0,2025-01-02
2025-01-02 11:50:00,bearish,21423.0,21424.5,21420.0,-30.0,stop,87.88927415744324,,900.0,2025-01-02
2025-01-02 08:25:00,bullish,21383.125,21345.75,21457.875,-747.5,stop,87.63924868125162,,1635.0,2025-01-02
2025-01-02 08:30:00,bullish,21369.25,21345.75,21416.25,-470.0,stop,85.63924868125162,,1510.0,2025-01-02
2025-01-02 14:10:00,bearish,21357.125,21424.5,21222.375,2695.0,target,84.90376054901479,NY PM,895.0,2025-01-02
2025-01-02 14:25:00,bullish,21371.0,21361.75,21389.5,-185.0,stop,83.97768091591635,NY PM,970.0,2025-01-02
2025-01-02 08:35:00,bullish,21353.375,21345.75,21368.625,-152.5,stop,83.63924868125162,,1415.0,2025-01-02
2025-01-02 14:15:00,bearish,21370.75,21424.5,21263.25,2150.0,target,82.90376054901479,NY PM,980.0,2025-01-02
2025-01-02 15:00:00,bearish,21337.0,21405.75,21199.5,-1375.0,stop,82.82044728384938,,3280.0,2025-01-02
2025-01-02 14:20:00,bearish,21365.875,21424.5,21248.625,2345.0,target,80.90376054901479,NY PM,305.0,2025-01-02
2025-01-02 08:55:00,bullish,21365.75,21345.75,21405.75,800.0,target,75.63924868125162,,380.0,2025-01-02
2025-01-02 09:05:00,bullish,21367.875,21345.75,21412.125,885.0,target,75.21893382250674,,625.0,2025-01-02
2025-01-02 15:05:00,bullish,21392.875,21361.75,21455.125,-622.5,stop,72.47768091591635,,665.0,2025-01-02
2025-01-02 15:30:00,bearish,21278.0,21405.75,21022.5,5110.0,target,70.82044728384936,,850.0,2025-01-02
2025-01-03 20:55:00,bullish,21499.75,21496.25,21506.75,140.0,target,86.44689356126132,,470.0,2025-01-03
2025-01-03 15:15:00,bullish,21369.25,21308.5,21490.75,-1215.0,stop,84.2582634892616,,2860.0,2025-01-03
2025-01-03 15:20:00,bullish,21340.375,21308.5,21404.125,-637.5,stop,82.2582634892616,,3185.0,2025-01-03
