entry_time,exit_time,dir,reason,pnl_pts,proba
2025-01-01 10:15:00+00:00,2025-01-01 14:00:00+00:00,1,TP,777.6000000000058,
2025-01-01 16:45:00+00:00,2025-01-01 19:45:00+00:00,0,SL,-549.3000000000029,
2025-01-03 09:45:00+00:00,2025-01-03 15:00:00+00:00,1,TP,795.1999999999971,
2025-01-04 02:00:00+00:00,2025-01-04 09:15:00+00:00,1,SL,-310.5,
2025-01-04 15:45:00+00:00,2025-01-04 17:45:00+00:00,0,SL,-301.6999999999971,
2025-01-04 22:00:00+00:00,2025-01-05 09:45:00+00:00,0,TP,651.0,
2025-01-05 15:15:00+00:00,2025-01-05 20:15:00+00:00,1,TP,695.0,
2025-01-06 02:00:00+00:00,2025-01-06 05:30:00+00:00,1,TP,956.6000000000058,
2025-01-06 11:30:00+00:00,2025-01-06 14:15:00+00:00,1,SL,-484.5,
2025-01-07 04:30:00+00:00,2025-01-07 10:00:00+00:00,1,SL,-462.8000000000029,
2025-01-08 05:45:00+00:00,2025-01-08 06:30:00+00:00,1,SL,-585.6999999999971,
2025-01-08 18:15:00+00:00,2025-01-09 08:00:00+00:00,1,SL,-1310.5,
2025-01-10 14:30:00+00:00,2025-01-10 15:00:00+00:00,1,SL,-830.1999999999971,
2025-01-10 16:00:00+00:00,2025-01-11 07:00:00+00:00,1,TIME_STOP,588.0,
2025-01-11 15:00:00+00:00,2025-01-11 15:45:00+00:00,1,SL,-230.39999999999418,
2025-01-13 13:30:00+00:00,2025-01-13 14:30:00+00:00,1,SL,-998.5,
2025-01-15 02:45:00+00:00,2025-01-15 04:00:00+00:00,0,SL,-583.0,
2025-01-15 21:00:00+00:00,2025-01-15 23:45:00+00:00,0,SL,-765.6000000000058,
2025-01-16 01:00:00+00:00,2025-01-16 14:30:00+00:00,0,TP,1492.3999999999942,
2025-01-16 21:15:00+00:00,2025-01-17 01:30:00+00:00,0,SL,-796.1000000000058,
2025-01-17 03:00:00+00:00,2025-01-17 07:30:00+00:00,0,SL,-789.0,
2025-01-17 18:00:00+00:00,2025-01-17 19:00:00+00:00,0,SL,-1043.8999999999942,
2025-01-17 21:00:00+00:00,2025-01-18 04:15:00+00:00,0,TP,2033.0,
2025-01-18 09:00:00+00:00,2025-01-19 00:00:00+00:00,1,TIME_STOP,988.0,
2025-01-19 03:15:00+00:00,2025-01-19 04:15:00+00:00,0,SL,-531.8000000000029,
2025-01-19 21:45:00+00:00,2025-01-19 22:45:00+00:00,0,TP,1904.3999999999942,
2025-01-20 17:00:00+00:00,2025-01-20 17:15:00+00:00,1,SL,-1943.6000000000058,
2025-01-21 15:00:00+00:00,2025-01-21 16:00:00+00:00,0,SL,-1134.0,
2025-01-22 17:30:00+00:00,2025-01-23 00:15:00+00:00,1,SL,-1222.300000000003,
