slow_length,entry_line,exit_type,mtf_slope_filter,sl_pct,tp_pct,trade_count,win_rate_pct,profit_factor,avg_hold_bars,total_pnl,sharpe,pct_sl,pct_tp,pct_timeout
400,lower,timeout,True,0.005,0.02,524,36.6,1.1939,259.8,28383.5,1.34,56.5,10.9,32.6
400,lower,timeout,True,0.005,0.03,514,35.6,1.1614,276.9,23520.5,1.03,57.4,3.5,39.1
400,lower,timeout,True,0.01,0.02,498,47.4,1.1384,363.5,24641.5,1.0,30.5,12.2,57.2
400,lower,timeout,True,0.01,0.03,489,46.4,1.1251,381.2,22259.0,0.85,31.3,4.3,64.4
200,lower,timeout,True,0.01,0.03,936,45.8,1.1194,373.2,41923.0,0.91,34.2,5.2,60.6
200,lower,timeout,True,0.02,0.03,891,51.1,1.118,438.9,42902.0,0.86,12.2,5.7,82.0
400,lower,timeout,True,0.005,0.01,560,40.0,1.116,206.1,17229.0,0.96,53.6,27.3,19.1
400,lower,timeout,True,0.01,0.01,539,50.8,1.0745,296.9,13585.0,0.6,29.3,34.0,36.7
200,mid,timeout,True,0.01,0.02,1076,45.3,1.0637,352.9,25699.5,0.57,34.6,11.8,53.6
200,mid,timeout,True,0.01,0.03,1037,44.6,1.0619,373.4,24270.5,0.53,34.9,4.5,60.6
300,lower,timeout,True,0.005,0.03,654,33.8,1.0507,268.7,9822.0,0.36,60.4,3.5,36.1
200,upper,midline,True,0.02,0.03,3728,38.8,1.0461,52.8,18983.0,0.51,0.9,0.4,0.0
200,upper,midline,True,0.02,0.02,3743,38.9,1.0428,52.1,17768.0,0.48,0.9,1.2,0.0
200,lower,timeout,True,0.01,0.02,971,46.2,1.0428,352.7,15646.0,0.37,34.3,11.2,54.5
500,mid,upper_rail,False,0.02,0.01,3442,73.0,1.0409,106.6,24082.0,0.53,5.1,2.3,1.8
400,upper,upper_rail,True,0.005,0.03,3859,58.2,1.0398,37.6,12081.5,0.45,14.4,0.2,0.3
200,mid,timeout,True,0.005,0.03,1189,32.0,1.0381,264.5,13403.0,0.33,60.2,4.0,35.7
200,upper,midline,True,0.02,0.01,3829,39.4,1.0365,48.6,15478.5,0.45,0.9,5.7,0.0
500,mid,upper_rail,False,0.02,0.03,3416,72.8,1.0363,108.2,21395.0,0.47,5.1,0.1,2.0
300,mid,timeout,True,0.01,0.02,934,45.5,1.0354,357.0,12473.5,0.3,32.7,12.0,55.4
500,mid,upper_rail,False,0.02,0.02,3416,72.8,1.0353,108.1,20822.0,0.46,5.1,0.2,1.9
