root,symbol,expiration_date,point_value,n_bars,first_date,last_date
MGC,MGCG20,2020-02-26T00:00:00Z,10,482,2018-03-28,2020-02-26
MGC,MGCJ20,2020-04-28T00:00:00Z,10,482,2018-05-30,2020-04-28
MGC,MGCM20,2020-06-26T00:00:00Z,10,503,2018-06-28,2020-06-26
MGC,MGCQ20,2020-08-27T00:00:00Z,10,483,2018-09-27,2020-08-27
MGC,MGCV20,2020-10-28T00:00:00Z,10,482,2018-11-29,2020-10-28
MGC,MGCZ20,2020-12-29T00:00:00Z,10,505,2018-12-28,2020-12-29
MGC,MGCG21,2021-02-24T00:00:00Z,10,482,2019-03-28,2021-02-24
MGC,MGCJ21,2021-04-28T00:00:00Z,10,483,2019-05-30,2021-04-28
MGC,MGCM21,2021-06-28T00:00:00Z,10,505,2019-06-27,2021-06-28
MGC,MGCQ21,2021-08-27T00:00:00Z,10,483,2019-09-30,2021-08-27
MGC,MGCV21,2021-10-27T00:00:00Z,10,483,2019-11-27,2021-10-27
MGC,MGCZ21,2021-12-29T00:00:00Z,10,505,2019-12-30,2021-12-29
MGC,MGCG22,2022-02-24T00:00:00Z,10,482,2020-03-30,2022-02-24
MGC,MGCJ22,2022-04-27T00:00:00Z,10,484,2020-05-28,2022-04-27
MGC,MGCM22,2022-06-28T00:00:00Z,10,513,2020-06-16,2022-06-28
MGC,MGCQ22,2022-08-29T00:00:00Z,10,483,2020-09-29,2022-08-29
MGC,MGCV22,2022-10-27T00:00:00Z,10,483,2020-11-27,2022-10-27
MGC,MGCZ22,2022-12-28T00:00:00Z,10,511,2020-12-17,2022-12-28
MGC,MGCG23,2023-02-24T00:00:00Z,10,480,2021-03-30,2023-02-23
MGC,MGCJ23,2023-04-26T00:00:00Z,10,482,2021-05-27,2023-04-26
MGC,MGCM23,2023-06-28T00:00:00Z,10,512,2021-06-16,2023-06-28
MGC,MGCQ23,2023-08-29T00:00:00Z,10,482,2021-09-29,2023-08-29
MGC,MGCV23,2023-10-27T00:00:00Z,10,482,2021-11-29,2023-10-27
MGC,MGCZ23,2023-12-27T00:00:00Z,10,509,2021-12-17,2023-12-27
MGC,MGCG24,2024-02-27T00:00:00Z,10,480,2022-03-30,2024-02-27
MGC,MGCJ24,2024-04-26T00:00:00Z,10,481,2022-05-27,2024-04-26
MGC,MGCM24,2024-06-26T00:00:00Z,10,509,2022-06-16,2024-06-26
MGC,MGCQ24,2024-08-28T00:00:00Z,10,481,2022-09-29,2024-08-28
MGC,MGCV24,2024-10-29T00:00:00Z,10,482,2022-11-29,2024-10-29
