root,symbol,observations,first,last,internal_missing,zero_volume,zero_oi,repeated_close_steps,longest_equal_close_run,repeat_flag_rows,after_broker_expiry
ZL,BOF25,8,2025-01-02T19:20:00Z,2025-01-14T19:20:00Z,0,0,0,0,1,0,0
ZL,BOF26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,2,2,0,0
ZL,BOH25,49,2025-01-02T19:20:00Z,2025-03-14T18:20:00Z,0,0,0,0,1,0,0
ZL,BOH26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,1,2,0,0
ZL,BOK25,91,2025-01-02T19:20:00Z,2025-05-14T18:20:00Z,0,1,0,0,1,0,0
ZL,BOK26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,2,2,0,0
ZL,BON25,130,2025-01-02T19:20:00Z,2025-07-11T18:20:00Z,0,0,0,1,2,0,0
ZL,BON26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,1,0,2,2,0,0
ZL,BOQ25,154,2025-01-02T19:20:00Z,2025-08-14T18:20:00Z,0,0,0,0,1,0,0
ZL,BOQ26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,23,0,3,2,0,0
ZL,BOU25,174,2025-01-02T19:20:00Z,2025-09-12T18:20:00Z,0,0,0,0,1,0,0
ZL,BOU26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,29,0,4,2,0,0
ZL,BOV25,196,2025-01-02T19:20:00Z,2025-10-14T18:20:00Z,0,0,0,0,1,0,0
ZL,BOV26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,28,0,2,2,0,0
ZL,BOZ25,238,2025-01-02T19:20:00Z,2025-12-12T19:20:00Z,0,0,0,0,1,0,0
ZL,BOZ26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,16,0,4,2,0,0
ZC,CH25,49,2025-01-02T19:20:00Z,2025-03-14T18:20:00Z,0,0,0,0,1,0,0
ZC,CH26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,1,2,0,0
ZC,CK25,91,2025-01-02T19:20:00Z,2025-05-14T18:20:00Z,0,0,0,1,2,0,0
ZC,CK26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,5,3,1,0
CL,CLF26,244,2025-01-02T22:00:00Z,2025-12-19T22:00:00Z,0,0,0,1,2,0,0
CL,CLF27,248,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,3,2,0,1,2,0,0
CL,CLG25,13,2025-01-02T22:00:00Z,2025-01-21T22:00:00Z,0,0,0,0,1,0,0
