root,timestamp,previous_near,previous_far,next_near,next_far
CL,2025-01-22T22:00:00Z,CLG25,CLK25,CLH25,CLN25
CL,2025-02-21T22:00:00Z,CLH25,CLN25,CLJ25,CLN25
CL,2025-03-21T21:00:00Z,CLJ25,CLN25,CLK25,CLQ25
CL,2025-04-23T21:00:00Z,CLK25,CLQ25,CLM25,CLU25
CL,2025-05-21T21:00:00Z,CLM25,CLU25,CLN25,CLV25
CL,2025-06-23T21:00:00Z,CLN25,CLV25,CLQ25,CLX25
CL,2025-07-23T21:00:00Z,CLQ25,CLX25,CLU25,CLZ25
CL,2025-08-21T21:00:00Z,CLU25,CLZ25,CLV25,CLG26
CL,2025-09-23T21:00:00Z,CLV25,CLG26,CLX25,CLG26
CL,2025-10-22T21:00:00Z,CLX25,CLG26,CLZ25,CLH26
CL,2025-11-21T22:00:00Z,CLZ25,CLH26,CLF26,CLJ26
CL,2025-12-22T22:00:00Z,CLF26,CLJ26,CLG26,CLK26
NG,2025-01-30T22:00:00Z,NGG25,NGM25,NGH25,NGM25
NG,2025-02-27T22:00:00Z,NGH25,NGM25,NGJ25,NGN25
NG,2025-03-28T21:00:00Z,NGJ25,NGN25,NGK25,NGQ25
NG,2025-04-29T21:00:00Z,NGK25,NGQ25,NGM25,NGU25
NG,2025-05-29T21:00:00Z,NGM25,NGU25,NGN25,NGV25
NG,2025-06-27T21:00:00Z,NGN25,NGV25,NGQ25,NGX25
NG,2025-07-30T21:00:00Z,NGQ25,NGX25,NGU25,NGZ25
NG,2025-08-28T21:00:00Z,NGU25,NGZ25,NGV25,NGF26
NG,2025-09-29T21:00:00Z,NGV25,NGF26,NGX25,NGG26
NG,2025-10-30T21:00:00Z,NGX25,NGG26,NGZ25,NGH26
NG,2025-11-26T22:00:00Z,NGZ25,NGH26,NGF26,NGK26
NG,2025-12-30T22:00:00Z,NGF26,NGK26,NGG26,NGK26
RB,2025-02-03T22:00:00Z,RBG25,RBM25,RBH25,RBM25
RB,2025-03-03T22:00:00Z,RBH25,RBM25,RBJ25,RBN25
RB,2025-04-01T21:00:00Z,RBJ25,RBN25,RBK25,RBQ25
RB,2025-05-01T21:00:00Z,RBK25,RBQ25,RBM25,RBU25
RB,2025-06-02T21:00:00Z,RBM25,RBU25,RBN25,RBV25
RB,2025-07-01T21:00:00Z,RBN25,RBV25,RBQ25,RBX25
RB,2025-08-01T21:00:00Z,RBQ25,RBX25,RBU25,RBZ25
RB,2025-09-02T21:00:00Z,RBU25,RBZ25,RBV25,RBF26
RB,2025-10-01T21:00:00Z,RBV25,RBF26,RBX25,RBG26
RB,2025-11-03T22:00:00Z,RBX25,RBG26,RBZ25,RBH26
RB,2025-12-01T22:00:00Z,RBZ25,RBH26,RBF26,RBJ26
HO,2025-02-03T22:00:00Z,HOG25,HOM25,HOH25,HOM25
HO,2025-03-03T22:00:00Z,HOH25,HOM25,HOJ25,HON25
HO,2025-04-01T21:00:00Z,HOJ25,HON25,HOK25,HOQ25
HO,2025-05-01T21:00:00Z,HOK25,HOQ25,HOM25,HOU25
HO,2025-06-02T21:00:00Z,HOM25,HOU25,HON25,HOV25
HO,2025-07-01T21:00:00Z,HON25,HOV25,HOQ25,HOX25
HO,2025-08-01T21:00:00Z,HOQ25,HOX25,HOU25,HOZ25
HO,2025-09-02T21:00:00Z,HOU25,HOZ25,HOV25,HOF26
HO,2025-10-01T21:00:00Z,HOV25,HOF26,HOX25,HOG26
HO,2025-11-03T22:00:00Z,HOX25,HOG26,HOZ25,HOH26
HO,2025-12-01T22:00:00Z,HOZ25,HOH26,HOF26,HOJ26
HG,2025-01-30T22:00:00Z,HGF25,HGK25,HGG25,HGK25
HG,2025-02-27T22:00:00Z,HGG25,HGK25,HGH25,HGM25
HG,2025-03-28T21:00:00Z,HGH25,HGM25,HGJ25,HGN25
HG,2025-04-29T21:00:00Z,HGJ25,HGN25,HGK25,HGQ25
HG,2025-05-29T21:00:00Z,HGK25,HGQ25,HGM25,HGU25
HG,2025-06-27T21:00:00Z,HGM25,HGU25,HGN25,HGV25
HG,2025-07-30T21:00:00Z,HGN25,HGV25,HGQ25,HGX25
HG,2025-08-28T21:00:00Z,HGQ25,HGX25,HGU25,HGZ25
HG,2025-09-29T21:00:00Z,HGU25,HGZ25,HGV25,HGF26
HG,2025-10-30T21:00:00Z,HGV25,HGF26,HGX25,HGG26
HG,2025-11-26T22:00:00Z,HGX25,HGG26,HGZ25,HGJ26
HG,2025-12-30T22:00:00Z,HGZ25,HGJ26,HGF26,HGJ26
ZC,2025-03-17T18:20:00Z,CH25,CN25,CK25,CU25
ZC,2025-05-15T18:20:00Z,CK25,CU25,CN25,CZ25
ZC,2025-07-15T18:20:00Z,CN25,CZ25,CU25,CZ25
ZC,2025-09-15T18:20:00Z,CU25,CZ25,CZ25,CH26
ZC,2025-12-15T19:20:00Z,CZ25,CH26,CH26,CN26
ZW,2025-03-17T18:20:00Z,WH25,WN25,WK25,WU25
ZW,2025-05-15T18:20:00Z,WK25,WU25,WN25,WZ25
ZW,2025-07-15T18:20:00Z,WN25,WZ25,WU25,WZ25
ZW,2025-09-12T18:20:00Z,WU25,WZ25,WZ25,WH26
ZW,2025-12-12T19:20:00Z,WZ25,WH26,WH26,WN26
ZS,2025-01-15T19:20:00Z,SF25,SK25,SH25,SN25
ZS,2025-03-17T18:20:00Z,SH25,SN25,SK25,SQ25
ZS,2025-05-15T18:20:00Z,SK25,SQ25,SN25,SX25
ZS,2025-07-15T18:20:00Z,SN25,SX25,SQ25,SX25
ZS,2025-08-15T18:20:00Z,SQ25,SX25,SU25,SF26
ZS,2025-09-15T18:20:00Z,SU25,SF26,SX25,SH26
ZS,2025-11-17T19:20:00Z,SX25,SH26,SF26,SK26
ZM,2025-01-15T19:20:00Z,SMF25,SMK25,SMH25,SMN25
ZM,2025-03-17T18:20:00Z,SMH25,SMN25,SMK25,SMQ25
ZM,2025-05-15T18:20:00Z,SMK25,SMQ25,SMN25,SMV25
ZM,2025-07-15T18:20:00Z,SMN25,SMV25,SMQ25,SMZ25
ZM,2025-08-15T18:20:00Z,SMQ25,SMZ25,SMU25,SMZ25
ZM,2025-09-12T18:20:00Z,SMU25,SMZ25,SMV25,SMF26
ZM,2025-10-15T18:20:00Z,SMV25,SMF26,SMZ25,SMH26
ZM,2025-12-15T19:20:00Z,SMZ25,SMH26,SMF26,SMK26
ZL,2025-01-15T19:20:00Z,BOF25,BOK25,BOH25,BON25
ZL,2025-03-17T18:20:00Z,BOH25,BON25,BOK25,BOQ25
ZL,2025-05-15T18:20:00Z,BOK25,BOQ25,BON25,BOV25
ZL,2025-07-14T18:20:00Z,BON25,BOV25,BOQ25,BOZ25
ZL,2025-08-15T18:20:00Z,BOQ25,BOZ25,BOU25,BOZ25
ZL,2025-09-15T18:20:00Z,BOU25,BOZ25,BOV25,BOF26
ZL,2025-10-15T18:20:00Z,BOV25,BOF26,BOZ25,BOH26
ZL,2025-12-15T19:20:00Z,BOZ25,BOH26,BOF26,BOK26
LE,2025-01-09T19:05:00Z,LCG25,LCM25,LCJ25,LCQ25
LE,2025-01-10T19:05:00Z,LCJ25,LCQ25,LCG25,LCM25
LE,2025-03-03T19:05:00Z,LCG25,LCM25,LCJ25,LCQ25
LE,2025-05-01T18:05:00Z,LCJ25,LCQ25,LCM25,LCV25
LE,2025-07-01T18:05:00Z,LCM25,LCV25,LCQ25,LCZ25
LE,2025-09-02T18:05:00Z,LCQ25,LCZ25,LCV25,LCG26
LE,2025-11-03T19:05:00Z,LCV25,LCG26,LCZ25,LCJ26
HE,2025-01-09T19:05:00Z,LHG25,LHM25,LHJ25,LHN25
HE,2025-01-10T19:05:00Z,LHJ25,LHN25,LHG25,LHM25
HE,2025-02-18T19:05:00Z,LHG25,LHM25,LHJ25,LHN25
HE,2025-04-15T18:05:00Z,LHJ25,LHN25,LHK25,LHQ25
HE,2025-05-15T18:05:00Z,LHK25,LHQ25,LHM25,LHV25
HE,2025-06-16T18:05:00Z,LHM25,LHV25,LHN25,LHV25
HE,2025-07-16T18:05:00Z,LHN25,LHV25,LHQ25,LHZ25
HE,2025-08-15T18:05:00Z,LHQ25,LHZ25,LHV25,LHG26
HE,2025-10-15T18:05:00Z,LHV25,LHG26,LHZ25,LHJ26
HE,2025-12-15T19:05:00Z,LHZ25,LHJ26,LHG26,LHK26
