exit_reason,outcome,trades,gross,costs,net,winning_dollars,losing_dollars,sampled_favorable_beyond_cost_count,sampled_adverse_gross_count
ALL,ALL,801,23684.0,1794.2400000000002,21889.759999999995,98516.12,76626.36,760,747
ALL,winner,462,99551.0,1034.88,98516.12,98516.12,0,462,408
ALL,loser,339,-75867.0,759.3600000000001,-76626.36,0,76626.36,298,339
ALL,flat,0,0,0,0,0,0,0,0
CAT_STOP,ALL,71,-35172.0,159.04000000000002,-35331.04,0,35331.04,61,71
CAT_STOP,winner,0,0,0,0,0,0,0,0
CAT_STOP,loser,71,-35172.0,159.04000000000002,-35331.04,0,35331.04,61,71
CAT_STOP,flat,0,0,0,0,0,0,0,0
EOD_CLOSE_PROXY,ALL,723,61444.0,1619.5200000000002,59824.479999999996,98516.12,38691.64,693,669
EOD_CLOSE_PROXY,winner,462,99551.0,1034.88,98516.12,98516.12,0,462,408
EOD_CLOSE_PROXY,loser,261,-38107.0,584.6400000000001,-38691.64,0,38691.64,231,261
EOD_CLOSE_PROXY,flat,0,0,0,0,0,0,0,0
REVERSAL,ALL,7,-2588.0,15.680000000000001,-2603.6800000000003,0,2603.6800000000003,6,7
REVERSAL,winner,0,0,0,0,0,0,0,0
REVERSAL,loser,7,-2588.0,15.680000000000001,-2603.6800000000003,0,2603.6800000000003,6,7
REVERSAL,flat,0,0,0,0,0,0,0,0
