day,contract,arm,arm_hash,delay,cost,quantity,gross,costs,net,turnover,exposure_contract_minutes,eligible,exclusion
2021-01-15,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,-25.0,2.24,-27.240000000000002,2,329,True,
2021-01-20,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,116.0,2.24,113.76,2,329,True,
2021-01-21,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-01-22,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-01-25,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,-495.0,2.24,-497.24,2,64,True,
2021-01-26,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-01-27,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,338.0,2.24,335.76,2,359,True,
2021-01-28,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,-4.0,2.24,-6.24,2,359,True,
2021-01-29,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,141.0,2.24,138.76,2,269,True,
2021-02-01,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,141.5,2.24,139.26,2,269,True,
2021-02-02,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,86.0,2.24,83.76,2,299,True,
2021-02-03,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,42.5,2.24,40.26,2,329,True,
2021-02-04,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-05,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-08,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-09,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-10,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,-96.5,2.24,-98.74,2,329,True,
2021-02-11,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-12,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-17,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-18,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-19,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,0.0,0.0,0.0,0,0,True,
2021-02-22,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,168.5,2.24,166.26,2,299,True,
2021-02-23,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,-506.0,2.24,-508.24,2,305,True,
2021-02-24,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,-319.5,4.48,-323.98,4,359,True,
2021-02-25,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,591.0,2.24,588.76,2,299,True,
2021-02-26,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,-707.0,4.48,-711.48,4,305,True,
2021-03-01,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,174.5,2.24,172.26,2,299,True,
2021-03-02,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,344.5,2.24,342.26,2,359,True,
2021-03-03,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,451.0,2.24,448.76,2,359,True,
2021-03-04,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,248.5,2.24,246.26,2,359,True,
2021-03-05,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,-552.0,2.24,-554.24,2,299,True,
2021-03-08,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,2.24,1,578.0,2.24,575.76,2,359,True,
