day,contract,arm,arm_hash,delay,direction,entry_event_timestamp,entry_signal_timestamp,entry_fill_timestamp,exit_event_timestamp,exit_fill_timestamp,exit_fill_time_basis,entry_signal_price,exit_signal_price,entry_fill,exit_fill,quantity,gross,costs,net,exit_reason,entry_slope,entry_r2,entry_efficiency,entry_displacement,eligible,exclusion
2021-01-15,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-01-15T10:32:00-05:00,2021-01-15T10:30:00-05:00,2021-01-15T10:31:00-05:00,2021-01-15T16:00:00-05:00,2021-01-15T16:00:00-05:00,session_close_proxy,12792.25,12799.25,12786.75,12799.25,1,-25.0,2.24,-27.240000000000002,EOD_CLOSE_PROXY,-3.8814794215795327,0.7695547498166243,0.3140625,-100.5,True,
2021-01-20,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-01-20T10:32:00-05:00,2021-01-20T10:30:00-05:00,2021-01-20T10:31:00-05:00,2021-01-20T16:00:00-05:00,2021-01-20T16:00:00-05:00,session_close_proxy,13230.5,13286.0,13228.0,13286.0,1,116.0,2.24,113.76,EOD_CLOSE_PROXY,2.2389877641824247,0.6921096704822265,0.4816247582205029,62.25,True,
2021-01-25,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-01-25T10:02:00-05:00,2021-01-25T10:00:00-05:00,2021-01-25T10:01:00-05:00,2021-01-25T11:05:00-05:00,,intrabar_unknown_within_event_minute,13538.75,13288.75,13536.25,13288.75,1,-495.0,2.24,-497.24,CAT_STOP,0.27586206896551724,0.04582344546732834,0.18125,29.0,True,
2021-01-27,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-01-27T10:02:00-05:00,2021-01-27T10:00:00-05:00,2021-01-27T10:01:00-05:00,2021-01-27T16:00:00-05:00,2021-01-27T16:00:00-05:00,session_close_proxy,13280.25,13120.25,13289.25,13120.25,1,338.0,2.24,335.76,EOD_CLOSE_PROXY,-1.5628476084538376,0.15652710862970579,0.08853883758826725,-40.75,True,
2021-01-28,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-01-28T10:02:00-05:00,2021-01-28T10:00:00-05:00,2021-01-28T10:01:00-05:00,2021-01-28T16:00:00-05:00,2021-01-28T16:00:00-05:00,session_close_proxy,13188.5,13185.25,13187.25,13185.25,1,-4.0,2.24,-6.24,EOD_CLOSE_PROXY,1.4847608453837597,0.2569039241891343,0.0745209368346345,26.25,True,
2021-01-29,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-01-29T11:32:00-05:00,2021-01-29T11:30:00-05:00,2021-01-29T11:31:00-05:00,2021-01-29T16:00:00-05:00,2021-01-29T16:00:00-05:00,session_close_proxy,12994.25,12914.25,12984.75,12914.25,1,141.0,2.24,138.76,EOD_CLOSE_PROXY,-3.8796996662958843,0.8629756899551303,0.4470924690181125,-117.25,True,
2021-02-01,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-02-01T11:32:00-05:00,2021-02-01T11:30:00-05:00,2021-02-01T11:31:00-05:00,2021-02-01T16:00:00-05:00,2021-02-01T16:00:00-05:00,session_close_proxy,13155.0,13230.5,13159.75,13230.5,1,141.5,2.24,139.26,EOD_CLOSE_PROXY,3.515850945494994,0.9686008328685061,0.6270627062706271,95.0,True,
2021-02-02,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-02-02T11:02:00-05:00,2021-02-02T11:00:00-05:00,2021-02-02T11:01:00-05:00,2021-02-02T16:00:00-05:00,2021-02-02T16:00:00-05:00,session_close_proxy,13414.75,13447.75,13404.75,13447.75,1,86.0,2.24,83.76,EOD_CLOSE_PROXY,0.610511679644049,0.41877893649832026,0.16824196597353497,22.25,True,
2021-02-03,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-02-03T10:32:00-05:00,2021-02-03T10:30:00-05:00,2021-02-03T10:31:00-05:00,2021-02-03T16:00:00-05:00,2021-02-03T16:00:00-05:00,session_close_proxy,13397.5,13388.75,13410.0,13388.75,1,42.5,2.24,40.26,EOD_CLOSE_PROXY,-4.199555061179088,0.9298609506286475,0.4338235294117647,-118.0,True,
2021-02-10,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-02-10T10:32:00-05:00,2021-02-10T10:30:00-05:00,2021-02-10T10:31:00-05:00,2021-02-10T16:00:00-05:00,2021-02-10T16:00:00-05:00,session_close_proxy,13610.0,13650.5,13602.25,13650.5,1,-96.5,2.24,-98.74,EOD_CLOSE_PROXY,-5.940211345939933,0.8707171226222383,0.5219421101774043,-139.75,True,
