category,root_scope,source,access_date_utc,status,local_binding
official_exchange_unit_rule,CL,https://www.cmegroup.com/rulebook/NYMEX/2/200.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,HE,https://www.cmegroup.com/rulebook/CME/II/150/152/152.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,HG,https://www.cmegroup.com/rulebook/COMEX/1a/111.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,HO,https://www.cmegroup.com/rulebook/NYMEX/1a/150.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,LE,https://www.cmegroup.com/rulebook/CME/II/100/101/101.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,NG,https://www.cmegroup.com/rulebook/NYMEX/2/220.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,RB,https://www.cmegroup.com/rulebook/NYMEX/1a/191.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,ZC,https://www.cmegroup.com/rulebook/CBOT/I/10.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,ZL,https://www.cmegroup.com/rulebook/CBOT/II/12/12.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,ZM,https://www.cmegroup.com/rulebook/CBOT/II/13/13.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,ZS,https://www.cmegroup.com/rulebook/CBOT/II/11/11.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_unit_rule,ZW,https://www.cmegroup.com/rulebook/CBOT/II/14/14.pdf,2026-09-07,OBSERVED_WITHOUT_HISTORICAL_EFFECTIVE_DATE,data/commodity_curve/unit-audit-2025-20260907/exchange-unit-facts.json
official_exchange_calendar_or_rule,"ZC,ZW,ZS,ZM,ZL,LE,HE",https://investor.cmegroup.com/news-releases/news-release-details/cme-group-announces-trading-hours-us-national-day-mourning-honor,2026-09-07,INCOMPLETE_EFFECTIVE_DATE_OR_PUBLICATION_LINEAGE,data/commodity_curve/calendar-audit-2025-20260907/source-facts.json
official_exchange_calendar_or_rule,ALL,https://www.cmegroup.com/content/dam/cmegroup/tools-information/holiday-calendar/files/2025-new-years-advisory.pdf,2026-09-07,INCOMPLETE_EFFECTIVE_DATE_OR_PUBLICATION_LINEAGE,data/commodity_curve/calendar-audit-2025-20260907/source-facts.json
official_exchange_calendar_or_rule,HE,https://www.cmegroup.com/rulebook/CME/II/150/152/152.pdf,2026-09-07,INCOMPLETE_EFFECTIVE_DATE_OR_PUBLICATION_LINEAGE,data/commodity_curve/calendar-audit-2025-20260907/source-facts.json
official_exchange_calendar_or_rule,"ZC,ZW,ZS,ZM,ZL",https://www.cmegroup.com/rulebook/CBOT/I/7/7.pdf,2026-09-07,INCOMPLETE_EFFECTIVE_DATE_OR_PUBLICATION_LINEAGE,data/commodity_curve/calendar-audit-2025-20260907/source-facts.json
vendor_contract_snapshot,ALL,TradeStation API response normalized in existing pilot,2026-09-06,IDENTITY_INDICATIVE_NOT_EXECUTABILITY,data/commodity_curve/coverage-pilot-2025-20260906-v3/contracts.csv
vendor_publication_lineage,ALL,Databento GLBX.MDP3 local evidence and prepared clarification,2026-09-07,SOURCE_CLARIFICATION_REQUIRED_UNSENT,docs/commodity-curve-databento-fields-inquiry-20260907.md
official_venue_rule,ALL,https://help.topstep.com/en/articles/8284206-when-and-what-products-can-i-trade,2026-09-13T01:30:00+00:00,OBSERVED_CURRENT_PUBLIC_RULE_REQUIRES_ACCOUNT_CONFIRMATION,research/pf_improvement/official_venue_evidence.json
official_venue_rule,ALL,https://www.tradestation.com/pricing/futures-margin-requirements/,2026-09-13T01:30:00+00:00,OBSERVED_CURRENT_PUBLIC_RULE_REQUIRES_ACCOUNT_CONFIRMATION,research/pf_improvement/official_venue_evidence.json
official_venue_rule,ALL,https://uploads.tradestation.com/uploads/Futures-Physical-Delivery.pdf,2026-09-13T01:30:00+00:00,OBSERVED_CURRENT_PUBLIC_RULE_REQUIRES_ACCOUNT_CONFIRMATION,research/pf_improvement/official_venue_evidence.json
