strategy,venue,day_et,configuration_era,entry_order_id,exit_order_id,entry_fill_id,exit_fill_id,direction,size,entry_timestamp_utc,exit_timestamp_utc,entry_price,exit_price,broker_gross,complete_costs,costs,broker_net,modeled_gross,signed_difference,join_method,strategy_side_size_validated,causal_decomposition_available,record_only_error,attribution_status
MIM,ProjectX,2026-08-13,current_risk_mechanics,c3b1d2c8dfba93b59bc1,e60edf5e85edaa7e88d7,ac9fec851fbb9717abc9,8bb2e09e388c0e8d9bb2,1,1,2026-08-13T17:00:03.877460+00:00,2026-08-13T20:00:03.547819+00:00,30197.25,30196.0,-2.5,True,1.22,-3.7199999999999998,0.5,-3.0,exact_order_id,True,False,False,exact_orders_and_unique_local_trade
UNATTRIBUTED_SHARED_ACCOUNT,ProjectX,2026-08-14,current_risk_mechanics,cec157901282b91e5741,90399b5da0443426225b,d6cc74bd8cad9b140992,0369f3f80750931e4c46,-1,2,2026-08-14T16:21:45.525397+00:00,2026-08-14T17:22:41.910505+00:00,30091.75,30073.75,72.0,True,2.44,69.56,,,unmatched_broker_candidate,False,False,False,no_local_order_ids
UNATTRIBUTED_SHARED_ACCOUNT,ProjectX,2026-08-17,current_risk_mechanics,7929791a0d4840b512af,a67d4a47b7c305db8f94,1f73317e3f929dc29c74,81da11817d2d81d6859e,-1,2,2026-08-17T13:31:01.494718+00:00,2026-08-17T14:32:17.698322+00:00,30260.5,30201.75,235.0,True,2.44,232.56,,,unmatched_broker_candidate,False,False,False,no_local_order_ids
MIM,ProjectX,2026-08-24,current_risk_mechanics,3a9880768d186e99171f,bd43527c5bfa666ef4f7,64625fed4f4cadf9a3e2,818af8c203f94feef55c,-1,1,2026-08-24T14:00:04.094426+00:00,2026-08-24T20:00:03.202262+00:00,29015.5,29103.0,-175.0,True,1.22,-176.22,-154.0,-21.0,exact_order_id,True,False,False,exact_orders_and_unique_local_trade
MIM,ProjectX,2026-08-27,current_risk_mechanics,3e5e8a0d1b69d61e0735,c8cc3032617109ad808c,ea4de0cbae834dd8762e,7605ff68e0ea463f2689,1,1,2026-08-27T16:30:03.757173+00:00,2026-08-27T20:00:03.324739+00:00,29604.0,29693.0,178.0,True,1.22,176.78,175.5,2.5,exact_order_id,True,False,False,exact_orders_and_unique_local_trade
MIM,ProjectX,2026-08-28,current_risk_mechanics,18fc9e7f1c734eb8f427,23bd638bdd29cc14fc50,f302517496b78f0b6bec,5d4f398e49edf5e80106,1,1,2026-08-28T15:00:04.668493+00:00,2026-08-28T15:57:23.855124+00:00,29791.75,29547.0,-489.5,True,1.22,-490.72,-500.0,10.5,exact_order_id,True,False,False,exact_orders_and_unique_local_trade
MIM,ProjectX,2026-08-28,current_risk_mechanics,69331f42890f60e87f43,3edfb76e32610bb4bc79,154241080626a46162b6,804f1c26d654cb657ee7,-1,1,2026-08-28T16:30:04.472247+00:00,2026-08-28T20:00:02.925043+00:00,29497.25,29502.0,-9.5,True,1.22,-10.72,-14.5,5.0,exact_order_id,True,False,False,exact_orders_and_unique_local_trade
MIM,ProjectX,2026-06-11,initial_live,,,,,1,1,,,,,,False,,,740.5,,no_saved_broker_pair,False,False,False,local_reference_trade_only
MIM,ProjectX,2026-06-12,initial_live,,,,,1,1,,,,,,False,,,47.0,,no_saved_broker_pair,False,False,False,local_reference_trade_only
MIM,ProjectX,2026-06-24,initial_live,,,,,1,1,,,,,,False,,,-1000.0,,no_saved_broker_pair,False,False,False,local_reference_trade_only
