mark_id,trade_id,day,contract,mark_timestamp,entry_event_timestamp,entry_fill_timestamp,entry_fill,position_age_minutes,direction,signal_price,current_gross,current_net,mfe,mae,giveback,prior_mark_net_change,completed_bar_coverage,decision_reason,decision_target,decision_vwap,decision_upper,decision_lower,decision_sigma,reversal_mark_exiting_leg,final_outcome,final_net,final_exit_reason,candidate_return,top_5pct_trade
A-delay2-0001-1600,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T11:00:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,29.0,-1,12805.0,-36.5,-37.62,2.5,99.0,39.0,,29,HOLD,-1,12842.499297001175,12949.490833977272,12838.00916602273,0.0040141068660967,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-1630,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T11:30:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,59.0,-1,12853.5,-133.5,-134.62,87.0,145.0,220.5,-97.0,59,HOLD,-1,12833.944015254028,12949.97515087466,12837.52484912534,0.0040516806667825,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-1700,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T12:00:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,89.0,-1,12838.25,-103.0,-104.12,87.0,174.0,190.0,30.5,89,HOLD,-1,12835.95493162497,12950.523495128868,12836.976504871132,0.0040942217753538,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-1730,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T12:30:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,119.0,-1,12828.75,-84.0,-85.12,87.0,174.0,171.0,19.0,119,HOLD,-1,12836.07049068663,12957.71602568346,12829.78397431654,0.0046522256586404,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-1800,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T13:00:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,149.0,-1,12849.5,-125.5,-126.62,87.0,174.0,212.5,-41.5,149,HOLD,-1,12836.711979799386,12956.95437935825,12830.54562064175,0.0045931363570472,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-1830,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T13:30:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,179.0,-1,12871.75,-170.0,-171.12,87.0,200.5,257.0,-44.5,179,HOLD,-1,12838.148336263484,12955.026071718945,12832.473928281055,0.0044435362764168,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-1900,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T14:00:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,209.0,-1,12869.25,-165.0,-166.12,87.0,200.5,252.0,5.0,209,HOLD,-1,12839.6319502828,12959.827447442536,12827.672552557464,0.0048160319201331,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-1930,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T14:30:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,239.0,-1,12846.75,-120.0,-121.12,87.0,200.5,207.0,45.0,239,HOLD,-1,12840.5131334991,12959.187747270047,12828.312252729953,0.0047664033259022,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-2000,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T15:00:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,269.0,-1,12829.5,-85.5,-86.62,87.0,200.5,172.5,34.5,269,HOLD,-1,12840.672892813627,12958.33562653155,12829.16437346845,0.0047002949267092,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0001-2030,A-delay2-0001,2021-01-15,MNQH21,2021-01-15T15:30:00-05:00,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,12786.75,299.0,-1,12824.0,-74.5,-75.62,87.0,200.5,161.5,11.0,299,HOLD,-1,12839.956100640808,12963.550941966523,12823.949058033477,0.0051049044369769,False,LOSS,-27.24,EOD_CLOSE_PROXY,,False
A-delay2-0002-1600,A-delay2-0002,2021-01-20,MNQH21,2021-01-20T11:00:00-05:00,2021-01-20T10:32:00-05:00,2021-01-20T10:31:00-05:00,13228.0,29.0,1,13237.5,19.0,17.88,42.0,4.5,23.0,,29,HOLD,1,13195.451085818222,13189.2006457071,12932.2993542929,0.0039926652868556,False,WIN,113.76,EOD_CLOSE_PROXY,,False
A-delay2-0002-1630,A-delay2-0002,2021-01-20,MNQH21,2021-01-20T11:30:00-05:00,2021-01-20T10:32:00-05:00,2021-01-20T10:31:00-05:00,13228.0,59.0,1,13243.25,30.5,29.38,55.0,45.5,24.5,11.5,59,HOLD,1,13202.065509899225,13189.855326539117,12931.644673460883,0.0040425011162665,False,WIN,113.76,EOD_CLOSE_PROXY,,False
A-delay2-0002-1700,A-delay2-0002,2021-01-20,MNQH21,2021-01-20T12:00:00-05:00,2021-01-20T10:32:00-05:00,2021-01-20T10:31:00-05:00,13228.0,89.0,1,13248.75,41.5,40.38,55.0,45.5,13.5,11.000000000000004,89,HOLD,1,13206.076977489118,13194.246539570444,12927.253460429554,0.0043767704775111,False,WIN,113.76,EOD_CLOSE_PROXY,,False
