group_dimension,group_value,metric,total_marks,observed_values,mean,sample_std,candidate_threshold,candidate_return_calculated,q000,q010,q020,q030,q040,q050,q060,q070,q080,q090,q100
all,ALL,position_age_minutes,6673,6673,158.4410310205305,90.03980521767623,,False,29.0,29.0,59.0,89.0,119.0,149.0,179.0,209.0,239.0,299.0,329.0
all,ALL,current_net,6673,6673,42.63146111194366,206.59237843777117,,False,-635.12,-187.12,-103.62,-50.12,-6.719999999999909,28.88,70.88,115.88,176.68000000000018,270.7800000000001,3207.38
all,ALL,mfe,6673,6673,171.48374044657575,186.17033788203233,,False,0.0,22.0,44.5,67.0,95.0,126.0,162.5999999999999,197.5,266.0,358.0,3321.0
all,ALL,mae,6673,6673,133.41150906638694,119.34508787300808,,False,0.0,15.5,33.0,48.0,73.5,99.5,129.0,164.0,223.0,312.0,658.5
all,ALL,giveback,6673,6673,127.7322793346321,130.9134047354325,,False,0.0,14.5,29.0,44.0,62.5,87.0,116.09999999999991,152.5,208.0,296.9000000000001,1678.5
all,ALL,prior_mark_net_change,6673,5898,5.660902000678196,90.9770424298324,,False,-610.0,-91.0,-50.0,-25.5,-8.5,6.999999999999998,22.0,39.0,61.80000000000018,97.15000000000009,1736.5
final_outcome,LOSS,position_age_minutes,2665,2665,154.74108818011257,89.7451374519136,,False,29.0,29.0,59.0,89.0,119.0,149.0,179.0,209.0,239.0,299.0,329.0
final_outcome,LOSS,current_net,2665,2665,-85.27478424015008,150.124835943057,,False,-522.62,-278.91999999999996,-201.12,-149.62,-112.12,-80.12,-50.62,-17.820000000000046,19.88,81.17999999999995,742.38
final_outcome,LOSS,mfe,2665,2665,105.18330206378987,115.13514419599353,,False,0.0,11.400000000000034,24.900000000000034,40.0,52.5,67.5,87.0,122.5,167.60000000000014,242.89999999999986,863.5
final_outcome,LOSS,mae,2665,2665,191.95028142589118,126.93771477299464,,False,0.5,38.20000000000002,79.0,107.19999999999993,143.5,163.5,206.0,248.89999999999998,292.0,384.89999999999986,556.0
