trade_id,day,contract,direction,entry_event_timestamp,entry_fill_timestamp,exit_event_timestamp,exit_fill_timestamp,exit_fill_time_basis,entry_fill,exit_fill,quantity,gross,costs,net,exit_reason
A-delay2-0001,2021-01-15,MNQH21,-1,2021-01-15T10:32:00-05:00,2021-01-15T10:31:00-05:00,2021-01-15T16:00:00-05:00,2021-01-15T16:00:00-05:00,session_close_proxy,12786.75,12799.25,1,-25.0,2.24,-27.24,EOD_CLOSE_PROXY
A-delay2-0002,2021-01-20,MNQH21,1,2021-01-20T10:32:00-05:00,2021-01-20T10:31:00-05:00,2021-01-20T16:00:00-05:00,2021-01-20T16:00:00-05:00,session_close_proxy,13228.0,13286.0,1,116.0,2.24,113.76,EOD_CLOSE_PROXY
A-delay2-0003,2021-01-25,MNQH21,1,2021-01-25T10:02:00-05:00,2021-01-25T10:01:00-05:00,2021-01-25T11:05:00-05:00,,intrabar_unknown_within_event_minute,13536.25,13288.75,1,-495.0,2.24,-497.24,CAT_STOP
A-delay2-0004,2021-01-27,MNQH21,-1,2021-01-27T10:02:00-05:00,2021-01-27T10:01:00-05:00,2021-01-27T16:00:00-05:00,2021-01-27T16:00:00-05:00,session_close_proxy,13289.25,13120.25,1,338.0,2.24,335.76,EOD_CLOSE_PROXY
A-delay2-0005,2021-01-28,MNQH21,1,2021-01-28T10:02:00-05:00,2021-01-28T10:01:00-05:00,2021-01-28T16:00:00-05:00,2021-01-28T16:00:00-05:00,session_close_proxy,13187.25,13185.25,1,-4.0,2.24,-6.24,EOD_CLOSE_PROXY
A-delay2-0006,2021-01-29,MNQH21,-1,2021-01-29T11:32:00-05:00,2021-01-29T11:31:00-05:00,2021-01-29T16:00:00-05:00,2021-01-29T16:00:00-05:00,session_close_proxy,12984.75,12914.25,1,141.0,2.24,138.76,EOD_CLOSE_PROXY
A-delay2-0007,2021-02-01,MNQH21,1,2021-02-01T11:32:00-05:00,2021-02-01T11:31:00-05:00,2021-02-01T16:00:00-05:00,2021-02-01T16:00:00-05:00,session_close_proxy,13159.75,13230.5,1,141.5,2.24,139.26,EOD_CLOSE_PROXY
A-delay2-0008,2021-02-02,MNQH21,1,2021-02-02T11:02:00-05:00,2021-02-02T11:01:00-05:00,2021-02-02T16:00:00-05:00,2021-02-02T16:00:00-05:00,session_close_proxy,13404.75,13447.75,1,86.0,2.24,83.76,EOD_CLOSE_PROXY
A-delay2-0009,2021-02-03,MNQH21,-1,2021-02-03T10:32:00-05:00,2021-02-03T10:31:00-05:00,2021-02-03T16:00:00-05:00,2021-02-03T16:00:00-05:00,session_close_proxy,13410.0,13388.75,1,42.5,2.24,40.26,EOD_CLOSE_PROXY
A-delay2-0010,2021-02-10,MNQH21,-1,2021-02-10T10:32:00-05:00,2021-02-10T10:31:00-05:00,2021-02-10T16:00:00-05:00,2021-02-10T16:00:00-05:00,session_close_proxy,13602.25,13650.5,1,-96.5,2.24,-98.74,EOD_CLOSE_PROXY
A-delay2-0011,2021-02-22,MNQH21,-1,2021-02-22T11:02:00-05:00,2021-02-22T11:01:00-05:00,2021-02-22T16:00:00-05:00,2021-02-22T16:00:00-05:00,session_close_proxy,13311.0,13226.75,1,168.5,2.24,166.26,EOD_CLOSE_PROXY
A-delay2-0012,2021-02-23,MNQH21,-1,2021-02-23T10:02:00-05:00,2021-02-23T10:01:00-05:00,2021-02-23T15:06:00-05:00,,intrabar_unknown_within_event_minute,12882.75,13135.75,1,-506.0,2.24,-508.24,CAT_STOP
A-delay2-0013,2021-02-24,MNQH21,-1,2021-02-24T10:02:00-05:00,2021-02-24T10:01:00-05:00,2021-02-24T14:02:00-05:00,2021-02-24T14:01:00-05:00,bar_open,13042.25,13248.25,1,-412.0,2.24,-414.24,REVERSAL
A-delay2-0014,2021-02-24,MNQH21,1,2021-02-24T14:02:00-05:00,2021-02-24T14:01:00-05:00,2021-02-24T16:00:00-05:00,2021-02-24T16:00:00-05:00,session_close_proxy,13248.25,13294.5,1,92.5,2.24,90.26,EOD_CLOSE_PROXY
A-delay2-0015,2021-02-25,MNQH21,-1,2021-02-25T11:02:00-05:00,2021-02-25T11:01:00-05:00,2021-02-25T16:00:00-05:00,2021-02-25T16:00:00-05:00,session_close_proxy,13121.75,12826.25,1,591.0,2.24,588.76,EOD_CLOSE_PROXY
A-delay2-0016,2021-02-26,MNQH21,-1,2021-02-26T10:32:00-05:00,2021-02-26T10:31:00-05:00,2021-02-26T11:37:00-05:00,,intrabar_unknown_within_event_minute,12774.75,13010.75,1,-472.0,2.24,-474.24,CAT_STOP
A-delay2-0017,2021-02-26,MNQH21,1,2021-02-26T12:02:00-05:00,2021-02-26T12:01:00-05:00,2021-02-26T16:00:00-05:00,2021-02-26T16:00:00-05:00,session_close_proxy,13011.25,12893.75,1,-235.0,2.24,-237.24,EOD_CLOSE_PROXY
A-delay2-0018,2021-03-01,MNQH21,1,2021-03-01T11:02:00-05:00,2021-03-01T11:01:00-05:00,2021-03-01T16:00:00-05:00,2021-03-01T16:00:00-05:00,session_close_proxy,13187.25,13274.5,1,174.5,2.24,172.26,EOD_CLOSE_PROXY
A-delay2-0019,2021-03-02,MNQH21,-1,2021-03-02T10:02:00-05:00,2021-03-02T10:01:00-05:00,2021-03-02T16:00:00-05:00,2021-03-02T16:00:00-05:00,session_close_proxy,13230.25,13058.0,1,344.5,2.24,342.26,EOD_CLOSE_PROXY
A-delay2-0020,2021-03-03,MNQH21,-1,2021-03-03T10:02:00-05:00,2021-03-03T10:01:00-05:00,2021-03-03T16:00:00-05:00,2021-03-03T16:00:00-05:00,session_close_proxy,12905.75,12680.25,1,451.0,2.24,448.76,EOD_CLOSE_PROXY
